source,text
নদীর খোঁজ পেলেও সেখানে তার গবেষণা চালানো সহজ ছিল না।,যদিও তিনি নদী খুঁজে পেয়েছিলেন কিন্তু সেখানে তার গবেষণা চালিয়ে যাওয়া সহজ ছিল না।
বর্ণবাদ বিরোধীরা এর বিরুদ্ধে আজ সেখানে বড় আকারে বিক্ষোভ আয়োজনের পরিকল্পনা করছেন।,আজ বর্ণবাদ বিরোধী কর্মীরা এই পদক্ষেপের বিরুদ্ধে ব্যাপক বিক্ষোভের পরিকল্পনা করছে।
"কিন্তু ম্যাচ শুরু হবার কিছুক্ষণ আগে জানা যায় যে, তিনি দলে থাকতে পারবেন না।","তবে, খেলা শুরুর অল্প কিছুদিন পূর্বে ঘোষণা করা হয় যে, তিনি দলে খেলতে পারবেন না।"
চুক্তিটি আপাতদৃষ্টিতে মুজাফফরাবাদের জন‍্য অলাভজনক মনে হলেও এই চুক্তি স্বাক্ষরের পেছনে বেশ কিছু কারণ ছিল।,চুক্তিটি মুজাফফারাবাদের জন্য অলাভজনক বলে মনে হলেও চুক্তি স্বাক্ষরের বেশ কয়েকটি কারণ ছিল।
"""এই উচ্ছৃঙ্খল জনতাকে সংঘবদ্ধ করেছেন প্রেসিডেন্ট - এ বিষয়ে কোন সন্দেহ নেই, তিনিই এই জনতাকে উস্কে দিয়েছেন।","""রাষ্ট্রপতি এই জনতাকে সংগঠিত করেছে- কোন সন্দেহ নেই, সে জনতাকে উত্তেজিত করেছে।"
"খ. ডাইপ্লেজিয়া: দুটো পা বা দুটো হাত সমানভাবে আক্রান্ত হয়, কিন্তু অন্যপাশ স্বাভাবিকভাবে কাজ করে।","খ. দ্বীপাশিয়া: দুই পা বা দুই হাত সমানভাবে ক্ষতিগ্রস্ত হয়, কিন্তু অন্য হাত সাধারণত কাজ করে।"
রুমে কাউকে দেখা যাচ্ছে না।,আমি রুমে কাউকে দেখতে পাচ্ছি না।
কিন্তু এই নিষেধাজ্ঞার মেয়াদ শেষ হওয়ার আগেই তাকে জাতীয় দলে ডাকা হয় নিউজিল্যান্ডের বিপক্ষে।,কিন্তু নিষেধাজ্ঞা প্রত্যাহারের পূর্বে নিউজিল্যান্ডের বিপক্ষে জাতীয় দলে ডাক পান।
সেই টাকা শোধ করতে না পারলে মহাজন বিনিময়ে কিশোরীটিকে ধর্ষণের প্রস্তাব দেয়।,"সেই টাকা যদি পরিশোধ করা না যেত, তা হলে ঋণদাতা সেই মেয়েকে বিনিময়ে ধর্ষণ করার প্রস্তাব দিয়েছিলেন।"
তমিস্লাভ তাই বেছে নিয়েছিলেন হিচ-হাইকিংকে।,তামিস্লাভ হিচ-হাইকিংকে বেছে নেন।
এসব গুণের কারণে ক্যালিফোর্নিয়ায় ১৯ শতকে রেডউড কাঠের তৈরি আসবাবপত্রের চাহিদা ছিল প্রচুর।,এ সকল গুণের কারণে উনিশ শতকে ক্যালিফোর্নিয়ায় লাল কাঠের আসবাবপত্রের চাহিদা অনেক বেশি ছিল।
"জেরক্স তাদের এ অসামান্য আইডিয়াকে এতটা ভালোভাবে কাজে লাগাতে পারেনি, যেটা জবস ও বিল গেটস পেরেছিলেন।","জেরক্স এই ধারণাটি এতটা ভালোভাবে ব্যবহার করতে পারেনি যে, জবস এবং বিল গেটস তা করতে পেরেছিলেন।"
পেটেন্ট এর প্রতি ছিলো তাঁর তীব্র অনুরাগ।,পেটেন্টের প্রতি তার প্রবল অনুরাগ ছিল।
ম্রোদের নিয়ে লেখা বইগুলো এখানে পাবেন ।,তুমি এখানে ম্রোদের সম্পর্কে লেখা বইগুলো পাবে।
এক্ষেত্রে কে মুসলমান এবং কে হিন্দু সে বিষয়টি তিনি বিবেচনা করেননি।,এ ব্যাপারে তিনি কে মুসলমান ও কে হিন্দু তা বিবেচনা করেন নি।
এটা আসলে কোনো রাজনৈতিক সিদ্ধান্তের বিষয় না।,এটা কোন রাজনৈতিক সিদ্ধান্তের ব্যাপার না।
ইঙ্গিতটা ছিল অফফর্মে থাকা সৌরভের জায়গায় অন্য কাউকে সুযোগ দেয়া।,"সংকেতটা ছিল, অন্য কাউকে অফফর্মের সৌরভকে প্রতিস্থাপন করার সুযোগ দেওয়া।"
তাতে করে যুবশক্তির মেরুদণ্ড ভেঙ্গে দিয়েছে।,এ কারণেই যুবশক্তি মেরুদণ্ড ভেঙে ফেলেছে।
"উল্লেখ্য, কোনো বিখ্যাত ব্যক্তির জন্মদিন বা কোনো বিশেষ ঘটনার বর্ষপূর্তি উদযাপনে, গুগলের হোমপেইজে এর লোগো সাময়িক সময়ের জন্য পরিবর্তন করা হয়।","এখানে উল্লেখ করা যেতে পারে যে, কোন বিখ্যাত ব্যক্তির জন্মদিন বা কোন বিশেষ অনুষ্ঠানের বার্ষিকী উদ্যাপনের সময় গুগলের হোমপেজের লোগো সাময়িকভাবে পরিবর্তন করা হয়েছে।"
"মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের মতো কেউ যদি 'পরিবেশগত বিপর্যয়' ও 'বৈশ্বিক উষ্ণায়ন' এর ক্ষতিকর প্রভাব সম্পর্কে উদাসীন হয়ে থাকেন, তাহলে তার উচিত হবে ইথিওপিয়া ভ্রমণে গিয়ে এসব চার্চ ফরেস্ট ও সেখানকার জনজীবন স্বচক্ষে প্রত্যক্ষ করা।","যুক্তরাষ্ট্রের রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের মতো কেউ যদি ""পরিবেশগত বিপর্যয়"" এবং ""বৈশ্বিক উষ্ণতার"" ক্ষতিকর প্রভাব সম্বন্ধে উদাসীন হন, তা হলে তার এই গির্জার বনাঞ্চল এবং সেখানকার লোকেদের জীবন সম্বন্ধে সাক্ষ্য দেওয়ার জন্য ইথিওপিয়া পরিদর্শন করা উচিত।"
এবং সেটা ইতিমধ্যে হয়েও গেছে।,আর এটা ইতিমধ্যেই শেষ হয়ে গেছে।
সে তাকে বিয়ে করতে যাচ্ছে।,সে তার সাথে বিয়ে করবে।
সামরিক কর্মকর্তাকে হয়তো সকাল সকাল উঠতে হয় এবং খাবারের সময়গুলো কঠোরভাবে অনুসরণ করতে হয়।,সামরিক অফিসারকে হয়তো খুব সকালে উঠতে হতে পারে এবং কঠোরভাবে খাবারের সময় মেনে চলতে হয়।
সড়কে বাস না থাকলেও অন্যান্য যানবাহন ছিল আগের মতোই।,যদিও রাস্তায় কোনো বাস ছিল না কিন্তু অন্যান্য যানবাহন আগের মতোই ছিল।
আর দিনরাত নাচগান ও মদের রাজ্যে ডুবে থাকায় তারা সেভাবে প্রতিরোধও গড়তে পারে নি।,আর তারা নাচ ও মদের রাজ্যে দিনরাত প্রতিরোধ করতে পারত না।
প্রথমদিকে কেবল প্রধান প্রধান ধর্মগুলো আলোচ্য বিষয় হলেও পরবর্তীতে যোগ হয়েছে প্রাচ্য আর পাশ্চাত্যের ছোট-বড় অনেক বিশ্বাস।,প্রথমে শুধু প্রধান ধর্মগুলোই আলোচনার বিষয় ছিল কিন্তু পরে পূর্ব ও পশ্চিমের অনেক ছোট ও বড় বিশ্বাস যুক্ত হয়েছিল।
প্রযোজনা প্রতিষ্ঠান নিউ লাইন সিনেমা 'সেভেন' এর সিক্যুয়েল নির্মাণে আগ্রহ প্রকাশ করেছিল।,"প্রযোজনা সংস্থা নতুন লাইন চলচ্চিত্র ""সেভেন"" এর সিকুয়েল তৈরির আগ্রহ প্রকাশ করে।"
এই অবস্থায় আমাকে নার্সরা ইনসুলিন নিতে বা অন্য কিছু লাগলে তাদের ওখানে ডেকে পাঠাতো।,"এই পরিস্থিতিতে, নার্সরা আমাকে ইনসুলিন নিতে বা প্রয়োজন হলে সেখানে ফোন করতে পাঠাত।"
"প্রথমার্ধের ৩৯ মিনিটে কর্ণার থেকে জটলার মধ্যে বল পেয়ে যান ম্যাট হামেলস, কিন্তু কোরিয়ার গোলরক্ষক হ্যুন-উ জোকে পরাস্ত করতে পারেননি তিনি।","প্রথম অর্ধে ৩৯ মিনিটে তিনি কর্ণার থেকে ম্যাট হ্যামেলসের কাছে বোল্ড হন, কিন্তু কোরিয়ান গোলরক্ষক হুন-উ-জোকে পরাজিত করতে পারেননি।"
"সাম্প্রতিক এক গবেষণায় জানা যায়, কলোরাডো নদী এই গ্র্যান্ড ক্যানিয়নের মধ্য দিয়ে প্রবাহিত হচ্ছে আজ থেকে কমপক্ষে ১৭ মিলিয়ন বছর আগে থেকে!","সাম্প্রতিক এক গবেষণা অনুসারে, কলোরাডো নদী এখন থেকে প্রায় ১ কোটি ৭০ লক্ষ বছর ধরে গ্র্যান্ড ক্যানিয়নের মধ্য দিয়ে পার হচ্ছে!"
১৯৩৮ সালে আর্নেস্ট রাদারফোর্ড মৃত্যুবরণ করলে তিনি ক্যামব্রিজ বিশ্ববিদ্যালয়ের পদার্থবিজ্ঞানের ক্যাভেন্ডিস চেয়ার লাভ করেন।,১৯৩৮ সালে আর্নেস্ট রাদারফোর্ডের মৃত্যুর পর কেমব্রিজ বিশ্ববিদ্যালয় তাঁকে কেভেন্ডিস চেয়ার অব ফিজিক্স প্রদান করে।
"এই বিশ্বায়নের প্রক্রিয়ায় গুরুত্বপূর্ণ ভূমিকা রাখছে সামাজিক যোগাযোগ মাধ্যমগুলো, সংযোগ ঘটাচ্ছে বিভিন্ন প্রান্তের মানুষদের।","বিশ্বায়নের প্রক্রিয়ায় সামাজিক মিডিয়া গুরুত্বপূর্ণ ভূমিকা পালন করছে, বিশ্বের বিভিন্ন অংশ থেকে মানুষকে সংযুক্ত করছে।"
বিশ্বে খাদ্য সংকট দেখা দিলে এই সংরক্ষণাগারে রাখা বীজ দিয়ে কয়েক মিলিয়ন মানুষকে বাঁচিয়ে রাখা যাবে।,"পৃথিবীতে যদি খাদ্য সংকট দেখা দেয়, তাহলে গুদামে রাখা বীজের মাধ্যমে লক্ষ লক্ষ লোক রক্ষা পেতে পারে।"
"এতে রেগে যান অলিম্পিয়াস, আলেকজান্ডারকে নিজের দিকে টেনে নিতে থাকেন তিনি।",রাগে অলিম্পিয়াস আলেকজান্ডারকে তার পাশে টেনে নিয়ে যায়।
কেপটাউনের সেই 'টানেল কেলেঙ্কারি' নিয়ে কথা হয় এখনও।,"কেপ টাউনের ""টানেল কেলেঙ্কারি"" নিয়ে এখনো আলোচনা চলছে।"
এদিকে অস্ট্রিয়া ও সার্বিয়ার মধ্যেও তিক্ত সম্পর্ক তৈরি হয়।,"অন্যদিকে, অস্ট্রিয়া এবং সার্বিয়ার মধ্যে এক তিক্ত সম্পর্ক ছিল।"
"অন্যদিকে, সাধারণ বাদামী রংয়ের ছবিটি দেখলে তেমন কোনো অনুভূতি জাগ্রত হবে না।","অন্যদিকে, একটি সাধারণ বাদামী ছবির দিকে তাকালে তেমন আবেগের সৃষ্টি হবে না।"
ফলে গাইয়াসের জনপ্রিয়তা হ্রাস পেতে থাকে।,ফলে গায়াদের জনপ্রিয়তা হ্রাস পায়।
বর্তমানে আপনি বুস্কেটস কিংবা রদ্রির দিকে তাকালে এই ব্যাপার সম্পর্কে কিছুটা আঁচ করতে পারবেন।,"এখন যদি তুমি বাসকেটস বা রডরির দিকে তাকাও, তাহলে তুমি এই ব্যাপারে কিছু বুঝতে পারবে।"
সালমান খানকে কারাগারে পাঠানো হলে গোটা ভারতসহ ইন্টারনেট দুনিয়া মূলত দু'ভাগে বিভক্ত হয়ে পড়ে।,"সালমান খানকে যখন কারাগারে পাঠানো হয়, তখন সমগ্র ভারতসহ ইন্টারনেট বিশ্ব দুটি প্রধান অংশে বিভক্ত হয়ে পড়ে।"
কানাডার পথে এগিয়ে চলা দাসদের সহায়তায় সর্বাত্মক ভূমিকা রাখেন ফ্রেডরিক ডগলাস।,কানাডিয়ান পদ্ধতিতে নেতৃস্থানীয় দাসদের সহায়তায় ফ্রেডরিক ডগলাস সার্বিক ভূমিকা পালন করেন।
হাঁটার গতির ওপর সহজ এক পরীক্ষা চালিয়ে গবেষকরা কতো দ্রুত বয়স বাড়ছে সেটা পরিমাপ করতে সক্ষম হয়েছেন।,"হাঁটার গতি সম্বন্ধে এক সাধারণ গবেষণায়, গবেষকরা গবেষকদের বয়স পরিমাপ করতে সমর্থ হয়েছেন।"
"কারণ যাই হোক, এই নির্বাসনের ফলাফল ছিল ইঙ্গুশ ও চেচেনদের জন্য অত্যন্ত ভয়াবহ।","কারণ যাই হোক না কেন, বিতাড়িত হওয়ার ফলাফল ইঙ্গুশ এবং চেচেনদের জন্য বিপর্যয়কর ছিল।"
"আমরাও নামি,"" বলেন তিনি।","""আমরাও নীচে নামি,"" তিনি বলেছিলেন।"
তার পরিবারের সদস্যরা আবদ্ধ একস্থানে সিংহ ও নানা বন্যপ্রাণীর আক্রমণের শিকার হন।,তার পরিবারের সদস্যরা একটা নির্দিষ্ট এলাকায় সিংহ ও বন্যপশুর দ্বারা আক্রান্ত হয়েছিল।
"""আমার উদ্দেশ্য একটাই সেটা হল আমার শারীরিক যন্ত্রণা থেকে বেরিয়ে আসা।""","""আমি শুধু আমার শারীরিক কষ্ট থেকে মুক্তি পেতে চাই।"""
তারা নিজেদেরকে সম্পূর্ণ পৃথক একটি সম্প্রদায় হিসেবে পরিচয় দিতে এতটাই বদ্ধপরিকর ছিল যে ইংল্যান্ড ছেড়ে নেদারল্যান্ডে পাড়ি জমায়।,"তারা নিজেদেরকে একেবারে আলাদা সম্প্রদায় হিসেবে শনাক্ত করার জন্য এতটাই সংকল্পবদ্ধ ছিল যে, তারা ইংল্যান্ড ছেড়ে নেদারল্যান্ডে চলে গিয়েছিল।"
নয়তো পুরো রেসিং ট্র্যাকের দূরত্বই কমিয়ে দেয়া হয়েছে।,"অন্যথায়, পুরো রেস ট্র্যাকের দূরত্ব হ্রাস করা হয়েছে।"
এমন পরিস্থিতিতে তার স্ত্রী কিছুদিনের জন্য আলাদা থাকতে চাইলেন।,এইরকম এক পরিস্থিতিতে তার স্ত্রী কিছু সময়ের জন্য পৃথক থাকতে চেয়েছিলেন।
এই ঘোষণা দেয়ার দুইদিনের মাথায় মি. শ্রিংলা ঢাকায় হাজির হয়েছেন।,এই ঘোষণার দুই দিন পর জনাব শ্রিংলা ঢাকায় এসেছেন।
আন্না তার সন্তানকে বালিশ চাপা দিয়ে মারতে চেয়েছিল।,আ্যনা তার বাচ্চাকে বালিশের ঢাকনা দিয়ে হত্যা করতে চেয়েছিল।
পয়েন্ট ব্ল্যাঙ্ক রেঞ্জে গুলি চালাচ্ছেন চ্যাম্পম্যান ।,চ্যাম্পম্যান পয়েন্ট ব্ল্যাংক রেঞ্জে গুলি করছে।
৩) ঘটনাপ্রবাহের পুঙ্খানুপুঙ্খ বিশ্লেষণ দ্য ওয়্যারের ঘটনাপ্রবাহের প্রতিটি মূহুর্তই গুরুত্বপূর্ণ।,৩. দি ওয়্যার-এর ঘটনায় প্রতিটি মুহূর্তে ঘটনার পুঙ্খানুপুঙ্খ বিশ্লেষণ গুরুত্বপূর্ণ।
দখলকৃত অস্ত্রশস্ত্র দিয়ে ওমরের বাহিনী নব উদ্যমে ইতালিয়ানদের বিভিন্ন ক্যাম্পে গেরিলা আক্রমণ চালাতে শুরু করে।,বন্দী অস্ত্র নিয়ে ওমরের বাহিনী ইতালীয় ক্যাম্পগুলোতে নতুন করে গেরিলা আক্রমণ শুরু করে।
"এর মধ্যে মারা গেছেন ২৬৩ জন, মৃত্যুহার ১২ শতাংশ।",এর মধ্যে ২৬৩ জন মারা যায় এবং ১২ শতাংশ মৃত্যুর সংখ্যা রিপোর্ট করা হয়।
তবে এই ঋণ ফেরত নিতে কোনো তাড়াহুড়ো না করলেও টাকা ফেরত নেয়া হবে এটা নিশ্চিত করতেও পরিকল্পনা করেছে ইউজিসি।,"তবে, ইউজিসি আরও পরিকল্পনা করেছে যে ঋণ ফেরত নেওয়ার জন্য কোন তাড়াহুড়ো না করে অর্থ ফেরত দেওয়া হবে।"
স্থানীয় মানুষজন কনস্যুলেটের বাইরে জড়ো হয়ে চীনের পতাকা নাড়াচ্ছেন এবং সেলফি তুলছেন।,কনস্যুলেটের বাইরে স্থানীয় লোকজন চীনা পতাকা নাড়ছে এবং সেলফি তুলছে।
হেরাক্লিয়াস জানতেন খসরু তাকে এশিয়া মাইনর থেকে সরিয়ে দিতে চাইছেন।,"হেরাক্লিয়াস জানতেন যে, খসরু তাঁকে এশিয়া মাইনর থেকে অপসারণ করার চেষ্টা করছেন।"
হারলেমের রাস্তাঘাটে কৃষ্ণাঙ্গ মানুষদের সমাগম দ্রুত বাড়তে থাকে।,হারলেমের রাস্তায় কৃষ্ণাঙ্গদের জমায়েত দ্রুত বৃদ্ধি পাচ্ছিল।
চলুন এমন একটি উদাহরণ দেখে নেই।,আসুন আমরা একটা উদাহরণ দেখি।
১৮১৫ সালের পর হঠাৎ করেই জলবায়ুতে পরিবর্তন আসায় ব্যাকটেরিয়াটি বিবর্তন ঘটিয়ে দ্রুত অভিযোজিত হয়।,১৮১৫ সালের পর জলবায়ুর আকস্মিক পরিবর্তনের ফলে ব্যাকটেরিয়া দ্রুত বিবর্তনের সাথে খাপ খাইয়ে নেয়।
কিন্তু তারা সেখানে খুঁজে পেল দরিদ্র আদিবাসীদের গ্রাম।,কিন্তু তারা দরিদ্র উপজাতিদের গ্রাম খুঁজে পায়।
যদিও ততদিনে ভারতে জন্ম নেওয়া দামো সার্কাস জগতের একজন বড় অভিনেতায় পরিণত হয়েছিলেন কিন্তু তখনও ভারতের খুব কম মানুষ তাকে চিনতেন।,"যদিও দামো তখন সার্কাস জগতের একজন প্রধান শিল্পী ছিলেন, তবুও তিনি ভারতের খুব কম লোকের কাছে পরিচিত ছিলেন।"
আশপাশের মানুষ সৈন্যদের জোরে নীরবে এই নিষ্ঠুরতা দেখলেন ও চোখের জল ফেললেন।,আশেপাশের এলাকার লোকেরা শান্তভাবে সৈন্যদের দ্বারা সংঘটিত নৃশংসতা দেখেছিল এবং চোখের জল ফেলেছিল।
"অভিশংসন বিচারের নেতৃত্বে থাকা হাউস ডেমোক্রাট অ্যাডাম শিফ তার উদ্বোধনী বিবৃতিতে বলেন, বেশিরভাগ আমেরিকান ""বিশ্বাস করে না যে ন্যায় বিচার হবে।""","হাউজ ডেমোক্রেট অ্যাডাম শিফ, যিনি এই অভিশংসন মামলার নেতৃত্ব দিয়েছিলেন, তার প্রারম্ভিক বিবৃতিতে বলেছিলেন যে অধিকাংশ আমেরিকান ""বিশ্বাস করে না যে ন্যায়বিচার বিচার করা হবে।"""
এই ফরম্যাটে তার শিকার সংখ্যা ৬২২টি।,এই বিন্যাসে আক্রান্তদের সংখ্যা ৬২২।
অনূর্ধ্ব-১৯ বিশ্বকাপে ছয় ম্যাচে ১৯.০০ বোলিং গড়ে ১১ উইকেট শিকার করেছিলেন।,অনূর্ধ্ব-১৯ ক্রিকেট বিশ্বকাপে ১৯.০০ গড়ে ছয় খেলায় ১১ উইকেট দখল করেন।
বহু মানুষ তার এই সব বার্তায় আকৃষ্ট হয়েছে।,তাঁর বার্তার প্রতি অনেকেই আকৃষ্ট হয়েছেন।
"মি. আলাফিলিপে বলেন, ভূয়া তথ্য ছড়ানোর জন্য বিভিন্ন পক্ষের মধ্যে এ পর্যায়ের সমন্বয়ের নজির ইইউ ডিসইনফোল্যাবের গবেষকরা কখনো দেখেননি।","জনাব আলাফিলিপের মতে, ইইউ ডিসিনফোল্যাবের গবেষকরা কখনও নকল তথ্য ছড়িয়ে দেওয়ার জন্য বিভিন্ন দলের মধ্যে এই স্তরের সমন্বয়ের কোন প্রমাণ দেখেননি।"
কিন্তু এদের রেখেই নিজের পালানোর কথা ভাবতে হলো ক্যাপ্টেন স্টু হেরিংটনকে।,কিন্তু ক্যাপ্টেন স্টিউ হ্যারিংটনকে তাদের ছাড়া পালানোর কথা ভাবতে হয়েছিল।
একটা ভালো স্থাপত্য তার চারপাশের পরিবেশের নিজস্বতাকে বর্ণনা করে এবং নিজের ডিজাইন আর নির্মাণের সাথে সেই পরিবেশের সমন্বয় রক্ষা করে চলে।,একটি ভাল স্থাপত্য এর চারপাশের পরিবেশের অনন্যতা বর্ণনা করে এবং সেই পরিবেশ এবং তার নকশা ও নির্মাণ বজায় রাখে।
ফেতুল্লাহ গুলেন সবার নিকট 'হোজা' তথা শিক্ষক হিসেবে পরিচিতি পান।,সবার কাছে ফেতুল্লাহ গুলেন 'হোজা' বা 'শিক্ষক' হিসেবে পরিচিত ছিলেন।
অসুস্থ এক বন্ধুর খোঁজ নিতে বাবা তাড়াতাড়িই বের হয়ে গিয়েছিলেন সেদিন।,বাবা তাড়াতাড়ি বেরিয়ে গিয়ে একজন অসুস্থ বন্ধুর খোঁজ করেছিলেন।
এখন সে গিনির কোনার্কিতে ফিরে গিয়ে আবার স্কুলে পড়াশোনা করতে শুরু করেছে।,এখন সে গিনির কোনারকিতে ফিরে এসেছে এবং পুনরায় তার স্কুল জীবন শুরু করেছে।
"এ থেকে মাঝে মধ্যেই সাজিদের মনে হয়, মেয়েদের সৌন্দর্য সম্পর্কে সে বুঝি একেবারেই আনাড়ি।","মাঝে মাঝে সাজিদের মনে হতো যে, তিনি মেয়েদের সৌন্দর্য সম্পর্কে একেবারেই অজ্ঞ।"
তিনি ঐতিহ্যগত মিশরীয় বহুশ্বরবাদ ত্যাগ করে একেশ্বরবাদের প্রবর্তন করেন।,তিনি সনাতন মিশরীয় বহু-ঈশ্বরবাদ ত্যাগ করে একেশ্বরবাদী ধর্ম প্রবর্তন করেন।
"কিন্তু না, এরমধ্যেই ঘটে গেল অন্যরকম এক ঘটনা, যা হিসেবের মধ্যে ছিল না।","কিন্তু না, ইতিমধ্যে আরেকটা ঘটনা ঘটেছে, যা গণনায় ছিল না।"
এই প্রতিযোগিতায় ১৩বার চ্যাম্পিয়ন হবার কারণে দিদারুল আলম 'দিদার বলী' নামেই বেশি পরিচিত।,দিদারুল আলম ১৩ বারের চ্যাম্পিয়ন হওয়ার কারণে 'দিদার বলি' নামে পরিচিত।
একসময় এই পতিত জায়গাটির মালিক ছিলো 'পচা দালাল' নামের এক ব্যক্তি।,এক সময় এ পতিত জমি 'পাচা দালাল' নামে এক ব্যক্তির মালিকানাধীন ছিল।
কিন্তু র‍্যাঙ্কিংয়ে ৮ নম্বরে থাকা পাকিস্তানের সাথে পরের ম্যাচেই ধরা খায় তারা।,কিন্তু পরবর্তী খেলায় পাকিস্তানের বিপক্ষে ৮ নম্বরে অবস্থান নিয়ে তারা ধরা পড়ে।
তাই বেশ কষ্ট করেই ক্রিকেটের শুরুর দিনগুলো কাটাতে হয়েছে রাজিনকে।,"তাই, ক্রিকেটের শুরুর দিনগুলোকে অনেক সমস্যার মধ্যে কাটিয়ে দিতে হয় রাজিনকে।"
"কারণ হিসেবে বলা যেতে পারে, আপনার পছন্দের ব্যান্ড বা গায়ককে সামনাসামনি গাইতে দেখে আপনার মধ্যে বেশ উত্তেজনা কাজ করে।","এটা বলা যেতে পারে যে, আপনি আপনার প্রিয় ব্যান্ড অথবা গায়ককে সামনাসামনি গান গাইতে দেখে রোমাঞ্চিত হন।"
অবশেষে ২০১৬ সাল থেকে নিয়মিত হয়েছেন অ্যাথলেটিকের মূল দলে।,২০১৬ সাল থেকে তিনি অ্যাথলেটিক্সের প্রধান দলে নিয়মিত রয়েছেন।
