correct_sentence,gt
এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট,এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট
"ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন, ওই শিশুরা বাইবেল ক্যাম্পে যোগ দিয়েছিল","ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন, ওই শিশুরা বাইবেল ক্যাম্পে যোগ দিয়েছিল"
সে চলে যায় নিজ মাতৃভূমি থেকে অনেক দূরে,সে চলে যায় নিজ মাতৃভূমি থেকে অনেক দূরে
"প্রত্যক্ষদর্শী ও নিহত আনিসুরের পারিবারিক সূত্র জানায়, তিনি সকালে দুই সন্তান আনিতা ও অনিককে ইকবাল রোডের একটি কিন্ডারগার্টেনে পৌঁছে দিয়ে হেঁটে বাসায় ফিরছিলেন","প্রত্যক্ষদর্শী ও নিহত আনিসুরের পারিবারিক সূত্র জানায়, তিনি সকালে দুই সন্তান আনিতা ও অনিককে ইকবাল রোডের একটি কিন্ডারগার্টেনে পৌঁছে দিয়ে হেঁটে বাসায় ফিরছিলেন"
"খোঁজ নিয়ে জানা গেছে, আয়োজনটি হবে স্কুলপর্যায়ে ও দিনব্যাপী","খোঁজ নিয়ে জানা গেছে, আয়োজনটি হবে স্কুলপর্যায়ে ও দিনব্যাপী"
"ইনসান আলী বলেন, মালিক মাত্র ২০০ থেকে ৩০০ সিঙ্গাপুরি ডলার দিয়েছিল","ইনসান আলী বলেন, মালিক মাত্র ২০০ থেকে ৩০০ সিঙ্গাপুরি ডলার দিয়েছিল"
এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেন্টারে,এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেন্টারে
"প্রায় ১০ হাজার পুলিশ, দমকল কর্মী এই কনসার্টের রক্ষণাবেক্ষণে নিয়োজিত ছিলেন","প্রায় ১০ হাজার পুলিশ, দমকল কর্মী এই কনসার্টের রক্ষণাবেক্ষণে নিয়োজিত ছিলেন"
কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সিটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন,কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সিটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন
তাঁর সময়ে অভিবাসন নিয়ে বিতর্কিত কঠোর সব নিয়ম চালু হয়,তাঁর সময়ে অভিবাসন নিয়ে বিতর্কিত কঠোর সব নিয়ম চালু হয়
"এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন, ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির যে ব্যবস্থা করেছিলেন, নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর","এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন, ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির যে ব্যবস্থা করেছিলেন, নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর"
তাঁকে গ্রেপ্তার করে সিআইডি কার্যালয়ে নিয়ে আসা হয়,তাঁকে গ্রেপ্তার করে সিআইডি কার্যালয়ে নিয়ে আসা হয়
"হতে পারে এটা উচ্চাভিলাষী, তবে তারা ২০৩০ সালের মধ্যে বিশ্ব থেকে দারিদ্র্য দূর করার চেষ্টা করে যাবে","হতে পারে এটা উচ্চাভিলাষী, তবে তারা ২০৩০ সালের মধ্যে বিশ্ব থেকে দারিদ্র্য দূর করার চেষ্টা করে যাবে"
রজার্স কাপের শীর্ষ দশ বাছাইয়ের মধ্যে চার খেলোয়াড়কে টানা চার ম্যাচে হারিয়ে হইচই ফেলে দিয়েছেন স্টেফানোস সিতসিপাস,রজার্স কাপের শীর্ষ দশ বাছাইয়ের মধ্যে চার খেলোয়াড়কে টানা চার ম্যাচে হারিয়ে হইচই ফেলে দিয়েছেন স্টেফানোস সিতসিপাস
সকাল সাড়ে আটটার দিকে শেষ হয় এ জানাজা,সকাল সাড়ে আটটার দিকে শেষ হয় এ জানাজা
অনুষ্ঠানে চিত্রনায়ক ফেরদৌস ও অভিনয়শিল্পী নাবিলাকে পরবর্তী সময়ে পুরো অনুষ্ঠানটি পরিচালনার জন্য তাঁদের হাতে মাইক তুলে দেওয়া হয়,অনুষ্ঠানে চিত্রনায়ক ফেরদৌস ও অভিনয়শিল্পী নাবিলাকে পরবর্তী সময়ে পুরো অনুষ্ঠানটি পরিচালনার জন্য তাঁদের হাতে মাইক তুলে দেওয়া হয়
চাঁদনগর মহল্লার শহীদ আজিজুল হক স্ট্রিটে রিকশা করে যাচ্ছিলেন ওই এলাকার বাসিন্দা ইসমাইল হোসেন,চাঁদনগর মহল্লার শহীদ আজিজুল হক স্ট্রিটে রিকশা করে যাচ্ছিলেন ওই এলাকার বাসিন্দা ইসমাইল হোসেন
সবচেয়ে বেশি ক্ষতিগ্রস্ত হচ্ছেন কৃষকেরা,সবচেয়ে বেশি ক্ষতিগ্রস্ত হচ্ছেন কৃষকেরা
তাহলে থাকে সশস্ত্র বাহিনী,তাহলে থাকে সশস্ত্র বাহিনী
"ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন, ‘বন্ধুত্ব ঠিক আছে","ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন, ‘বন্ধুত্ব ঠিক আছে"
এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস,এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস
আমি এ বছর এসএসসি পাস করেছি,আমি এ বছর এসএসসি পাস করেছি
২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন,২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন
সাবেক চেয়ারম্যান মুহাম্মদ শহিদুল্লাহর সভাপতিত্বে সভায় উদ্বোধনী বক্তব্য দেন সাবেক সংসদ সদস্য সরওয়ার জামাল,সাবেক চেয়ারম্যান মুহাম্মদ শহিদুল্লাহর সভাপতিত্বে সভায় উদ্বোধনী বক্তব্য দেন সাবেক সংসদ সদস্য সরওয়ার জামাল
বেলালের নেতৃত্বে ১০-১২ জন সন্ত্রাসী রড-লাঠি দিয়ে বিদ্যালয়ের অফিসরুমে সহকারী প্রধান শিক্ষককে বেধড়ক পিটিয়ে ফেলে যায়,বেলালের নেতৃত্বে ১০-১২ জন সন্ত্রাসী রড-লাঠি দিয়ে বিদ্যালয়ের অফিসরুমে সহকারী প্রধান শিক্ষককে বেধড়ক পিটিয়ে ফেলে যায়
এই কুস্তিগির ভারতের হরিয়ানানিবাসী,এই কুস্তিগির ভারতের হরিয়ানানিবাসী
"দুর্গাকুমার পাঠশালা সরকারি প্রাথমিক বিদ্যালয়ের সহকারী শিক্ষিকা শিপ্রা রানি নাথ বলেন, ‘বিদ্যালয়ের ছোট ছোট শিক্ষার্থীরা যাতায়াতের সময় খেলার ছলে ট্রান্সফরমারের ভেতরে আঙুল ঢুকিয়ে দিলে ভয়াবহ দুর্ঘটনা ঘটে যেতে পারে","দুর্গাকুমার পাঠশালা সরকারি প্রাথমিক বিদ্যালয়ের সহকারী শিক্ষিকা শিপ্রা রানি নাথ বলেন, ‘বিদ্যালয়ের ছোট ছোট শিক্ষার্থীরা যাতায়াতের সময় খেলার ছলে ট্রান্সফরমারের ভেতরে আঙুল ঢুকিয়ে দিলে ভয়াবহ দুর্ঘটনা ঘটে যেতে পারে"
এরপর ঘটনাটি ঘটেছে,এরপর ঘটনাটি ঘটেছে
কেউ কেউ বেতনভুক্ত ম্যানেজারের কথা বলছেন,কেউ কেউ বেতনভুক্ত ম্যানেজারের কথা বলছেন
"জয় শাহরিয়ার জানিয়েছেন, ভালোবাসা দিবস উপলক্ষে অ্যালবামটি সিডি আকারে বাজারে ছাড়ছে সিএমভি","জয় শাহরিয়ার জানিয়েছেন, ভালোবাসা দিবস উপলক্ষে অ্যালবামটি সিডি আকারে বাজারে ছাড়ছে সিএমভি"
একটা দিক থেকে অনেক আফগান ক্রিকেটারদের চেয়ে বেশি ঝুঁকিতে মোলস,একটা দিক থেকে অনেক আফগান ক্রিকেটারদের চেয়ে বেশি ঝুঁকিতে মোলস
অনুষ্ঠান উদ্বোধন করেন জেলা পরিষদের চেয়ারম্যান লোকমান হোসেন মৃধা,অনুষ্ঠান উদ্বোধন করেন জেলা পরিষদের চেয়ারম্যান লোকমান হোসেন মৃধা
কক্ষে রাতে ঠিকমতো ঘুম হয় না,কক্ষে রাতে ঠিকমতো ঘুম হয় না
"পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা যায়, দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে","পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা যায়, দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে"
আমরা মান ও গ্রাহকের চাহিদাকে গুরুত্ব দিই,আমরা মান ও গ্রাহকের চাহিদাকে গুরুত্ব দিই
সংসারে ফিরেছে সচ্ছলতা,সংসারে ফিরেছে সচ্ছলতা
মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম,মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম
রামোস ইচ্ছাকৃতভাবেই সালাহর হাত ধরে রেখেছিলেন—এমনটাই ধারণা ভক্তদের,রামোস ইচ্ছাকৃতভাবেই সালাহর হাত ধরে রেখেছিলেন—এমনটাই ধারণা ভক্তদের
"এসব বৈঠকে দ্বিপক্ষীয় সম্পর্ক ছাড়াও সাম্প্রতিক নির্বাচন, ক্ষমতা হস্তান্তর এবং বর্তমান সরকারের সংস্কার কর্মসূচি গুরুত্ব পেয়েছে","এসব বৈঠকে দ্বিপক্ষীয় সম্পর্ক ছাড়াও সাম্প্রতিক নির্বাচন, ক্ষমতা হস্তান্তর এবং বর্তমান সরকারের সংস্কার কর্মসূচি গুরুত্ব পেয়েছে"
তাদের সঙ্গে কমিশনের সমঝোতা স্মারক স্বাক্ষরিত হয়েছে এবং এর ভিত্তিতে বিভিন্ন কার্যক্রম চলমান,তাদের সঙ্গে কমিশনের সমঝোতা স্মারক স্বাক্ষরিত হয়েছে এবং এর ভিত্তিতে বিভিন্ন কার্যক্রম চলমান
কিন্তু ৮১০ জন শিক্ষার্থীর জন্য গণিতে মাত্র একজন শিক্ষক আছেন,কিন্তু ৮১০ জন শিক্ষার্থীর জন্য গণিতে মাত্র একজন শিক্ষক আছেন
তবে বোয়ানের ফেসবুক পেজে গতকাল বিকেলে একটি বিজ্ঞপ্তি দেখা যায়,তবে বোয়ানের ফেসবুক পেজে গতকাল বিকেলে একটি বিজ্ঞপ্তি দেখা যায়
বৃশ্চিক (২৪ অক্টোবর—২২ নভেম্বর)বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে,বৃশ্চিক (২৪ অক্টোবর—২২ নভেম্বর)বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে
আবারও ব্যস্ততার চাপ নিতে মন চায় না,আবারও ব্যস্ততার চাপ নিতে মন চায় না
তার বাড়ি ফুলবাড়িয়া উপজেলার বরুরা গ্রামে,তার বাড়ি ফুলবাড়িয়া উপজেলার বরুরা গ্রামে
সেখানে পরিবেশের এত বড় ক্ষতি হবে না,সেখানে পরিবেশের এত বড় ক্ষতি হবে না
১৭ বছর আগে মোসলে উদ্দিন বিয়ে করেন,১৭ বছর আগে মোসলে উদ্দিন বিয়ে করেন
মোটরসাইকেলে করে কুমিল্লা শহরে যাওয়ার পথে ওই হোটেলের সামনে তিনি মোটরসাইকেল থেকে ছিটকে পড়েন,মোটরসাইকেলে করে কুমিল্লা শহরে যাওয়ার পথে ওই হোটেলের সামনে তিনি মোটরসাইকেল থেকে ছিটকে পড়েন
প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী,প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী
"এ সময় রাজশাহী বিশ্ববিদ্যালয় সাংবাদিক সমিতির সাধারণ সম্পাদক মুস্তাফিজ রনি, রিপোটার্স ইউনিটির সভাপতি কায়কোবাদ খান, সাধারণ সম্পাদক হুসাইন মিঠু, সাংবাদিক সমিতির যুগ্ম সাধারণ সম্পাদক মেহেদী হাসান, কোষাধ্যক্ষ রাশেদ রিন্টু, প্রেসক্লাবের সভাপতি তাসলিমুল আলম, সাধারণ সম্পাদক ইমদাদুল হক প্রমুখ উপস্থিত ছিলেন","এ সময় রাজশাহী বিশ্ববিদ্যালয় সাংবাদিক সমিতির সাধারণ সম্পাদক মুস্তাফিজ রনি, রিপোটার্স ইউনিটির সভাপতি কায়কোবাদ খান, সাধারণ সম্পাদক হুসাইন মিঠু, সাংবাদিক সমিতির যুগ্ম সাধারণ সম্পাদক মেহেদী হাসান, কোষাধ্যক্ষ রাশেদ রিন্টু, প্রেসক্লাবের সভাপতি তাসলিমুল আলম, সাধারণ সম্পাদক ইমদাদুল হক প্রমুখ উপস্থিত ছিলেন"
জমির সরকারি মূল্য অস্বাভাবিক বৃদ্ধি করায় জমি কেনাবেচার পর রেজিস্ট্রি করতে গিয়ে ভোগান্তিতে পড়ছেন সাধারণ মানুষ,জমির সরকারি মূল্য অস্বাভাবিক বৃদ্ধি করায় জমি কেনাবেচার পর রেজিস্ট্রি করতে গিয়ে ভোগান্তিতে পড়ছেন সাধারণ মানুষ
ঠিক ১০ বছর আগে ২০০৬ সালের ফেব্রুয়ারি মাসটি ছিল বাংলাদেশের ইতিহাসে সবচেয়ে উষ্ণতম,ঠিক ১০ বছর আগে ২০০৬ সালের ফেব্রুয়ারি মাসটি ছিল বাংলাদেশের ইতিহাসে সবচেয়ে উষ্ণতম
বিবাহিত কিশোরীদের ৮৯ ভাগ অন্তত একবার গর্ভধারণ করেছে,বিবাহিত কিশোরীদের ৮৯ ভাগ অন্তত একবার গর্ভধারণ করেছে
তাঁদের ১২ জনই বিভিন্ন বেসরকারি বিশ্ববিদ্যালয়ের শিক্ষার্থী,তাঁদের ১২ জনই বিভিন্ন বেসরকারি বিশ্ববিদ্যালয়ের শিক্ষার্থী
আরিফুর রহমানের বাড়ি ঢাকা জেলার ধামরাই পৌরসভার মোকামটোলায়,আরিফুর রহমানের বাড়ি ঢাকা জেলার ধামরাই পৌরসভার মোকামটোলায়
"এর আগে বিকেল সাড়ে চারটার দিকে শিক্ষক ফোরামের আহ্বায়ক অধ্যাপক মুহম্মদ হানিফ আলী সাংবাদিকদের বলেন, উপাচার্য পদত্যাগ না করা পর্যন্ত তাঁকে অবরুদ্ধ করে রাখা হবে","এর আগে বিকেল সাড়ে চারটার দিকে শিক্ষক ফোরামের আহ্বায়ক অধ্যাপক মুহম্মদ হানিফ আলী সাংবাদিকদের বলেন, উপাচার্য পদত্যাগ না করা পর্যন্ত তাঁকে অবরুদ্ধ করে রাখা হবে"
"৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ, ৩৭ পয়েন্ট নিয়ে তিনে ভ্যালেন্সিয়া","৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ, ৩৭ পয়েন্ট নিয়ে তিনে ভ্যালেন্সিয়া"
কাকতালীয়ভাবে এখন পর্যন্ত অপরাজিত ৩৩ ম্যাচের মধ্যে রিয়ালেরও জয় ২৫টি! ড্র বাকি ৮টি ম্যাচ,কাকতালীয়ভাবে এখন পর্যন্ত অপরাজিত ৩৩ ম্যাচের মধ্যে রিয়ালেরও জয় ২৫টি! ড্র বাকি ৮টি ম্যাচ
আজকের মধ্যেই কাজ শেষ হবে বলে তিনি জানান,আজকের মধ্যেই কাজ শেষ হবে বলে তিনি জানান
কিন্তু সেই সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর,কিন্তু সেই সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর
অনেক ক্ষেত্রেই মানুষকে ছাড়িয়ে যাবে,অনেক ক্ষেত্রেই মানুষকে ছাড়িয়ে যাবে
তবে এ বিষয়ে এখনো কোনো মামলা হয়নি,তবে এ বিষয়ে এখনো কোনো মামলা হয়নি
• আপেল খেলে মেদ জমে না,• আপেল খেলে মেদ জমে না
"কারও মাথায় ব্যান্ডেজ, তো কারও হাত ঝুলিয়ে দেওয়া হয়েছে","কারও মাথায় ব্যান্ডেজ, তো কারও হাত ঝুলিয়ে দেওয়া হয়েছে"
এরপর আকাশযুদ্ধে ভারত হারায় দুটি যুদ্ধবিমান,এরপর আকাশযুদ্ধে ভারত হারায় দুটি যুদ্ধবিমান
শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না,শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না
তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত,তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত
"থানা-পুলিশ ও এলাকাবাসী সূত্র জানায়, হেমন্ত দাস ডায়াবেটিসের রোগী ছিলেন","থানা-পুলিশ ও এলাকাবাসী সূত্র জানায়, হেমন্ত দাস ডায়াবেটিসের রোগী ছিলেন"
"চীনা আদার কেজিপ্রতি দর ৭৫ টাকা, ভারতীয় আদা ৩০-৩২ টাকা এবং মিয়ানমারের আদা ৩৮-৪৩ টাকা","চীনা আদার কেজিপ্রতি দর ৭৫ টাকা, ভারতীয় আদা ৩০-৩২ টাকা এবং মিয়ানমারের আদা ৩৮-৪৩ টাকা"
লাইনটি দীর্ঘদিন সংস্কার না হওয়ায় সেখানে বারবার ট্রেন লাইনচ্যুত হচ্ছে বলে জানিয়েছেন সংশ্লিষ্ট লোকজন,লাইনটি দীর্ঘদিন সংস্কার না হওয়ায় সেখানে বারবার ট্রেন লাইনচ্যুত হচ্ছে বলে জানিয়েছেন সংশ্লিষ্ট লোকজন
সে পাস কাজে লাগালেন কার্লোস সোলের,সে পাস কাজে লাগালেন কার্লোস সোলের
সৌভাগ্যক্রমে মালিবাগ ও গুলিস্তানের ঘটনায় প্রাণহানি ঘটেনি,সৌভাগ্যক্রমে মালিবাগ ও গুলিস্তানের ঘটনায় প্রাণহানি ঘটেনি
ওই বিনিয়োগ বাংলাদেশেও আসছে,ওই বিনিয়োগ বাংলাদেশেও আসছে
যেকোনো ব্যাটিং পজিশনে স্মিথের চেয়ে কম স্ট্রাইকরেটের ইনিংস আছে মাত্র দুটি,যেকোনো ব্যাটিং পজিশনে স্মিথের চেয়ে কম স্ট্রাইকরেটের ইনিংস আছে মাত্র দুটি
একটা ব্যাপার অন্তত পরিষ্কার,একটা ব্যাপার অন্তত পরিষ্কার
"সহিংসতা, নাশকতা ও পেট্রলবোমার কাছে সরকার নতি স্বীকার করবে না","সহিংসতা, নাশকতা ও পেট্রলবোমার কাছে সরকার নতি স্বীকার করবে না"
এ ছাড়া ছাত্রীনিবাসে টয়লেট ও গোসলখানার সংকট রয়েছে,এ ছাড়া ছাত্রীনিবাসে টয়লেট ও গোসলখানার সংকট রয়েছে
ট্রাম্পের নিজের পরিবারও মাত্র তিন প্রজন্ম আগে এ দেশে এসেছে,ট্রাম্পের নিজের পরিবারও মাত্র তিন প্রজন্ম আগে এ দেশে এসেছে
দোকানের কারিগর ছাপাত হোসেন ৩৩ বছর ধরে এখানে কাজ করছেন,দোকানের কারিগর ছাপাত হোসেন ৩৩ বছর ধরে এখানে কাজ করছেন
