Error,Word
ম া ন ু শ,ম া ন ু ষ ও
ত ্ র ু ন,ত র ু ণ
ব ই ধ ক র ন ে র,ব ৈ ধ ক র ণ ে র
ব া চ া ক ে,ব া চ ্ চ া ক ে
জ দ ্ ধ া,য ো দ ্ ধ া
প ্ র ে,প া র ে
দ ল ত া ক ে,দ ল ট ি ক ে
ব ি ব ্ র ন,ব ি চ র ণ
প ু র ব প ু র ু শ দ ে র,প ূ র ্ ব প ু র ু ষ দ ে র
এ গ চ ্ ছ ে,এ গ ো চ ্ ছ ে
স ু ব ু ধ া র ত ে,স ু ব ি ধ া র ্ ত ে
আ ক ্ ষ া য় ি ত,আ খ ্ য া য় ি ত
ক র া,ক ড় া
ভ া স া য়,ভ া ষ া য়
শ র,শ র ও
ফ া ক ি স ্ ত া ন,প া ক ি স ্ ত া ন
ন ি র দ ে শ ে ই,ন ি র ্ দ ে শ ে ই
ম দ ি ন,ম দ ি ন া
স া ত ে ল ি ত গ ু ল,স ্ য া ট ে ল া ই ট গ ু ল ো
স ্ ত ে শ ি ও ঙ ্ গ ু ল ক ে,স ্ ট ে শ ন গ ু ল ো ক ে ও
ফ া চ ে ব ু ক,ফ ে স ব ু ক
প া ছ ট ি,প া ঁ চ ট ি ত ে
ন ে প ল ি য় ন ে র,ন ে প ো ল ি য় ন ে র
অ ব শ শ ই,অ ব শ ্ য
ভ ব ি শ ত ে,ভ ব ি ষ ্ য ত ে
স া ধ ি ন ত া,স ্ ব া ধ ী ন ত া
আ ন ্ দ ো ল ঙ ্ ক া র ি দ ে র,আ ন ্ দ ো ল ন ক া র ী দ ে র
ক ্ র ি ক ে ত ে র র া,ক ্ র ি ক ট ্ র ে ক া র
র ক ্ ষ ন া ব ে খ খ ন শ,র ক ্ ষ ন া ব ে ক ্ ষ ন স হ
ব া র স া র,ব া র ্ স া র
শ া ম ি,স ্ ব া ম ী
র ি স া র ছ,র ি স া র ্ চ
স ি ত ি ক ে,স ি ট ি ক ে
ব ই ধ ত া,ব ৈ ধ ত া
ত া ছ া র া,ত া ছ া ড় া
ঈ র ষ ন ি য়,ঈ র ্ ষ ণ ী য়
হ ত ্ ত ে ল ে,হ ো ট ে ল ে
র া ই দ া র ্ স ে র,র া ই ড া র ্ স ে র
ম ি ও ন ি ত ে,ম ি ন ি ট ে
দ া র া ত ে,দ া ঁ ড় া ত ে
গ ু হ া ত ি,গ ু হ া ট ি
চ ি ক ি ত শ া,চ ি ক ি ৎ স া
স স ু র ক ে,শ া শ ু ড় ী ক ে
৩ ০ ৫ ত ি,৩ ০ ৫ ট ি
উ ই ক ে ট ে ড়,উ ই ক ে ট ে র
ব া র ি ত ি,ব া ড় ি ট ি
চ ে ন ে ল ে,চ ্ য া ন ে ল ে
ম ু স চ ল ী র,ম া স ল ে র
ত আ দ ে র,ত া দ ে র
আ জ ি,আ জ ই
প ্ র ছ ল ন,প ্ র চ ল ন
ত ু আ ক ্ ক া,ত ো য় া ক ্ ক া
ব া ত ্ ত ি ং শ হ া য় ক,ব ্ য া ট ি ং স হ া য় ক
ত া ক ্ ত ে,থ া ক ত ে
৯ ত ি,৯ ট ি
ন া ম ্ ল ে,ন া ম ল ে
১ ৯ ৭ ১,১ ৯ ৭ ৯
স ্ র ি ল া ঙ ্ ক া য়,শ ্ র ী ল ঙ ্ ক া য় ও
ব ি ম া ন ব া হ ি,ব ি ম া ন ব া হ ী
ব ি ন দ ন,ব ি ন ো দ ন
শ ি ও ল ্ প ি,শ ি ল ্ প
থ ে ক ্ ব,থ ে ক ে ও
জ ো ড়,জ ো র
স ন শ দ ে,স ং স দ ে
অ ন ু শ ্ ত হ ি ত,অ ন ু ষ ্ ঠ ি ত
প া থ া ত ে,প া ঠ া ত ে
থ ি ক া দ া র ে র,ঠ ি ক া দ া র ে র
জ া ঞ ্ জ ত,য া ন জ ট
ছ ো ব ই,ছ ব ি ও
শ ে ত া,স ে ট া
ছ া ক ্ ক া ত া,চ া ক ্ ক া ট া
এ গ ু ল,এ গ ু ল ো
ব া ত ে,ব ্ য া ট ে
আ স স ্ ত ে,আ স ত ে
ব ি র ত ী র,ব ি র ত ি র
ক র ্ ম ত,ক র ্ ম র ত
গ া,গ া ঁ
শ ু ক ্ র ু ব া র,শ ু ক ্ র ব া র
১ ৪ ত ি,১ ৪ ট ি
ম ি দ ল,ম ি ড ল
শ ্ র ী ষ ্ ট ি,স ৃ ষ ্ ট ি
ব শ ে ছ ে,ব স ে ছ ে
ম ্ য া য়,ম ে
ন ি দ া র ু ন,ন ি দ া র ু ণ
জ গ া ন ে র,জ ো গ া ন ে র
আ স ে প া স ে,আ শ ে প া শ ে র
ও ্ য া শ ি ং ত ন,ও য় া শ ি ং ট ন
প ্ র দ র শ ন ি,প ্ র দ র ্ শ ন ী
গ ্ র ে ফ ত া র ক ্ র ে ত,গ ্ র ে ফ ত া র ক ৃ ত
শ ি ষ ে র,শ ী ষ ে র
অ ন ন ু ম দ ি ত,অ ন ন ু ম ো দ ি ত
স া ক ্ ষ ঘ ্ র হ ন,স া ক ্ ষ ্ য গ ্ র হ ণ
জ া য় গ া ত ি ও,জ া য় গ া ট ি ও
শ ্ র ে ন ি ত,শ ্ র ে ণ ি ত ে
স হ য গ ি ক ে,স হ য ো গ ী ক ে
শ ি ল ি ঘ ু র ি,শ ি ল ি গ ু ড় ি
ক ু র ি প া ই ল ্ ক া,ক ু ড় ি প া ই ক া
ন ো ত ু ন,ন ত ু ন
স ব চ ে,স ব চ ে য ় ে
ই ত ম ধ ে ই,ই ত ম ধ ্ য ে ই
স ঙ ্ গ ি ত া য় জ ন ে,স ঙ ্ গ ী ত া য় ো জ ন ে
প া চ ে,প ে স
অ ল ে র,দ ল ে র
দ ন ্ দ ে,দ ্ ব ন ্ দ ্ ব ে
ব য় ল া র,ব ্ র য় ল া র
ভ ে ঙ ্ গ ে ছ ে,ভ ে ঙ ে ছ ে
উ র ধ ে,ঊ র ্ ধ ্ ব ে
ত া ও ও া র ে,ট া ও য় া র ে
প র র া স ্ ত ্ র,প র র া ষ ্ ট ্ র
শ া গ ত ি ক,স ্ ব া গ ত ি ক
ন ি র প ে ক ্ ক,ন ি র প ে ক ্ ষ
ম র ত া র ে র,ম র ্ ট া র ে র
ন ি র ম া ন ে র,ন ি র ্ ম া ণ ে র
স ি ধ ধ া ন ্ ত,স ি দ ্ ধ া ন ্ ত
এ য় া র ত ে ল,এ য় া র ট ে ল
প ি ল ্ ল া র,প ি ল া র
ম উ খ ি ক ভ া ব ে,ম ৌ খ ি ক ভ া ব ে
প দ ্ দ া শ ে ত ু র,প দ ্ ম া স ে ত ু র
ব ো র,ব ো র ো
আ র ু,আ র ো
শ ত ক ত া,শ ত ক র া
১ ২ ত া র,১ ২ ট া র
ব া ন ি ই জ ্ জ ে র,ব া ণ ি জ ্ য ে র
ব ি র ু ধ ধ দ ে,ব ি র ু দ ্ ধ ে
দ ্ য ্ য ি ত ্ ত,দ া য ় ি ত ্ ব
শ ন শ ত া,স ং স ্ থ া
খ ল ি ফ া প া র া য়,খ ল ি ফ া প া ড় া য়
অ শ শ স ্ ত ি ত ে,অ স ্ ব স ্ ত ি ত ে
শ র ব শ া ন ্ ত,স র ্ ব শ া ন ্ ত
ব ি শ শ ম া ন ে র,ব ি শ ্ ব ম া ন ে র
প ু প জ ু ক ্ ত,উ প য ু ক ্ ত
এ খ া ঙ ্ ক া র,এ খ া ন ক া র
ব া র ছ ে,ব া ড ় ছ ে
এ ল া ক া ব া স ি র,এ ল া ক া ব া স ী র
স ব ু জ ে র া,স ব ু জ র া
শ ্ র ি,শ ্ র ী
ব া চ ্ ছ া,ব া চ ্ চ া
ব া স া ব া র ি ত ে,ব া স া ব া ড় ি ত ে
ছ া ম ্ প ি য় ন ্ স,চ ্ য া ম ্ প ি য় ন ্ স
প া ট ি,প া র ্ ট ি
ল া ম া ব া য া র ে,ল া ম া ব া জ া র ে
ক র া ছ ি,ক র া চ ি
ক ্ ট হ র,ক ঠ ো র
ছ া ত ্ র ি ক ে,ছ া ত ্ র ী ক ে
আ প ্ ন া আ র,আ প ন া র া
ত া র প র,ত া র প র ও
জ া ই ন ি,য া য় ন ি
প া র ে,প া ড ় ে
ক ্ য া র ি ব ি য় া ন ্ দ ে র,ক ্ য া র ি ব ি য় া ন দ ে র
শ স ্ থ,ষ ষ ্ ঠ
ত ন,ট ন
ল ক জ ন ে র,ল ো ক জ ন ে র
ভ ে ঘ ে চ ে ন,ভ ে ঙ ে ছ ে ন
প ে শ া র,প ে স া র
জ ও া য় া,য া ও য় া
ব ি য় ে,ব ি য ় ে
দ া ই য় া ব ে ত ি স,ড া য় া ব ে ট ি স
ন ি য় ে ও,ন ি য ় ে ও
উ ত ্ ত র া য়,উ ত ্ ত র া র
দ া ব ী,দ া ব ি
স ূ ব ্ র ত,স ু ব ্ র ত
অ দ ্ ধ খ,অ ধ ্ য ক ্ ষ
গ ে ম ি,জ ে ম ি
অ ং ক ি ত,অ ঙ ্ ক ি ত
ক গ জ প ত ্ র,ক া গ জ প ত ্ র
ম ঞ ্ ছ,ম ঞ ্ চ
দ া শ ত ে র,দ া স ত ্ ব ে র
ঘ ি ও ন ্ ত া র,ঘ ণ ্ ট া র
ভ া ল,ভ া ল ো
শ া ভ া ব ি ক,স ্ ব া ভ া ব ি ক
আ ল ্ ল ল া হ,আ ল ্ ল া হ
জ র া ন,জ ড় া ন ো
র ব ব া র,র ো ব ব া র
আ ন ্ ত র ্ জ া ত ক,আ ন ্ ত র ্ জ া ত ি ক
ম ু ক ্ ষ ম ন ্ ত ্ র ি,ম ু খ ্ য ম ন ্ ত ্ র ী
শ ন শ দ,স ং স দ
ম ৃ ত ু ও র,ম ৃ ত ্ য ু র
গ ্ র ন ্ থ ও,গ ্ র ন ্ থ
স া ম ্ ন ে ই,স া ম ন ে ই
ন ে অ য় া,ন ে ও য় া
স া ল ে,স া ফ ে
স ভ ভ ত া র,স ভ ্ য ত া র
ব ঝ া,ব ে া ঝ া
অ ভ ে য় া র,ও ভ া র
স ি দ ্ ধ ি র গ া ঞ ্ জ ে র,স ি দ ্ ধ ি র গ ঞ ্ জ ে র
ঊ প র,উ প র
দ ে শ া ন ্ ত র ি,দ ে শ া ন ্ ত র ী
স া স ্ ত ি,শ া স ্ ত ি
ভ ে ন ে,ভ ে ঙ ে
প ্ র ক ল ্ প ন া,প র ি ক ল ্ প ন া
৬,স া ড় ে
স ্ র ম ে র,শ ্ র ম ে র
ন ম,ন া ম
ম ্ র ি ত দ ে র,ম ৃ ত দ ে র
দ ে খ,দ ে খ ো
ল ি দ,ল ি ড
খ ব,ক ্ ষ ো ভ
দ ি প ্ ত ি,ড ি প ট ি
চ ি থ ি র,চ ি ঠ ি র
গ া স,গ ্ য া স
শ া হ স ে র,স া হ স ে র
স ্ প ত ে র,স ্ প ট ে র
শ ত গ ু ন,শ ত গ ু ণ
দ া,দ ্ য
ক ি শ ে র,ক ি স ে র
ব ন ্ ট ন ে র,ব ণ ্ ট ন ে র
প ্ র য় জ ো ন,প ্ র য় ো জ ন
প ্ র া ন ি ক ে,প ্ র া ণ ী ক ে
ব য় ে র,ভ য় ে র
গ ু গ ্ ল ি,গ ু গ ল ি
স ্ ব া দ র ে,স া দ র ে
জ ু ক ্ ত ্ র া স ্ ত ্ র ে র,য ু ক ্ ত র া ষ ্ ট ্ র ে র
গ ই ত,গ ত
ঘ স ন া র,ঘ ো ষ ণ া র
ধ া ম া ছ া প য় া,ধ া ম া চ া প া
ফ র স ে স গ ু ল ই,ফ ো র ্ স ে স গ ু ল ো ই
আ ছ া র,আ চ া র
এ র,এ ই
শ া শ ্ র ধ,শ ্ ব া স র ো ধ
চ ত ে,চ ো ট ে
দ া র ি দ ্ র ম ু ক ্ ত,দ া র ি দ ্ র ্ য ম ু ক ্ ত
ব ে শ র ক া র ি ভ া ব ে,ব ে স র ক া র ি ভ া ব ে
স ্ ম ম ্ র ি দ ্ দ,স ম ৃ দ ্ ধ
প র ি ব ত ে,প র ি ব র ্ ত ে
স া ই দ প ু র,স ৈ য় দ প ু র
ল ি ফ ্ ল ে ত,ল ি ফ ল ে ট
ক ্ র ি ক ে ত ে,ক ্ র ি ক ে ট
স র ব চ ্ চ,স র ্ ব ে া চ ্ চ
ক ি ঞ ্ ছ ে ন,ক ি ন ছ ে ন
ব া র থ,ব ্ য র ্ থ
ব া র া র,ব া ড় া র
আ ত ক া ন,আ ট ক া ন ো
খ ে ল য় া র,খ ে ল ো য় া ড়
ছ ি ক ি ত স ক,চ ি ক ি ৎ স ক
ম ি শ ্ ত ি,ম ি ষ ্ ট ি
প ি শ ্ ত হ া র,প ৃ ষ ্ ঠ া র
স ্ র ে ন ি প ্ র া প ত ্ ত,শ ্ র ে ণ ী প ্ র া প ্ ত
৮ ত া,৮ ট া
গ ্ র ি হ ব ধ ু র,গ ৃ হ ব ধ ূ র
আ র ও,আ র ো
ক ্ ত,ক ত ো
ধ া ব ি,দ া ব ি
স ে র গ ে ই,স ে র ্ গ ে ই
ছ ি ত ি প ত ্ র,চ ি ঠ ি প ত ্ র
আ প া ত ত,আ প ত ত
চ ক ্ ক া,ছ ক ্ ক া
ক র ু ন া র ত ঙ ্ ক ে,ক র ু ন া র ত ্ ন ক ে
ম ে দ ি য় ে য়,ম ি ড ি য় া য়
ছ া ল া ন ে র,চ া ল া ন ে র
ক া ত ি য় ে ছ ি,ক া ট ি য় ে ছ ি
হ ছ ে ন,হ ো স ে ন
ব ে র ি য় ে,ব ে র ি য ় ে
ন ো ও ক া য়,ন ৌ ক া য়
অ য় া ন ্,ও য় া ন
ক া শ ি ম ্ প ু র ে র,ক া শ ি ম প ু র ে র
শ ি ক ্ র ি ত ি,স ্ ব ী ক ৃ ত ি
ম উ দ ু দ,ম ও দ ু দ
আ শ ্ ত ে,আ স ত ে
আ ক দ ি ন,এ ক দ ি ন
শ া ল ে হ ি ন,স া ল ে হ ী ন
প ্ র ত ি স ্ ট া ত া,প ্ র ত ি ষ ্ ঠ া ত া
ত ি ক া র,ট ি ক া র
প র ি ব র ্ ত ্ ন,প র ি ব র ্ ত ন
ব ল া র দ ে র ও,ব ো ল া র দ ে র ও
উ প স ্ থ া প ি ত,উ ত ্ থ া প ি ত
স ি ধ া ন ্ ত,স ি দ ্ ধ া ন ্ ত
উ ত স র ্ গ,উ ৎ স র ্ গ
ল ি ট ন ে র ি,ল ি ট ন ে র ই
ব ি র ধ ি ত া,ব ি র ো ধ ি ত া
ই ল ি স,ই ং ল ি শ
প ্ র ব ্ র ি দ ্ ধ ি,প ্ র ব ৃ দ ্ ধ ি
ত থ,ত থ ্ য
ফ ি ঞ ্ ছ,ফ ি ঞ ্ চ
প ল ি চ ে ও,প ু ল ি শ ও
গ ো স ল জ া হ া ল ্ ম র া,গ ো স ল জ া হ া ল ম র া
আ ম া ন ্ ত,আ ম া ন ত
প ড় ে ছ ি ল,প ড় ছ ি ল
দ ৈ ন ্ ন দ ি ন,দ ৈ ন ন ্ দ ি ন
দ ে ক ে চ ে ন,দ ে খ ে ছ ে ন
ছ ত ্ র ভ ং ন,ছ ত ্ র ভ ঙ ্ গ
প র ব ে,প র ্ ব ে
ক র ্ ম ক া ন ্ দ ে র,ক র ্ ম ক া ন ্ ড ে র
চ ি ক ি ৎ স া দ ি ন,চ ি ক ি ৎ স া ধ ী ন
আ দ া ল ত ে র,আ দ া ল ত ে
গ ট া,গ ো ট া
গ া শ,গ ্ য া স
ছ া ত ্ র ি,ছ া ত ্ র ী
ব ি র ক ্ ত,ব ি র ক ্ ত ও
অ জ ন,ও জ ন
আ ব হ য় া,আ ব হ া ও য় া
প ধ া ন,প ্ র ধ া ন
জ ন ্ ন ও,জ ন ্ য ও
ম ত ব ি র ধ ট া,ম ত ব ি র ো ধ ট া
স ু ন ্ ন ি ত া ক ে,স ু ন ী ত া ক ে
চ া ল া ন,চ া ল া ন ো
প া ল ণ,প া ল ন
ল ভ ে,ল ো ভ ে
শ এ ব,শ ো য় ে ব
ম দ ে,ম ধ ্ য ে
ব ি শ ে শ,ব ি শ ে ষ
ন ি ক ল া স,ন ি ক ো ল া স
প ্ র ত ি ত ি,প ্ র ত ি ট ি
গ স,জ ি এ স
এ ক ম া ত ্ র ও,এ ক ম া ত ্ র
দ ু ট ী,দ ু ট ি
অ ল ্ র া উ ন ্ দ া র ে র,অ ল র া উ ন ্ ড া র ে র
ক ম ি স ন া র,ক ম ি শ ন া র
গ ো র া য়,গ ো ড় া য়
প স ্ ত ে র,প ো স ্ ট া র
ভ ি এ ত ্ ন া ম,ভ ি য় ে ত ন া ম
এ ক শ া ত ে,এ ক স া থ ে
স ন ি ও ব া র,শ ন ি ব া র
ল া থ ি র,ল া ঠ ি র
ন শ ি ম ্ ন,ন ছ ি ম ন
স ি স ্ ত া ছ া র,শ ি ষ ্ ট া চ া র ও
ক য় া র ত ে র,ক ো য ় া র ্ ট া র
ভ া ড় ো ট,ভ া র ত
প ্ র ত ্ ত া ক ্ ষ া ন,প ্ র ত ্ য া খ া ন
ক া প র,ক া প ড়
আ উ ত া য়,আ ও ত া য়
জ ন ্ ন ন,জ ন ্ য
ব ্ র ি স ্ থ ি ত ে,ব ৃ ষ ্ ট ি ত ে
দ ব ্ ল ি উ,ড ব ্ ল ি উ
ই ন ্ ন ি ং স ে,ই ন ি ং স ে
ত ত ক া ল ি ন,ত ৎ ক া ল ী ন
ম ি য় া ন ্ ম া র,ম ি য় া ন ম া র
শ ্ র া ব ন ্ ত ি,শ ্ র া ব ন ্ ত ী
ব র া ব র ি,ব া র ব া র ই
চ া ত ্ র দ ল ে র,ছ া ত ্ র দ ল ে র
ব া ক ি,ব া ক ী
প ্ র ছ া র,প ্ র চ া র
ব া ক ্ ক া ং শ,ব া ক ্ য া ং শ
অ ব স ি স ্ থ,অ ব শ ি ষ ্ ট
ন ি র া প ত ্ ত া র,ন ি র া প ত ্ ত া
দ ি ত ি ও,দ ্ ব ি ত ী য়
চ ত ু র থ,চ ত ু র ্ থ
এ ই ত ে,এ ই ট ে
অ দ ্ ধ া য় ে,অ ধ ্ য া য় ে
