Word,Error
এই,আই
এই,এর
ওয়েব,অয়েব
সিরিজটির,সিরিজতির
শুটিং,শুতিন
শুটিং,শতিং
শুটিং,শুতিং
চলছে,ছলছে
চলছে,চলেছে
চলছে,ভলছে
চলছে,চলচে
আগামী,আগামি
আগামী,আগামই
পয়লা,পহেলা
বৈশাখে,বইশাকে
বৈশাখে,বইসাখে
প্রচারের,পছারের
লক্ষ্যে,লক্ষে
গত,গইত
এটি,এতি
এটি,এটা
এটি,এতা
এটি,এটী
এটি,এতিল
নির্মাণের,নিরমানের
নির্মাণের,নিমাণের
কাজ,কায
এগিয়ে,এগিয়া
চলেছে,ছলছে
চলেছে,চলছে
উল্লেখ্য,উল্লেক্ষ
উল্লেখ্য,উলেক্ষ
উল্লেখ্য,উল্লেখও
নিহত,নহত
নিহত,নিহথ
নিহত,বিহত
নিহত,নিহিওত
নুসরাত,নুস্রাত
সোনাগাজী,শনাগাজি
ইসলামিয়া,ইস্লামিয়া
মাদ্রাসার,মাদ্রাশায়
মাদ্রাসার,মদ্রাসার
পরীক্ষার্থী,পরিয়াক্ষাত্রি
পরীক্ষার্থী,পরিখারতি
ছিলেন,চিলেন
ছিলেন,ছলেন
ছিলেন,সিলেন
ছিলেন,ছিলাম
ছিলেন,ছেলন
ছিলেন,ছিনেল
ছিলেন,ছিল্কেন
ওই,ৈ
ওই,অই
ওই,এই
ওই,ইউ
ওই,ঐ
ওই,ওয়ি
অধ্যক্ষ,অদক্ষ
অধ্যক্ষ,অদ্দখখ
অধ্যক্ষ,অদ্ধক্ষ
অধ্যক্ষ,অধধক্ষ
অধ্যক্ষ,অদ্ধখ
উদ্দৌলার,উদ্দউলার
বিরুদ্ধে,বিরুকদ্ধে
বিরুদ্ধে,বিরুদে
বিরুদ্ধে,বিরুধধে
বিরুদ্ধে,বিরুধধদে
বিরুদ্ধে,বিদ্রুধে
বিরুদ্ধে,বিরুধে
বিরুদ্ধে,বিরদ্ধে
বিরুদ্ধে,বিরুদ্দে
বিরুদ্ধে,বিরুদ্দধে
বিরুদ্ধে,বইরুদ্ধে
যৌন,জউন
নিপীড়নের,নিপিরনের
অভিযোগ,অভিজগ
অভিযোগ,আভিজগ
অভিযোগ,অভিজোগ
অভিযোগ,অভিজপগ
অভিযোগ,অবিজগ
অভিযোগ,অভিজগে
অভিযোগ,অভজগ
অভিযোগ,আভিযোগ
অভিযোগ,অবিযোগ
অভিযোগ,অভিযগ
করেন,লরেন
করেন,করন
করেন,করেণ
করেন,কারন
করেন,করে
করেন,করনে
রাষ্ট্রের,রাস্তের
রাষ্ট্রের,রাস্ত্রের
মানবাধিকারের,মানবাদিকারের
বিস্তৃত,বিস্ত্রিত
বিস্তৃত,বিশ্ত্রিত
বাংলাদেশের,বানলাদেশের
বাংলাদেশের,বাংলাদশের
বাংলাদেশের,বাংলাদেসের
বাংলাদেশের,বাংলাদেশর
বাংলাদেশের,বাংলাধেসের
সংবিধানে,শনবিধানে
এর,এই
এর,ের
এর,এঁর
এর,এড়
এর,এক
বিশেষ,বিশেশ
বিশেষ,বিসেশ
বিশেষ,বিশেস
বিশেষ,বিসেস
বিশেষ,বিষের
বিশেষ,বিশসেশ
গুরুত্ব,গুরিত্ত
গুরুত্ব,গুরুত্ত
গুরুত্ব,গুরুত
গুরুত্ব,গুরত্ত
দেয়া,দেওয়া
দেয়া,দেইয়া
দেয়া,দেওা
দেয়া,এয়া
হয়েছে,হয়েসে
হয়েছে,হয়েহছে
হয়েছে,অয়েছে
হয়েছে,হয়েছেন
হয়েছে,হয়ছে
হয়েছে,হ্যেছে
হয়েছে,হএচে
হয়েছে,হএয়েছে
হয়েছে,হএছে
হয়েছে,হএছেয়
হয়েছে,হয়েচে
হয়েছে,হয়রেছে
প্রশ্ন,পশ্ন
প্রশ্ন,প্রহসন
প্রশ্ন,প্রস্ন
প্রশ্ন,প্প্রশ্ন
তাহলে,তাহ্লে
তাহলে,তাইলে
সত্যিই,শত্তি
সত্যিই,শত্তিই
সত্যিই,সত্যি
পুলিশের,পুলিশ
পুলিশের,পলিচের
পুলিশের,পলিশের
পুলিশের,পুলিষের
পুলিশের,পলিচেয়ে
ওপর,উপর
ওপর,অরর
ওপর,অপর
ওপর,ওপড়
ওপর,অপ্র
ওপর,অপের
ওপর,অপার
করেছেন,করেসেন
করেছেন,করএছেন
করেছেন,করেঞ্চেন
করেছেন,করছেন
করেছেন,করেছে
করেছেন,করেচেন
মামলা,মাম্লা
ঠিক,ধিক
ঠিক,থিক
বিপরীত,বিপরিত
বক্তব্য,বক্তব্ব
বক্তব্য,বক্কতব্য
মার্কিন,মাকিন
মার্কিন,মারকিন
পররাষ্ট্র,পররাস্ত্র
পররাষ্ট্র,পররাস্ত
পররাষ্ট্র,পররাশট্র
দফতরের,দপ্তরের
প্রতিবেদনে,পতিবেদনে
প্রতিবেদনে,প্রতিবেদিনে
উল্লেখ,উল্লেক
উল্লেখ,উলেখ
উল্লেখ,উললেক
উল্লেখ,উল্লখ
সানজিয়ার,শাঞ্জিয়ার
ইয়াসমিনের,ইয়াস্মিনের
বিষয়ে,বিসয়ে
বিষয়ে,বিশয়ে
বিষয়ে,বিষ্যে
বিষয়ে,বিসেয়ে
বিষয়ে,বিসয়
বিষয়ে,বিশ্যে
বিষয়ে,বিষইয়ে
মাতৃত্বকালীন,মাত্রিতকালিন
ছুটিতে,ছুতিতে
গিয়েছিলেন,গিয়েশিলেন
গিয়েছিলেন,গিয়েচিলেন
তাঁর,তার
ছুটির,ছুতির
শেষ,সেশ
শেষ,শেশ
শেষ,সেস
শেষ,হেশ
শেষ,শেস
শেষ,ষেস
শেষ,সেষ
হলেও,হল্কেও
বিদ্যালয়ে,বিদালয়ে
বিদ্যালয়ে,বিদ্দালয়ে
হাজির,হাজর
হওয়ায়,হউয়ার
হওয়ায়,হউয়ায়
হওয়ায়,হওয়ার
হওয়ায়,হওায়
হওয়ায়,হয়ার
হওয়ায়,হয়ায়
হওয়ায়,হওার
দর্শানোর,দরশানর
নোটিশ,নতিশ
নোটিশ,নোট্রশে
প্রথম,পথম
প্রথম,প্রহম
প্রথম,পড়োঠোম
প্রথম,প্রতম
প্রথম,প্রথোম
প্রথম,প্রতহম
প্রথম,প্রথমে
প্রথম,প্রথিওম
আইএসও,ইস
সার্টিফিকেশন,সারতিফিচেত
সার্টিফিকেশন,সারতিফিচাতিওন
সংস্থা,শনশতা
সংস্থা,শংশ্তহা
সংস্থা,শন্সস্থা
সংস্থা,শংস্থা
সংস্থা,শংশ্তাহ
সিএমএমআই,সিএনেনাই
পার্টনার,পাত্নার
ইউনিসার্ট,ইউনিসারত
ইউনাইটেড,ইউনাইতেদ
সার্ভিসেস,সারভিসেস
লিমিটেড,লিমিতেদ
প্রতিষ্ঠানটি,প্রতিস্তান্তি
প্রতিষ্ঠানটি,পরতিশথানটি
প্রতিষ্ঠানটি,প্রতিশ্তহান্তি
বাংলাদেশ,বানলাদেস
বাংলাদেশ,বানলাসেশ
বাংলাদেশ,বাঙ্গালদেশ
বাংলাদেশ,বাংলাসদেশ
বাংলাদেশ,বাংলাদেস
বাংলাদেশ,বানালদেশ
বাংলাদেশ,বানলাদেশ
অ্যাক্রিডিটেশন,আক্রিদিতেশ্ন
বোর্ড,বরদ
বোর্ড,বোর্দ
দ্বারা,দারা
দ্বারা,ধারা
একমাত্র,এক্মাত্র
একমাত্র,এক্মারত
একমাত্র,একমাত্রও
একমাত্র,আক্মাত্র
স্বীকৃত,শিক্রিত
স্বীকৃত,সিক্ত্রিত
প্রতিষ্ঠান,পতিশ্তহান
প্রতিষ্ঠান,প্রতিষতান
প্রতিষ্ঠান,প্রতিশ্তহান
প্রতিষ্ঠান,প্রতিশ্ঠান
প্রতিষ্ঠান,প্রতিষ্টান
আমার,আমারা
আমার,আমআর
আমার,আমআড়
আমার,আম্মার
আমার,আমরা
চোখের,ছখের
সামনে,শাম্নে
সামনে,সামানে
সামনে,সাম্নে
দেখিয়েছে,দেকিয়েছে
পুঁচকে,পুছক
কিশোর,কিশর
নির্বাচন,নিরবাছন
নির্বাচন,নিরবারছন
নির্বাচন,নিরবাছল
নির্বাচন,নিরবাচন
নির্বাচন,নিরবাচনি
নির্বাচন,নিবাচন
নির্বাচন,বিরবাছন
নির্বাচন,নিরবাচোন
নির্বাচন,নির্বাচনে
কমিশনার,কমিসনার
কমিশনার,কমিছনার
বলছেন,বলেছেন
বলছেন,বলচেন
হচ্ছে,হছচে
হচ্ছে,হছছে
হচ্ছে,হচ্চে
হচ্ছে,হসচে
হচ্ছে,হছে
হচ্ছে,হোচ্ছে
হচ্ছে,হচে
হচ্ছে,অচ্ছে
হচ্ছে,হসসে
হচ্ছে,হোশশে
হচ্ছে,হয়েছে
বিবেককেই,বিবেক্কেই
জিজ্ঞাসা,জিগাশা
জিজ্ঞাসা,জিজ্ঞাশা
করুন,করুণ
সে,শে
সে,সএ
মোতাবেক,মতাবেক
ঢাকার,দাকার
ঢাকার,ধাকার
ঢাকার,ঢাকা
ঢাকার,ডাকার
বোরকা,বরকা
হাতমোজাসহ,হাত্মহাশহ
মেয়ে,মেইয়ে
মেয়ে,মেতেকে
মেয়ে,মায়
মেয়ে,মায়ে
সাজার,শাজার
নানান,নানা
সামগ্রী,শামগ্রি
শনিবার,স্নিবার
শনিবার,সনিবার
শনিবার,সনিওবার
শনিবার,শনিবাদ
সকালে,শকালে
সকালে,সকালা
ব্যাগ,ব্যগ
ভর্তি,ভরতি
ভর্তি,বরিতি
ভর্তি,বরতি
ভর্তি,ভত্রি
ভর্তি,ভতি
ওইসব,অইশব
ওইসব,এইসব
ওইসব,ওইশব
রওনা,রউনা
শিবচরের,শিবছরের
উদ্দেশ্যে,উদ্দেশে
উদ্দেশ্যে,উদ্দেশসে
উদ্দেশ্যে,উদ্দেশশে
উদ্দেশ্যে,উদ্দেসশে
উদ্দেশ্যে,উদ্দেসসে
যদিও,জদিও
প্রভাবেই,পভাবেই
তাকে,টাকে
তাকে,তাঁকে
গ্রেফতার,গ্রাফতার
করেছে,করেসে
করেছে,করেহে
করেছে,করছে
করেছে,করেচে
পুলিশ,পুলিস
পুলিশ,পলিশ
পুলিশ,পুলিষ
স্বামী,শামি
স্বামী,সামি
স্বামী,সামী
পরকীয়া,পরকিয়া
সম্পর্ক,শমরক
সম্পর্ক,সম্পরক
সম্পর্ক,স্মপ্রকে
সম্পর্ক,সম্পরক্ক
সম্পর্ক,শম্পরক
সম্পর্ক,শম্পর্ক
সম্পর্ক,স্পম্পরক
হেনস্থার,হেনস্তার
এনেছিলেন,এনেছিল
প্রধানমন্ত্রীর,পদান্মন্ত্রির
প্রধানমন্ত্রীর,প্রধান্মন্ত্রির
প্রধানমন্ত্রীর,প্রধানমন্ত্রির
প্রধানমন্ত্রীর,প্রধ্নমন্ত্রিত
ঘিরে,গিরে
কড়া,করা
নিরাপত্তা,নিরাপতা
নিরাপত্তা,নিরাপ্ততা
নিরাপত্তা,নিরাপত্তার
মোতায়েন,মতায়েন
ছিল,চিল
ছিল,ছীল
ছিল,স্ল
ছিল,ছিলো
ছিল,ছিলা
ছিল,ছিলেন
নিয়ে,ণীয়ে
নিয়ে,নিএ
নিয়ে,নীয়ে
নিয়ে,ইয়ে
নিয়ে,নিইয়ে
নিয়ে,নিয়ইয়ে
চতুর্থবারের,ছতুরথবারের
কেদারনাথ,কেদারনাত
দর্শনে,দরশনে
মোদি,মদি
এখন,একন
এখন,এখান
এখন,এহ্ন
এখন,আখন
এখন,আকন
এখন,একাহন
এখন,এখবন
ব্যাট,ব্যত
ব্যাট,বেত
ব্যাট,বাত
ব্যাট,বাট
ব্যাট,ব্যাত
ব্যাট,বেট
ব্যাট,বাঁট
ব্যাট,বিট
করছেন,করচেন
করছেন,অরচেন
করছেন,করেছেন
করছেন,করেচেন
করছেন,করছাএন
রান,রুন
রান,রাউন
রান,রাব
রান,রাঙ
রান,রাণ
রান,রিন
আর,আড়
ডি,দি
রানে,রুনে
রানে,রানের
দলের,অলের
দলের,ফলের
দলের,দোলের
দলের,দলেন
দলের,দইলের
সংগ্রহ,শংরহ
সংগ্রহ,সংরহ
সংগ্রহ,সঙগ্রহ
সংগ্রহ,সংগ্রহে
সংগ্রহ,সনগ্রহ
সংগ্রহ,সগ্রহ
সংগ্রহ,শংগ্রহ
উইকেটে,উইকেতে
উইকেটে,ওয়িচকেত
উইকেটে,উইকেত
উইকেটে,ওয়িচকেতে
উইকেট,উইকেত
উইকেট,ওয়িকেত
উইকেট,ঊইকেট
উইকেট,ওয়িচকেত
উইকেট,উইকেটে
উইকেট,উওইকেত
ম্যাচে,ম্যছে
ম্যাচে,মেছে
ম্যাচে,মাআছে
ম্যাচে,মাতচে
ম্যাচে,মাতছে
ম্যাচে,মাচে
ম্যাচে,মেচে
ম্যাচে,মেছ
ম্যাচে,মাছে
ম্যাচে,মাতছ
ম্যাচে,ম্যচে
ম্যাচে,মেচ
ওয়েস্ট,অয়েস্ত
ওয়েস্ট,ওযেস্ত
ওয়েস্ট,অওেস্ত
ওয়েস্ট,অয়েস্ট
ইন্ডিজের,ইন্দিজের
ইন্ডিজের,ইন্দিএসের
ওয়ানডে,অয়ান্দে
ওয়ানডে,ওয়ান্দে
অভিষেক,অভিশেক
রাহীর,রাহির
নার্স,নারস
ছাড়া,সারা
ছাড়া,চারা
ছাড়া,ছারা
সঠিক,শথিক
সঠিক,সতিক
সঠিক,স্থিক
সঠিক,সথিক
স্বাস্থ্যসেবা,শাস্থশেবা
সম্ভব,শম্বব
সম্ভব,শম্ভব
সম্ভব,সম্বব
সম্ভব,শম্ভপব
সম্ভব,সম্নভব
সম্ভব,সম্ভিওব
নয়,না
নয়,ন্য
নয়,নঅয়
নয়,বয়
নয়,নই
নয়,নউ
নয়,ণী
নয়,ণয়
নয়,নএ
স্বাস্থ্য,শাস্থ
স্বাস্থ্য,সাস্থ
ভালো,ভাল
থাকলে,থাকেলে
মানুষ,মানুশ
মানুষ,মানুসষ
করতে,ক্রতে
করতে,করেতে
করতে,কড়তে
করতে,কোড়টে
করতে,কোরতে
বেশি,বেসি
বেশি,চেয়ে
বেশি,বেশী
বেশি,বশি
আমাদের,আমাফের
আমাদের,বিওরতমানে
প্রতিবেদন,প্রতিবেদনে
প্রতিবেদন,প্রইবেদন
প্রতিবেদন,প্রিতিবেদন
প্রতিবেদন,পরতিবেদন
প্রতিবেদন,প্রতিব্দেন
প্রতিবেদন,প্রতিবেদিনে
খুবই,খুবি
খুবই,খুবী
খুবই,খুবিই
মূল্য,মুল্ল
মূল্য,মুল্য
বহন,বহ্ন
করছে,করেছে
করছে,ক্রেছে
করছে,ক্রছে
করছে,কোড়ছে
করছে,করসে
করছে,করচে
করছে,করচ্চে
করছে,করছি
সম্পর্কেও,শম্পরকেও
৯টি,৯তি
কেন্দ্র,কেন্তদ্র
কেন্দ্র,কেন্ত্র
কেন্দ্র,কেন্ধ্র
কেন্দ্র,ক্রেন্দ
কেন্দ্র,কেন্র
পর্যবেক্ষণ,পরজবেক্ষন
পর্যবেক্ষণ,পর্যবেক্ষন
করেছি,করেছই
করেছি,করেছে
করেছি,অরেছি
ভাগ্যের,ভাজ্ঞের
তেমন,তেমিওন
কোনো,কোন
কোনো,কন
কোনো,কোণো
কোনো,কনু
কোনো,কুনো
কোনো,কেন
কোনো,কনো
কোনো,কওন
পরিবর্তন,পরিবরত্ন
পরিবর্তন,পরিবরতন
পরিবর্তন,পরিবরত্রন
পরিবর্তন,পরিবর্ত্ন
পরিবর্তন,পরিবতন
হয়নি,হইনি
হয়নি,হইনই
হয়নি,হুইনি
বরং,বরন
দেশের,দেসের
দেশের,দেসেএ
কৃষকসমাজ,ক্রিশকশমাজ
বরাবরই,ব্রাবরি
বরাবরই,বরাবরি
বরাবরই,বড়াবরই
উপেক্ষিত,উপ্রেক্ষিত
হলো,হল
হলো,হোলো
হলো,হুল
হলো,হোল
হলো,হলও
এক,আক
কথায়,কতায়
ভারত,ভাড়োট
ভারত,বারত
রাষ্ট্র,রাস্ত্র
রাষ্ট্র,রাশ্ত্র
আরেক,আরাক
ধাপ,দাপ
দুর্বল,দুরবল
দুর্বল,দুরব্ল
গেল,গেলো
অন্তত,অন্তন্ত
অন্তত,অত্যন্ত
আরো,আর
আরো,আরও
আরো,আরু
আরো,আরই
আরো,আরপ
বছর,বছ্র
বছর,বছ্রে
বছর,বসর
বছর,বোছোড়
বছর,বচর
বছর,বছন
দুয়েক,দুএক
উন্নয়নের,উন্নায়নের
উন্নয়নের,উন্নয়নে
ঠেলার,থেলার
ধকল,দকল
ধকল,ধক্ল
জনগণকে,জঙ্গঙ্কে
জনগণকে,জনগঙ্কে
সইতে,শইতে
বিনাবাক্যে,বিনাবাক্কে
সেটা,শেতা
সেটা,সেতা
সেটা,সেটার
আজ,আগ
প্রায়,পায়
প্রায়,প্রাই
প্রায়,পড়াঈ
প্রায়,প্রাউ
প্রায়,পরায়
প্রায়,পার‍্য
ধরে,দ্ররে
ধরে,দরে
ধরে,ধড়ে
ধরে,ধারে
ধরে,ধবে
বৃদ্ধাশ্রমে,ব্রিদ্দাস্রমে
আছি,আসি
ছেলে,ছেলের
ছেলে,চেলে
ছেলে,ছালে
মাঝেমধ্যে,মাজেমদ্ধে
ফোনে,ফনে
ফোনে,ফোন
খবর,কবর
খবর,খব্র
খবর,খবড়
খবর,খোবর
খবর,খব্অর
খবর,খবনর
দেখতে,দেখেতে
আসে,য়াসে
আসে,আশে
মিউজিক,মিউজিয়া
মিউজিক,মিউজক
ভিডিও,ভিদিও
ভিডিও,বিদিও
তৈরি,তইরি
তৈরি,তইতি
তৈরি,তোইরি
তৈরি,তইরী
তৈরি,তৈরী
ভিডিওতে,ভিদিওতে
ভিডিওতে,ভিদেওতে
অভিনয়,অবিনয়
অভিনয়,আভিনয়
শ্যামল,শেমল
মওলা,মলা
চক্রবর্তী,ছক্রবরতি
সাজঘরে,শাজঘরে
