correct_sentence,gt,sentence,correction
যৌথ প্রযোজনায় নির্মিত কয়েকটি ছবিতে অভিনয় করে চমকে দেন এই নায়িকা।,যৌথ প্রযোজনায় নির্মিত কয়েকটি ছবিতে অভিনয় করে চমকে দেন এই নায়িকা।,যৌথ প্রযোজনায় নির্মিত কয়েকটি ছবিতে অভিনয় করে চমকে দেন এই নায়িকা।,[]
দুর্গাপূজা উপলক্ষে এ মণ্ডপগুলোতে প্রতিমা তৈরির কাজ চলছে।,দুর্গাপূজা উপলক্ষে $e$ মণ্ডপগুলোতে প্রতিমা তৈরির কাজ চলছে।,দুর্গাপূজা উপলক্ষে e মণ্ডপগুলোতে প্রতিমা তৈরির কাজ চলছে।,"[((19, 19), 'এ')]"
এদিকে ফরিদপুরের ভাঙ্গার খালিদ মাতুব্বরের ওপর হামলার ঘটনাটি ঘটে গত রোববার রাত সাড়ে আটটার দিকে।,এদিকে ফরিদপুরের ভাঙ্গার খালিদ মাতুব্বরের ওপর হামলার ঘটনাটি ঘটে $got$ রোববার রাত সাড়ে আটটার দিকে।,এদিকে ফরিদপুরের ভাঙ্গার খালিদ মাতুব্বরের ওপর হামলার ঘটনাটি ঘটে got রোববার রাত সাড়ে আটটার দিকে।,"[((63, 65), 'গত')]"
এর আগে ৭ ফেব্রুয়ারি রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউশনে বিভিন্ন শ্রেণি-পেশার নাগরিকদের একটি মতবিনিময় সভা অনুষ্ঠিত হয়।,এর $ago$ ৭ ফেব্রুয়ারি রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউশনে বিভিন্ন শ্রেণি-পেশার নাগরিকদের একটি মতবিনিময় সভা অনুষ্ঠিত হয়।,এর ago ৭ ফেব্রুয়ারি রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউশনে বিভিন্ন শ্রেণি-পেশার নাগরিকদের একটি মতবিনিময় সভা অনুষ্ঠিত হয়।,"[((3, 5), 'আগে')]"
"বিমানবন্দর সড়কের টেম্পোর চালকের সহকারী সাখাওয়াত হোসেন ও ১৫ নম্বর ঘাট এলাকার ব্যবসায়ী আবদুল করিম বলেন , এ সড়কের তিনটি অংশে পুরোনো সেতু ভেঙে ফেলা হয়েছে।","বিমানবন্দর সড়কের টেম্পোর চালকের সহকারী সাখাওয়াত হোসেন $u$ ১৫ $number$ ঘাট এলাকার ব্যবসায়ী আবদুল করিম বলেন , $e$ সড়কের তিনটি অংশে পুরোনো সেতু ভেঙে ফেলা হয়েছে।","বিমানবন্দর সড়কের টেম্পোর চালকের সহকারী সাখাওয়াত হোসেন u ১৫ number ঘাট এলাকার ব্যবসায়ী আবদুল করিম বলেন , e সড়কের তিনটি অংশে পুরোনো সেতু ভেঙে ফেলা হয়েছে।","[((54, 54), 'ও'), ((59, 64), 'নম্বর'), ((104, 104), 'এ')]"
২২ জনকে রিমান্ডে নেওয়া হয়েছে।,২২ জনকে রিমান্ডে নেওয়া হয়েছে।,২২ জনকে রিমান্ডে নেওয়া হয়েছে।,[]
এ ঘটনায় একটি ট্রাকের চালকের সহকারী আসাদুল ইসলাম ( ২৯ ) ঘটনাস্থলে নিহত হন।,$e$ ঘটনায় একটি ট্রাকের চালকের সহকারী আসাদুল ইসলাম ( ২৯ ) ঘটনাস্থলে নিহত হন।,e ঘটনায় একটি ট্রাকের চালকের সহকারী আসাদুল ইসলাম ( ২৯ ) ঘটনাস্থলে নিহত হন।,"[((0, 0), 'এ')]"
"এতে ওই গ্রামের ৫৫টি পরিবারের ১২০টি ঘর , ঘরে রক্ষিত ধান , চাল , পাট , ভুট্টা , রসুনবীজ , নগদ অর্থ , আসবাব পুড়ে ছাই হয়ে যায়।","এতে ওই গ্রামের ৫৫টি পরিবারের ১২০টি ঘর , ঘরে রক্ষিত ধান , চাল , পাট , ভুট্টা , রসুনবীজ , নগদ অর্থ , আসবাব পুড়ে ছাই হয়ে $ii$।","এতে ওই গ্রামের ৫৫টি পরিবারের ১২০টি ঘর , ঘরে রক্ষিত ধান , চাল , পাট , ভুট্টা , রসুনবীজ , নগদ অর্থ , আসবাব পুড়ে ছাই হয়ে ii।","[((118, 119), 'যায়')]"
"বড়াইগ্রাম থানার পুলিশ সূত্র জানায় , সিরাজগঞ্জ থেকে পুলিশের দুটি পিকআপ আসামি বহনকারী একটি গাড়িকে পাহারা দিয়ে নাটোর হয়ে পাবনা যাচ্ছিল।","বড়াইগ্রাম থানার পুলিশ সূত্র জানায় , সিরাজগঞ্জ থেকে পুলিশের দুটি পিকআপ আসামি বহনকারী একটি গাড়িকে পাহারা দিয়ে নাটোর হয়ে পাবনা যাচ্ছিল।","বড়াইগ্রাম থানার পুলিশ সূত্র জানায় , সিরাজগঞ্জ থেকে পুলিশের দুটি পিকআপ আসামি বহনকারী একটি গাড়িকে পাহারা দিয়ে নাটোর হয়ে পাবনা যাচ্ছিল।",[]
এটা আমার ভুল হয়েছে।,এটা আমার ভুল হয়েছে।,এটা আমার ভুল হয়েছে।,[]
খেলার ব্যবস্থা নেই।,খেলার ব্যবস্থা নেই।,খেলার ব্যবস্থা নেই।,[]
"যেখানে বলা হয় , উবার নকল যাত্রীদের অ্যাকাউন্ট খুলে লিফটের চালকেরা কখন , কোথায় কাজ করছে তা জানতে চেষ্টা করেছে।","যেখানে বলা হয় , উবার নকল যাত্রীদের অ্যাকাউন্ট খুলে লিফটের চালকেরা কখন , কোথায় কাজ করছে তা জানতে চেষ্টা করেছে।","যেখানে বলা হয় , উবার নকল যাত্রীদের অ্যাকাউন্ট খুলে লিফটের চালকেরা কখন , কোথায় কাজ করছে তা জানতে চেষ্টা করেছে।",[]
অন্তর্বিভাগে ভর্তি আছেন নয়জন রোগী।,অন্তর্বিভাগে ভর্তি আছেন নয়জন রোগী।,অন্তর্বিভাগে ভর্তি আছেন নয়জন রোগী।,[]
"মঞ্চের সমন্বয়ক অজয় রায় , যুগ্ম সমন্বয়ক জিয়াউদ্দিন তারেক আলী , সদস্যসচিব নূর মোহাম্মদ তালুকদার ও সহকারী সদস্যসচিব সালেহ আহমেদ বিবৃতিতে স্বাক্ষর করেন।","মঞ্চের সমন্বয়ক অজয় রায় , যুগ্ম সমন্বয়ক জিয়াউদ্দিন তারেক আলী , সদস্যসচিব নূর মোহাম্মদ তালুকদার $u$ সহকারী সদস্যসচিব সালেহ আহমেদ বিবৃতিতে স্বাক্ষর করেন।","মঞ্চের সমন্বয়ক অজয় রায় , যুগ্ম সমন্বয়ক জিয়াউদ্দিন তারেক আলী , সদস্যসচিব নূর মোহাম্মদ তালুকদার u সহকারী সদস্যসচিব সালেহ আহমেদ বিবৃতিতে স্বাক্ষর করেন।","[((99, 99), 'ও')]"
এইচএসসির এই ফলাফলে আমি খুবই খুশি।,এইচএসসির এই ফলাফলে আমি খুবই খুশি।,এইচএসসির এই ফলাফলে আমি খুবই খুশি।,[]
বর্তমানে দুজনই জেএমবির নিয়মিত সদস্য।,বর্তমানে দুজনই জেএমবির নিয়মিত সদস্য।,বর্তমানে দুজনই জেএমবির নিয়মিত সদস্য।,[]
বেলা সোয়া ১১টার দিকে প্রধান আসামি এইচ এম এরশাদ দলীয় নেতা-কর্মীদের নিয়ে আদালতে হাজির হন।,বেলা সোয়া ১১টার দিকে প্রধান আসামি এইচ এম এরশাদ দলীয় নেতা-কর্মীদের নিয়ে আদালতে হাজির হন।,বেলা সোয়া ১১টার দিকে প্রধান আসামি এইচ এম এরশাদ দলীয় নেতা-কর্মীদের নিয়ে আদালতে হাজির হন।,[]
কিন্তু সব এখন পর্যন্ত শিখতে পারেননি।,কিন্তু সব এখন পর্যন্ত শিখতে পারেননি।,কিন্তু সব এখন পর্যন্ত শিখতে পারেননি।,[]
অবরোধের সমর্থনে গতকাল বিএনপির নেতা-কর্মীরা সক্রিয় ছিলেন না।,অবরোধের সমর্থনে গতকাল বিএনপির নেতা-কর্মীরা সক্রিয় ছিলেন $none$।,অবরোধের সমর্থনে গতকাল বিএনপির নেতা-কর্মীরা সক্রিয় ছিলেন none।,"[((56, 59), 'না')]"
ফরিদপুর চিনিকলের পরিবহন বিভাগের শ্রমিক শাহ্ রাজন হত্যা মামালার চার্জশিটভুক্ত পলাতক আসামি মিলের আরেক শ্রমিক মির্জা মাযহারুল ইসলাম গত বৃহস্পতিবার দুপুরে কাজে যোগদান করেন।,ফরিদপুর চিনিকলের পরিবহন বিভাগের শ্রমিক শাহ্ রাজন হত্যা মামালার চার্জশিটভুক্ত পলাতক আসামি মিলের আরেক শ্রমিক মির্জা মাযহারুল ইসলাম $got$ বৃহস্পতিবার দুপুরে কাজে যোগদান করেন।,ফরিদপুর চিনিকলের পরিবহন বিভাগের শ্রমিক শাহ্ রাজন হত্যা মামালার চার্জশিটভুক্ত পলাতক আসামি মিলের আরেক শ্রমিক মির্জা মাযহারুল ইসলাম got বৃহস্পতিবার দুপুরে কাজে যোগদান করেন।,"[((129, 131), 'গত')]"
জনতার ওপর গাড়ি তুলে দিতে দক্ষতার প্রয়োজন হয় না।,জনতার ওপর গাড়ি তুলে দিতে দক্ষতার প্রয়োজন হয় $none$।,জনতার ওপর গাড়ি তুলে দিতে দক্ষতার প্রয়োজন হয় none।,"[((44, 47), 'না')]"
১০-০০ বিজয়িনী।,১০-০০ বিজয়িনী।,১০-০০ বিজয়িনী।,[]
"রাজবাড়ী , বালিয়াকান্দি , সোনাপুর , রামদিয়া , কালুখালী , পাংশা ও মাছপাড়া এলাকার বিভিন্ন ব্যবসায়ীও তাঁর কাছে টাকা পাবেন।","রাজবাড়ী , বালিয়াকান্দি , সোনাপুর , রামদিয়া , কালুখালী , পাংশা $u$ মাছপাড়া এলাকার বিভিন্ন ব্যবসায়ীও তাঁর কাছে টাকা পাবেন।","রাজবাড়ী , বালিয়াকান্দি , সোনাপুর , রামদিয়া , কালুখালী , পাংশা u মাছপাড়া এলাকার বিভিন্ন ব্যবসায়ীও তাঁর কাছে টাকা পাবেন।","[((62, 62), 'ও')]"
তবে কমিটি সময় বাড়ানোর আবেদন করবে বলে জানা গেছে।,তবে $committee$ $sony$ বাড়ানোর আবেদন করবে বলে জানা গেছে।,তবে committee sony বাড়ানোর আবেদন করবে বলে জানা গেছে।,"[((4, 12), 'কমিটি'), ((14, 17), 'সময়')]"
এর সঠিক পদ্ধতিটি এখনো রহস্য হয়ে আছে।,এর সঠিক পদ্ধতিটি এখনো রহস্য হয়ে আছে।,এর সঠিক পদ্ধতিটি এখনো রহস্য হয়ে আছে।,[]
সেই ছবিটিই হলিউডের সঙ্গে একই দিনে মুক্তি পাচ্ছে ঢাকার স্টার সিনেপ্লেক্সে।,$see$ ছবিটিই হলিউডের সঙ্গে একই দিনে মুক্তি পাচ্ছে ঢাকার স্টার সিনেপ্লেক্সে।,see ছবিটিই হলিউডের সঙ্গে একই দিনে মুক্তি পাচ্ছে ঢাকার স্টার সিনেপ্লেক্সে।,"[((0, 2), 'সেই')]"
সে পাইপ আর বদল হয়েছে কি না তিনি অন্তত দেখেননি।,$say$ পাইপ আর বদল হয়েছে $q$ $none$ তিনি অন্তত দেখেননি।,say পাইপ আর বদল হয়েছে q none তিনি অন্তত দেখেননি।,"[((0, 2), 'সে'), ((22, 22), 'কি'), ((24, 27), 'না')]"
প্রয়োজনে রিমান্ড চাওয়া হবে।,প্রয়োজনে রিমান্ড চাওয়া হবে।,প্রয়োজনে রিমান্ড চাওয়া হবে।,[]
সহিংসতা থেকে বাঁচতে সীমান্ত পেরিয়ে পালিয়ে আসা গুরুতর আহত অনেক রোহিঙ্গা চিকিৎসা নিচ্ছে এখানে।,সহিংসতা থেকে বাঁচতে সীমান্ত পেরিয়ে পালিয়ে আসা গুরুতর আহত অনেক রোহিঙ্গা চিকিৎসা নিচ্ছে এখানে।,সহিংসতা থেকে বাঁচতে সীমান্ত পেরিয়ে পালিয়ে আসা গুরুতর আহত অনেক রোহিঙ্গা চিকিৎসা নিচ্ছে এখানে।,[]
"বাংলাদেশের বিপ্লবী ওয়ার্কার্স পার্টি : খন্দকার আলী আব্বাসের তৃতীয় মৃত্যুবার্ষিকী উপলক্ষে স্মরণসভা , বিকেল চারটায় , ঢাকার নবাবগঞ্জে লালবারান্দা চত্বরে।","বাংলাদেশের বিপ্লবী ওয়ার্কার্স $party$ : খন্দকার আলী আব্বাসের তৃতীয় মৃত্যুবার্ষিকী উপলক্ষে স্মরণসভা , বিকেল চারটায় , ঢাকার নবাবগঞ্জে লালবারান্দা চত্বরে।","বাংলাদেশের বিপ্লবী ওয়ার্কার্স party : খন্দকার আলী আব্বাসের তৃতীয় মৃত্যুবার্ষিকী উপলক্ষে স্মরণসভা , বিকেল চারটায় , ঢাকার নবাবগঞ্জে লালবারান্দা চত্বরে।","[((30, 34), 'পার্টি')]"
"সংবাদ সম্মেলনে মূল প্রবন্ধে কোস্ট ট্রাস্টের সহকারী পরিচালক বরকত উল্লাহ মারুফ বলেন , বাংলাদেশে আশ্রয় নেওয়া ১০ লাখ রোহিঙ্গার দৈনন্দিন চাহিদা মেটাতে গিয়ে উখিয়া উপজেলা দুটির ২১টি খাল ও ছড়া সম্পূর্ণ দূষিত হয়ে গেছে , যার ওপর কৃষি ও গৃহস্থালি কাজে স্থানীয় মানুষ নির্ভরশীল।","সংবাদ সম্মেলনে মূল প্রবন্ধে কোস্ট ট্রাস্টের সহকারী পরিচালক বরকত উল্লাহ মারুফ বলেন , বাংলাদেশে আশ্রয় নেওয়া ১০ লাখ রোহিঙ্গার দৈনন্দিন চাহিদা মেটাতে গিয়ে উখিয়া উপজেলা দুটির ২১টি খাল $u$ ছড়া সম্পূর্ণ দূষিত হয়ে গেছে , $year$ ওপর কৃষি $u$ গৃহস্থালি কাজে স্থানীয় মানুষ নির্ভরশীল।","সংবাদ সম্মেলনে মূল প্রবন্ধে কোস্ট ট্রাস্টের সহকারী পরিচালক বরকত উল্লাহ মারুফ বলেন , বাংলাদেশে আশ্রয় নেওয়া ১০ লাখ রোহিঙ্গার দৈনন্দিন চাহিদা মেটাতে গিয়ে উখিয়া উপজেলা দুটির ২১টি খাল u ছড়া সম্পূর্ণ দূষিত হয়ে গেছে , year ওপর কৃষি u গৃহস্থালি কাজে স্থানীয় মানুষ নির্ভরশীল।","[((179, 179), 'ও'), ((211, 214), 'যার'), ((225, 225), 'ও')]"
নির্বাচন কমিশন ও আইন প্রয়োগকারী সংস্থার এরূপ ব্যর্থতা মানুষের ভোটের অধিকার ব্যাপকভাবে খর্ব করেছে এবং একই সঙ্গে দুটি প্রতিষ্ঠানই নিজেদের জাতীয় ও আন্তর্জাতিকভাবে বিব্রত করেছে বলে মনে করছে টিআইবি।,নির্বাচন $commission$ $u$ আইন প্রয়োগকারী সংস্থার এরূপ ব্যর্থতা মানুষের ভোটের অধিকার ব্যাপকভাবে খর্ব করেছে এবং একই সঙ্গে দুটি প্রতিষ্ঠানই নিজেদের জাতীয় $u$ আন্তর্জাতিকভাবে বিব্রত করেছে বলে মনে করছে টিআইবি।,নির্বাচন commission u আইন প্রয়োগকারী সংস্থার এরূপ ব্যর্থতা মানুষের ভোটের অধিকার ব্যাপকভাবে খর্ব করেছে এবং একই সঙ্গে দুটি প্রতিষ্ঠানই নিজেদের জাতীয় u আন্তর্জাতিকভাবে বিব্রত করেছে বলে মনে করছে টিআইবি।,"[((9, 18), 'কমিশন'), ((20, 20), 'ও'), ((149, 149), 'ও')]"
এ সময় সরকার-সমর্থক আইনজীবীরা তাঁদের সঙ্গে টানাহেঁচড়া ও মারামারিতে জড়িয়ে পড়েন।,$e$ $sony$ সরকার-সমর্থক আইনজীবীরা তাঁদের সঙ্গে টানাহেঁচড়া $u$ মারামারিতে জড়িয়ে পড়েন।,e sony সরকার-সমর্থক আইনজীবীরা তাঁদের সঙ্গে টানাহেঁচড়া u মারামারিতে জড়িয়ে পড়েন।,"[((0, 0), 'এ'), ((2, 5), 'সময়'), ((54, 54), 'ও')]"
রাত প্রায় সাড়ে ১২টার দিকে তাঁরা আগুন নেভাতে সক্ষম হন।,রাত প্রায় সাড়ে ১২টার দিকে তাঁরা আগুন নেভাতে সক্ষম হন।,রাত প্রায় সাড়ে ১২টার দিকে তাঁরা আগুন নেভাতে সক্ষম হন।,[]
সঙ্গে রয়েছে চায়নিজ জুতাও।,সঙ্গে রয়েছে চায়নিজ জুতাও।,সঙ্গে রয়েছে চায়নিজ জুতাও।,[]
এবার এর সঙ্গে যোগ হয়েছে আরও ১০ হাজার ৯৩৫ জন।,$ebay$ এর সঙ্গে $dog$ হয়েছে আরও ১০ হাজার ৯৩৫ $john$।,ebay এর সঙ্গে dog হয়েছে আরও ১০ হাজার ৯৩৫ john।,"[((0, 3), 'এবার'), ((14, 16), 'যোগ'), ((41, 44), 'জন')]"
গত ২৭ মার্চ এই অধ্যক্ষের বিরুদ্ধে যৌন নিপীড়নের অভিযোগে মামলা করেন নুসরাতের মা।,$got$ ২৭ $march$ এই অধ্যক্ষের বিরুদ্ধে $join$ নিপীড়নের অভিযোগে মামলা করেন নুসরাতের মা।,got ২৭ march এই অধ্যক্ষের বিরুদ্ধে join নিপীড়নের অভিযোগে মামলা করেন নুসরাতের মা।,"[((0, 2), 'গত'), ((7, 11), 'মার্চ'), ((35, 38), 'যৌন')]"
৫ জানুয়ারির আগে সমাবেশের জন্য মাঠ বরাদ্দ নিয়ে বিএনপি ও আওয়ামী লীগের রাজনৈতিক বাহাস চলছে চার বছর ধরে।,৫ জানুয়ারির $ago$ সমাবেশের জন্য মাঠ বরাদ্দ নিয়ে বিএনপি $u$ আওয়ামী লীগের রাজনৈতিক বাহাস চলছে চার বছর ধরে।,৫ জানুয়ারির ago সমাবেশের জন্য মাঠ বরাদ্দ নিয়ে বিএনপি u আওয়ামী লীগের রাজনৈতিক বাহাস চলছে চার বছর ধরে।,"[((12, 14), 'আগে'), ((53, 53), 'ও')]"
পার্লামেন্টে হাজিরায় দিনপ্রতি দুই হাজার রুপি।,পার্লামেন্টে হাজিরায় দিনপ্রতি $due$ হাজার রুপি।,পার্লামেন্টে হাজিরায় দিনপ্রতি due হাজার রুপি।,"[((30, 32), 'দুই')]"
অমল সেন চলে গেছেন।,অমল সেন চলে গেছেন।,অমল সেন চলে গেছেন।,[]
"তেরো শরও বেশি আন্তর্জাতিক উইকেট বলছে , তাতে তিনি সফলও।","তেরো শরও বেশি আন্তর্জাতিক উইকেট বলছে , তাতে তিনি সফলও।","তেরো শরও বেশি আন্তর্জাতিক উইকেট বলছে , তাতে তিনি সফলও।",[]
দেশে ফিরলেই সমাধান হয়ে যাবে।,দেশে ফিরলেই সমাধান হয়ে যাবে।,দেশে ফিরলেই সমাধান হয়ে যাবে।,[]
বিশেষত বাম মহলে।,বিশেষত বাম মহলে।,বিশেষত বাম মহলে।,[]
"২০১৩ সালের দিকে যদি ফিরে তাকাই , এ বছর একক অ্যালবাম প্রকাশ না পেলেও সিম্পলি কনার মিউজিক ভিডিও প্রকাশ পেয়েছে।","২০১৩ সালের দিকে যদি ফিরে তাকাই , $e$ বছর একক $album$ প্রকাশ $none$ পেলেও সিম্পলি কনার মিউজিক $video$ প্রকাশ পেয়েছে।","২০১৩ সালের দিকে যদি ফিরে তাকাই , e বছর একক album প্রকাশ none পেলেও সিম্পলি কনার মিউজিক video প্রকাশ পেয়েছে।","[((33, 33), 'এ'), ((43, 47), 'অ্যালবাম'), ((56, 59), 'না'), ((87, 91), 'ভিডিও')]"
"তবে শরীফ উদ্দিন আহমেদ সম্পাদিত ঢাকা কোষ-এ বলা হয়েছে , কার্জন হল মূলত ঢাকা কলেজের নতুন ভবন হিসেবে নির্মাণ করা হয়েছিল।","তবে শরীফ উদ্দিন আহমেদ সম্পাদিত ঢাকা কোষ-এ বলা হয়েছে , কার্জন হল মূলত ঢাকা কলেজের নতুন ভবন হিসেবে নির্মাণ করা হয়েছিল।","তবে শরীফ উদ্দিন আহমেদ সম্পাদিত ঢাকা কোষ-এ বলা হয়েছে , কার্জন হল মূলত ঢাকা কলেজের নতুন ভবন হিসেবে নির্মাণ করা হয়েছিল।",[]
বর্তমানে ২০-২৫ মণ তৈরি করছি।,বর্তমানে ২০-২৫ মণ তৈরি করছি।,বর্তমানে ২০-২৫ মণ তৈরি করছি।,[]
"এটি একটি বিশেষায়িত প্রাণীর বাসস্থান , যেখানে আফ্রিকা থেকে আনা বাঘ , সিংহ , হরিণ , জিরাফ , বনগরু , জেব্রাসহ আরও অনেক প্রাণী রয়েছে।","এটি একটি বিশেষায়িত প্রাণীর বাসস্থান , যেখানে $africa$ থেকে আনা বাঘ , সিংহ , হরিণ , জিরাফ , বনগরু , জেব্রাসহ আরও অনেক প্রাণী রয়েছে।","এটি একটি বিশেষায়িত প্রাণীর বাসস্থান , যেখানে africa থেকে আনা বাঘ , সিংহ , হরিণ , জিরাফ , বনগরু , জেব্রাসহ আরও অনেক প্রাণী রয়েছে।","[((45, 50), 'আফ্রিকা')]"
ইতালিয়ান মার্বেলের ব্যবস্থাপনা পরিচালক মাকসুদুল আলম এই সম্পত্তির মালিকানা দাবি করেন।,ইতালিয়ান মার্বেলের ব্যবস্থাপনা পরিচালক মাকসুদুল আলম এই সম্পত্তির মালিকানা দাবি করেন।,ইতালিয়ান মার্বেলের ব্যবস্থাপনা পরিচালক মাকসুদুল আলম এই সম্পত্তির মালিকানা দাবি করেন।,[]
