,gt_x,gt_y,diff
66,কারণ$$ তাদের নিজেদের গুদাম থাকে এবং $ব্যবসায়িক$ কাজকর্ম সম্পাদনের ভিত্তিটাও থাকে সুদৃঢ়।,কারণ তাদের নিজেদের গুদাম থাকে এবং $ব্যবসায়িক$ কাজকর্ম সম্পাদনের ভিত্তিটাও থাকে সুদৃঢ়।,True
72,ভাইয়া $বলল-$$$মেয়েটা দেখছি তোকে ছাড়া কিছু $বোঝেইনা$।,ভাইয়া বলল-মেয়েটা দেখছি তোকে ছাড়া কিছু $বোঝেইনা$।,True
76,"ব্যাংকটি বেশি বড় ছিলনা, তবে বেশ ছিমছাম করে সাজানো ছিল।","ব্যাংকটি বেশি $বড়$ $ছিলনা$, তবে বেশ ছিমছাম করে সাজানো ছিল।",True
79,আমি আর কিছুই করতে পারি$$না বিশ্বাস!,আমি আর কিছুই করতে $পারিনা$ বিশ্বাস!,True
94,"রুবি আরও কয়েকজন এই খুনের সঙ্গে জড়িত আছেন দাবি করে বলেন, ‘এর মধ্যে আমার খালু মুন্তাজ হাসান আছে, আমার খালাত ভাই জুম্মান থাকতে পারে, আমার হাজব্যান্ড চ্যাং লিং চ্যাং, জন চ্যাং নামে বাংলাদেশে পরিচিত ছিলো।","রুবি আরও কয়েকজন এই খুনের সঙ্গে জড়িত আছেন দাবি করে বলেন, ‘এর মধ্যে আমার খালু মুন্তাজ হাসান আছে, আমার খালাত ভাই জুম্মান থাকতে পারে, আমার হাজব্যান্ড চ্যাং লিং চ্যাং, জন চ্যাং নামে বাংলাদেশে পরিচিত $ছিলো$।$$",True
102,আমি আজকেই এই গণভবন থেকে ফোনে দৈনিক বাংলায় আমার লেখা $দেবো$$’$।,আমি আজকেই এই গণভবন থেকে ফোনে দৈনিক বাংলায় আমার লেখা $দেবো’$।,True
119,আরেকটু পর এলে $কি$ ক্ষতি হতো$।,আরেকটু পর এলে কি ক্ষতি হতো$।$,True
128,"এগুলো হচ্ছে$$ সিনিয়র সিটিজেন, গেজেটভুক্ত যুদ্ধাহত মুক্তিযোদ্ধা, প্রতিবন্ধী, নারী এবং তরুণ।","এগুলো হচ্ছে সিনিয়র সিটিজেন, গেজেটভুক্ত যুদ্ধাহত মুক্তিযোদ্ধা, প্রতিবন্ধী, নারী এবং তরুণ।",True
149,"রঘুপতি $জ্বলিয়া উঠিয়া$ $কহিলেন$, দাদা তোমার কী মহৎ উপকারটা $করিয়াছেন$ শুনি।","রঘুপতি $জ্বলিয়া$ $উঠিয়া$ $কহিলেন$, দাদা তোমার কী মহৎ উপকারটা $করিয়াছেন$ শুনি।",True
150,$এই$ তো দেখি এরশাদ শিকদারের $মত$$$ $হাহাহা$ যদি $ঠিক মতন$ বিচার হয় তাহলে এরশাদ শিকদারের মতোই মরতে হবে ফাঁসিতে$$,$এই$ তো দেখি এরশাদ শিকদারের $মত$ $হাহাহা$ যদি $ঠিক$ $মতন$ বিচার হয় তাহলে এরশাদ শিকদারের মতোই মরতে হবে ফাঁসিতে$$,True
157,তবে পুরোপুরি ছেড়ে যাওয়ার প্রক্রিয়া $সম্পন্ন$ হতে আরও$$ বছর $দুয়েক$ লাগবে।,তবে পুরোপুরি ছেড়ে যাওয়ার প্রক্রিয়া $সম্পন্ন$ হতে আরও বছর $দুয়েক$ লাগবে।,True
160,দু একটি জায়গায় ছাত্ররা জড়ো হওয়ার চেষ্টা করলে পুলিশ তাদের দাঁড়াতে দেয়নি।,$দু একটি$ জায়গায় ছাত্ররা জড়ো হওয়ার চেষ্টা করলে পুলিশ তাদের দাঁড়াতে দেয়নি।,True
163,"আপনারা পশু-পক্ষীকেও যে শস্য $খাওয়াইতে$ চান না, ভারতের কৃষক সেই শস্যে প্রাণধারণ করে।","আপনারা পশু-পক্ষীকেও যে শস্য $খাওয়াইতে$ চান না, ভারতের কৃষক সেই শস্যে $প্রাণধারণ$ করে।",True
170,তাঁর প্রতিবেশী বাবুল $মিয়ার$ বিরুদ্ধে এ ঘটনায় জড়িত থাকার অভিযোগ ওঠে।,তাঁর প্রতিবেশী বাবুল মিয়ার বিরুদ্ধে এ ঘটনায় জড়িত থাকার অভিযোগ ওঠে।,True
172,কিন্তু নীলু একটি কথাও $বলল$ না।,কিন্তু নীলু একটি কথাও বলল না।,True
183,"২০০৮ $সালে,$ ওবামার ইশতেহারে $মুলত:$ ১টি পয়েন্ট $ছিলো$, আমেরিকার $ইতিহাসে,$ ২য় বৃহত্তম রিসেশন থামানো; তিনি $থামায়েছেন$, $সারা বিশ্বকে$ হতবাক করেছিলেন তিনি।","২০০৮ সালে, ওবামার ইশতেহারে $মুলত:$ ১টি পয়েন্ট $ছিলো$, আমেরিকার ইতিহাসে, ২য় বৃহত্তম রিসেশন থামানো; তিনি $থামায়েছেন$, সারা বিশ্বকে হতবাক করেছিলেন তিনি।",True
188,হিরো ইন্ডিয়ান ওপেন গলফজয়ী সিদ্দিকুর রহমানকে কাল$$ সংবর্ধনা দিয়েছে কুর্মিটোলা গলফ ক্লাব।,হিরো ইন্ডিয়ান ওপেন গলফজয়ী সিদ্দিকুর রহমানকে কাল সংবর্ধনা দিয়েছে কুর্মিটোলা গলফ ক্লাব।,True
190,সে আমার কাছ থেকে ভিক্ষা চায়$$না।,সে আমার কাছ থেকে ভিক্ষা $চায়না$।,True
195,ফ্রান্সের অন্তর্গত প্রদেশে ওয়ালিদের সমর্থন না $থাকা$ মুসলিম সেনাবাহিনী রোন (রুদানো) নদী অতিক্রম করে না।,ফ্রান্সের অন্তর্গত প্রদেশে ওয়ালিদের সমর্থন না থাকা মুসলিম সেনাবাহিনী রোন (রুদানো) নদী অতিক্রম করে না।,True
198,ভালোবাসার জন্য মানুষ যে$$$$ কোনও কিছুই করতে পারে।,ভালোবাসার জন্য মানুষ $যে কোনও$ কিছুই করতে পারে।,True
207,"হ্যাঁ, এখন কিন্তু দোষ আমার ঘাড়ে $দেয়া$ যাবে না, বুঝেছ বাবা?","হ্যাঁ, এখন কিন্তু দোষ আমার ঘাড়ে দেয়া যাবে না, বুঝেছ বাবা?",True
234,"মৃতেরা কথা বলে, অভিশাপ দেয়, কেউবা চুপ$$ শুয়ে নক্ষত্র বা বুলেট $গুণে$ নাকের ডগায় তেলের গন্ধ নিয়ে।","মৃতেরা কথা বলে, অভিশাপ দেয়, কেউবা চুপ শুয়ে নক্ষত্র বা বুলেট $গুণে$ নাকের ডগায় তেলের গন্ধ নিয়ে।",True
239,আর $বলিয়েছিল$$$ ও মরে গেছে।,আর $বলিয়েছিল$ ও মরে গেছে।,True
242,$এতো$ শক্তি দাও আমাকে যাতে আমি তাকে ভুলতে পারি।,এতো শক্তি দাও আমাকে যাতে আমি তাকে ভুলতে পারি।,True
245,মনে হচ্ছে$$ কাউকে খুন করেছি।,মনে হচ্ছে কাউকে খুন করেছি।,True
252,এ পর্যায়ে$$ চুলার আঁচ কম থাকবে।,এ পর্যায়ে চুলার আঁচ কম থাকবে।,True
253,"দিনের একটি বিশেষ সময়ে মূল $খবর গুলো$ $জানবো$, বাকি সময় নিজের জন্য ব্যয় করবো।","দিনের একটি বিশেষ সময়ে মূল $খবর গুলো$ $জানবো$, বাকি সময় নিজের জন্য ব্যয় $করবো$।",True
266,চিনির ওপর শুল্ক আরোপ করা হয়েছিল$$ রাষ্ট্রায়ত্ত মিলগুলোকে সুরক্ষা দেওয়ার জন্য।,চিনির ওপর শুল্ক আরোপ করা হয়েছিল রাষ্ট্রায়ত্ত মিলগুলোকে সুরক্ষা দেওয়ার জন্য।,True
277,তোর $বাড়িগর$ এখনো $পুরায়া$ $দেই নায়$ $মাগি$ $খানকি$$ চুদি$।,তোর $বাড়িগর$ $এখনো$ $পুরায়া$ $দেই নায়$ মাগি খানকি চুদি।,True
287,’রাজসভায় যেন শ্মশানের নিস্তব্ধতা নেমে $এলো$।,$’রাজসভায়$ যেন শ্মশানের নিস্তব্ধতা নেমে এলো।,True
302,এটি অরেঞ্জ কাউন্টির মালিকানাধীন এবং$$ পরিচালিত হয়।,এটি অরেঞ্জ কাউন্টির মালিকানাধীন এবং পরিচালিত হয়।,True
306,"$""অবনী$ উৎসাহি গলায় বললো, ""কী জিনিস, চাচা?$$","$""অবনী$ উৎসাহি গলায় $বললো$, ""কী জিনিস, চাচা?$$",True
309,"কমলা-হলুদে হৃদয় ভালো থাকে$$$$মিষ্টি আলু, গাজর, মিষ্টি কুমড়ায় বিটা ক্যারোটিন নামের ফাইটোকেমিক্যাল থাকে।","কমলা-হলুদে হৃদয় ভালো $থাকেমিষ্টি$ আলু, গাজর, মিষ্টি কুমড়ায় বিটা ক্যারোটিন নামের ফাইটোকেমিক্যাল থাকে।",True
341,ঐটা তো পাগলের অ্যাক্ট$।,ঐটা তো পাগলের অ্যাক্ট।,True
357,মম$$মম আমি এটার সৌন্দর্য কখনই উপভোগ করিনি শুধু এইটা হেলানো ছাড়া আইফেল টাওয়ার?,$মমমম$ আমি এটার সৌন্দর্য কখনই উপভোগ করিনি$$ শুধু $এইটা$ হেলানো ছাড়া আইফেল টাওয়ার?,True
363,অবশ্য সুনীতাই অভিনবকে বলেছিল$-$ “বাবা তোমাকে ডেকেছেন।,অবশ্য সুনীতাই অভিনবকে বলেছিল- “বাবা তোমাকে ডেকেছেন।$$,True
370,সাততলায় থাকার কারণে ভূমিকম্পের ভয়াবহতা$টা$ যেন বেশি করেই টের পেয়েছেন তাঁরা।,সাততলায় থাকার কারণে ভূমিকম্পের ভয়াবহতাটা যেন বেশি করেই টের পেয়েছেন তাঁরা।,True
380,তার তো ফ্রান্সের জাদুঘরে থাকার কথা$।,তার তো ফ্রান্সের জাদুঘরে থাকার কথা।,True
384,"$আল্লাহ্$ না থাকলে তোকে এই পৃথিবীতে কে $পাঠাইচে$,$কুত্তার বাচ্চা$$$ $তোরে$ লোকনাথে পয়দা $করছে$ নাকি,$সালা জানোয়ারের বাচ্চা$$$","$আল্লাহ্$ না থাকলে তোকে এই পৃথিবীতে কে $পাঠাইচে$,$কুত্তার বাচ্চা$ $তোরে$ লোকনাথে $পয়দা$ $করছে$ নাকি,$সালা$ জানোয়ারের বাচ্চা$$",True
386,$তোমারি$ মুখেতে পূর্ণ $শশীকি$ কথা $কহিয়া$ পাগল $বানাইলাহা$ $হা হা$  $ভাবতাছ$ সেনোরিটা পাগল $হুগেয়া$ $হাহা হা$ $..$ কিন্তু আজ যে শুধু গান আর গান$$ কারণ গত সকাল বিকাল তুমি মুগ্ধতা দিয়ে আমার দিন শুরু করে দিয়েছিলে$$ মনে আছে বলেছিলাম কি!,$তোমারি$ মুখেতে পূর্ণ $শশীকি$ কথা $কহিয়া$ পাগল $বানাইলাহা$ $হা হা$  $ভাবতাছ$ সেনোরিটা পাগল $হুগেয়া$ $হাহা হা ..$ কিন্তু আজ যে শুধু গান আর গান$$ কারণ গত সকাল বিকাল তুমি মুগ্ধতা দিয়ে আমার দিন শুরু করে দিয়েছিলে$$ মনে আছে বলেছিলাম কি!,True
387,"ডেভিড গেছে ভোগ $রাঁধিতেশ্যামটা$ খেতে যায়$,$ বড়ুয়ার $ঘর$$?$","ডেভিড গেছে ভোগ $রাঁধিতেশ্যামটা$ খেতে যায়$,$ বড়ুয়ার ঘর$?$",True
391,তবে$$কোনভাবে$ই$ হাদিস নয় হাদিস হিসেবে চালিয়ে দেওয়া হয়েছে রাসুলের (সা.) অনুসরনের নামে এমন কিছুর $অনুসরন$ করা যাবে না।,$তবেকোনভাবেই$ হাদিস নয় হাদিস হিসেবে চালিয়ে দেওয়া হয়েছে রাসুলের (সা.) অনুসরনের নামে এমন কিছুর $অনুসরন$ করা যাবে না।,True
401,এই টুকরো$ $গুলো দেখ।,এই $টুকরো গুলো$ দেখ।,True
408,"""হঠাৎ দরোজায় কে যেন কড়া নাড়ল।","$""হঠাৎ$ দরোজায় কে যেন কড়া নাড়ল।",True
416,অনেক$$গুলো তার ছেলে মেয়ে।,অনেকগুলো তার ছেলে মেয়ে।,True
421,জিনিসটা অন-অফ করে দেখেছ $তো$?,জিনিসটা অন-অফ করে দেখেছ তো?,True
427,তিনি $আমরা বাঙালি$ বইয়ের লেখক।,তিনি $$আমরা বাঙালি$$ বইয়ের লেখক।,True
428,একদা এক ব্যস্ততার কারণে তিনি তার সেই খামারে যেতে পারলেন না।,$একদা$ এক ব্যস্ততার কারণে তিনি তার সেই খামারে যেতে পারলেন না।,True
435,"জানিস তো$,$ ফিঞ্চ চোদনা, আমি সেক্স করতে যাচ্ছি।","জানিস তো, ফিঞ্চ চোদনা, আমি সেক্স করতে যাচ্ছি।",True
451,মানুষ হয়ে অপর মানুষের সামান্যতম ক্ষতি করা$$।,মানুষ হয়ে অপর মানুষের সামান্যতম ক্ষতি করা।,True
452,"$এছাড়া$, এল্যান্ডের প্রাচীনত্বও উল্লেখযোগ্য ছিল, যা অপারেশনগুলোকে বাধা দিতে শুরু করেছিল।","এছাড়া, এল্যান্ডের প্রাচীনত্বও উল্লেখযোগ্য ছিল, যা অপারেশনগুলোকে বাধা দিতে শুরু করেছিল।",True
456,"জানি না$$ সে কোথায়, কীসের কাজ $করত$$।","জানি না$$ সে কোথায়, কীসের কাজ করত।",True
460,নারী নির্যাতনের ঘটনা বরং ইউরোপ আমেরিকার মত $উচ্চ শিক্ষিত$ দেশের লোকদের মধ্যেই বেশি।,নারী নির্যাতনের ঘটনা বরং ইউরোপ আমেরিকার মত উচ্চ শিক্ষিত দেশের লোকদের মধ্যেই বেশি।,True
468,চিনি গুলিয়ে $বোলতে$ ভরে নিয়ে এলাম।,চিনি $গুলিয়ে$ $বোলতে$ ভরে নিয়ে এলাম।,True
473,"$চৈত্র সংক্রান্তির$ রাতে$,$ $সেদিন$ পাখি জোড়া আমাকে নিয়ে যখন ওদের ভাষায় কথা বলছিল, তাদের সেই কথাগুলো আমি শুনতে পেয়েছিলাম।","চৈত্র সংক্রান্তির রাতে, সেদিন পাখি জোড়া আমাকে নিয়ে যখন ওদের ভাষায় কথা বলছিল, তাদের সেই কথাগুলো আমি শুনতে পেয়েছিলাম।",True
480,মোদ্দাকথা তার এ কথার দ্বারা সে প্রমাণ করল সে একজন নাস্তিক।,$মোদ্দাকথা$ তার এ কথার দ্বারা সে প্রমাণ করল সে একজন নাস্তিক।,True
481,"ওহ, $হ্যা$, $হ্যা$$$ $হ্যা$$।","ওহ, $হ্যা$, $হ্যা$ $হ্যা$।",True
493,তাদের সাথে দেখা করার আর তর সইছে না।,তাদের সাথে দেখা করার আর $তর$ $সইছে$ না।,True
513,$গাদা$ কোথাকার$$ $ওটাতো$ উছিলা $মাএ$$$ $বাঁছিয়েছেনতো$ মহান $আললাহ$$$,$গাদা$ কোথাকার$$ $ওটাতো$ $উছিলা$ $মাএ$$$ $বাঁছিয়েছেনতো$ মহান $আললাহ$$$,True
515,বদিকে কোলে নিয়ে সে $ক্রসফায়ার ক্রসফায়ার$ খেলে।,বদিকে কোলে নিয়ে সে ক্রসফায়ার ক্রসফায়ার খেলে।,True
532,এর আগে তো কোনোদিন বাড়ি ছেড়ে চলে যাও নি তুমি$।,এর আগে তো কোনোদিন বাড়ি ছেড়ে চলে $যাও নি$ তুমি।,True
533,মোবারক মিয়াকে পেয়ে তার বেশ সুবিধে হলো।,মোবারক মিয়াকে পেয়ে তার বেশ $সুবিধে$ হলো।,True
538,প্রচন্ড ইচ্ছে করছে শীলার সাথে কথা $বলব$।,প্রচন্ড ইচ্ছে করছে শীলার সাথে কথা বলব।,True
540,"ভারত, শ্রীলংকা$$ সহ কিছু দেশ নিজ $উদ্ধ্যোগে$  বিশেষ বিমান সার্ভিস চালু করে ফ্রি তে নিজ দেশে ছাত্রদের $ফেরৎ$ নেওয়া হয়েছে।","ভারত, $শ্রীলংকা সহ$ কিছু দেশ নিজ $উদ্ধ্যোগে$  বিশেষ বিমান সার্ভিস চালু করে ফ্রি তে নিজ দেশে ছাত্রদের $ফেরৎ$ নেওয়া হয়েছে।",True
543,হৃষ্টচিত্তে বাকিদের খুঁজতে $‘অ্যারাইভাল‘$ গেটে দাঁড়ালাম।,হৃষ্টচিত্তে বাকিদের খুঁজতে ‘অ্যারাইভাল‘ গেটে দাঁড়ালাম।,True
546,১৯৭১ এর পরেও মুক্তিযোদ্ধাদের নিয়ে তিনি কৌশলে কম বিতর্ক করেন$$ নি।,১৯৭১ এর পরেও মুক্তিযোদ্ধাদের নিয়ে তিনি কৌশলে কম বিতর্ক $করেন নি$।,True
553,"অগ্নাশয় থেকে $কোন$$$প্রকার ইনসুলিন নিঃসৃত হয় না, রক্তে গ্লুকোজের মাত্রা ঠিক রাখার জন্য বাইরে থেকে ইনসুলিন প্রবেশ করানো হয়।","অগ্নাশয় থেকে $কোনপ্রকার$ ইনসুলিন নিঃসৃত হয় না, রক্তে গ্লুকোজের মাত্রা ঠিক রাখার জন্য বাইরে থেকে ইনসুলিন প্রবেশ করানো হয়।",True
554,$.সোমার$ জন্মদিন পালন শেষে সিহাব আমাকে বললো-$$দোস্ত আজকের রাতটা আমাদের এখানেই থেকে যা।,$.সোমার$ জন্মদিন পালন শেষে সিহাব আমাকে $বললো$-দোস্ত আজকের রাতটা আমাদের এখানেই থেকে যা।,True
580,"আর যদি বিএনপি করে তাহলে ১০ বছর$$, $আওয়ামিলিগ$ করলে ফাঁসির কাষ্ঠে $ঝুলাই$ দাও।","আর যদি বিএনপি করে তাহলে ১০ বছর$, $আওয়ামিলিগ$ করলে ফাঁসির কাষ্ঠে $ঝুলাই$ দাও।",True
581,আমি জানি না $কেন কিভাবে$ আমার এই নটিফিকেশনে ৪ সংখ্যার এই স্থায়ী বসবাস।,আমি জানি না কেন $কিভাবে$ আমার এই নটিফিকেশনে ৪ সংখ্যার এই স্থায়ী বসবাস।,True
597,সেখানে যখন তাঁর পোষায় না তখন সে রাশিয়া$$ভারতের দালালি শুরু করে।,সেখানে যখন তাঁর পোষায় না তখন সে $রাশিয়াভারতের$ দালালি শুরু করে।,True
615,"হলফ করে বলা যায় আগামী ১ দশকের ভিতরে বিদেশে বাংলাদেশের ফিজিক্যাল সার্ভিস ওরিয়েন্টেড ম্যানপাওয়ার বাজার (মেশিন অপারেটর, সুইপার, ড্রাইভার, নার্স, সাধারণ টেকনিশিয়ান$$ $ইত্যাদি)$ সিগ্নিফিক্যান্টলি হারাবে।","হলফ করে বলা যায় আগামী ১ দশকের ভিতরে বিদেশে বাংলাদেশের ফিজিক্যাল সার্ভিস ওরিয়েন্টেড ম্যানপাওয়ার বাজার $($মেশিন অপারেটর, সুইপার, ড্রাইভার, নার্স, সাধারণ টেকনিশিয়ান ইত্যাদি$)$ সিগ্নিফিক্যান্টলি হারাবে।",True
617,মানালি ও কল্লু আরো ভালো$$ সেখানে স্নোফল হয় $ডিসেম্বার$ ও $জানোয়ারিতে$$$ $বেচে$ থাকলে $2020$ এর $জানোয়ারি তে$ যাচ্ছি$$ তবে দোয়া ও $ভালবাসা$ রইলো আপনার জন্য$$ আপনার এ টু জেড বলা ঠিক আছে$$ সবাই আসলে $এবাবে$ সব বলতে $পারেনা$$$,মানালি ও কল্লু $আরো$ ভালো$$ সেখানে স্নোফল হয় $ডিসেম্বার$ ও $জানোয়ারিতে$ $বেচে$ থাকলে $2020$ এর $জানোয়ারি তে$ যাচ্ছি$$ তবে দোয়া ও $ভালবাসা$ $রইলো$ আপনার জন্য$$ আপনার এ টু জেড বলা ঠিক আছে$$ সবাই আসলে $এবাবে$ সব বলতে $পারেনা$$$,True
618,"আর$ কোন$টা ছবি আর$ কোন$টা শিশুর আঁকা স্কেচ- এই পার্থক্য ধরতে না পারলে, আপনি বরং রাজনীতি ছেড়ে ঘরে বসে থাকুন।","আর কোনটা ছবি আর কোনটা শিশুর আঁকা স্কেচ- এই পার্থক্য ধরতে না পারলে, আপনি বরং রাজনীতি ছেড়ে ঘরে বসে থাকুন।",True
636,"আজ উনি বলেন $কিনা$, আমাকে বিদায় দিন।","আজ উনি বলেন কিনা, আমাকে বিদায় দিন।",True
637,$সোনা বোদা মার$$$,সোনা $বোদা$ মার$$,True
639,বিড়ালের কথা নিশ্চয়ই আর শোনেন$ $নি?,বিড়ালের কথা নিশ্চয়ই আর $শোনেন নি$?,True
643,কিন্তু তাঁরা তা প্রকাশ করতে পারেনা।,কিন্তু তাঁরা তা প্রকাশ করতে $পারেনা$।,True
651,"ট্রেনটা $নাকি$ মৌচাক নামের একটা স্টেশন হয়ে অন্যদিকে যাবে, মির্জাপুর যাবে না।","ট্রেনটা নাকি মৌচাক নামের একটা স্টেশন হয়ে অন্যদিকে যাবে, মির্জাপুর যাবে না।",True
714,"ক্ষমা $চাহিবে$ কী, সে নিজেই ক্ষমা $চাহিতে$ সাহস $করে নাই$$।","ক্ষমা $চাহিবে$ কী, সে নিজেই ক্ষমা $চাহিতে$ সাহস $করে নাই$।",True
737,আমরা $কনফিডেন্টলি  উত্তর দিলাম$$ সাসাগো $স্টেশন।,আমরা কনফিডেন্টলি  উত্তর দিলাম$$ সাসাগো স্টেশন।,True
743,"চন্দ্রনাথ সুচন্দ্রাকে বলে, ‘জানো মা, তোমার কাকিমার $ভাল$ নাম সে কিছুতেই কাউকে বলে না।","চন্দ্রনাথ সুচন্দ্রাকে বলে, ‘জানো মা, তোমার কাকিমার $ভাল$ নাম সে কিছুতেই কাউকে বলে না।$$",True
774,"২০০১ সালে ক্ষমতায় এসে $বিএনপি জামাত$ জোট প্রতিপক্ষের উপর যে অন্ধ রাজনৈতিক আক্রোশ $দেখিয়েছিলো$$,$ সেটার ফলাফলে তারা নিজেরা $আরো$ ভয়াবহ অন্ধ আক্রোশের শিকার।","২০০১ সালে ক্ষমতায় এসে $বিএনপি জামাত$ জোট প্রতিপক্ষের উপর যে অন্ধ রাজনৈতিক আক্রোশ $দেখিয়েছিলো$, সেটার ফলাফলে তারা নিজেরা $আরো$ ভয়াবহ অন্ধ আক্রোশের শিকার।",True
783,যেকোন শিল্পী বা প্রযোজনা প্রতিষ্ঠানকে ঊর্দ্ধে তুলে ধরার ইমোশনাল অপচেষ্টা বন্ধ করতে হবে।,$যেকোন$ শিল্পী বা প্রযোজনা প্রতিষ্ঠানকে ঊর্দ্ধে তুলে ধরার ইমোশনাল অপচেষ্টা বন্ধ করতে হবে।,True
798,"ওরে $শাফা$ ফকিন্নি$,,,,  $তুমি আসলে ভুল বুঝে আল্লাহর কাছে ক্ষমা চাইতে আসোনি।","ওরে শাফা ফকিন্নি$,,,,  $তুমি আসলে ভুল বুঝে আল্লাহর কাছে ক্ষমা চাইতে আসোনি।",True
815,আমাদের অবস্থা দেখে আম্মা হাসতে হাসতে আমাদের জন্য $ব্যাপারটাকে$ আমাদের জন্য আরো সহজ করে দিতেন।,আমাদের অবস্থা দেখে আম্মা হাসতে হাসতে আমাদের জন্য $ব্যাপারটাকে$ আমাদের জন্য $আরো$ সহজ করে দিতেন।,True
816,আপনি যদি মনে করেন প্রয়োজনে কারো সঙ্গে আলাপ করে সিদ্ধান্ত নিন।,আপনি যদি মনে করেন প্রয়োজনে $কারো$ সঙ্গে আলাপ করে সিদ্ধান্ত নিন।,True
822,"অসহ্য লাগছে টিভি খুললে$ $, পত্রিকার অনলাইন $ভার্সনে$ প্রবেশ করলে$$  ","অসহ্য লাগছে টিভি খুললে , পত্রিকার অনলাইন $ভার্সনে$ প্রবেশ করলে$$  ",True
831,তুমি মরতে পারো না$।,তুমি মরতে পারো না।,True
839,জেলা শহরগুলোতে প্রশাসনিক কর্মকর্তারা সরকারি স্কুল-কলেজের শিক্ষকদের $অধীনস্ত$ কর্মচারী জ্ঞান করেন।,জেলা শহরগুলোতে প্রশাসনিক কর্মকর্তারা সরকারি স্কুল-কলেজের শিক্ষকদের অধীনস্ত কর্মচারী জ্ঞান করেন।,True
