sentence,gt
"এই গম্বুজের নিচেই শুয়ে আছেন, দোজাহানের বাদশাহ, তাজেদারে মদীনা, সাকিয়ে কাওসার, সারওয়ারে কায়েনাত সল্লাল্লাহু আলাইহি ওয়াসাল্লাম।","এই গম্বুজের নিচেই শুয়ে আছেন, দোজাহানের বাদশাহ, তাজেদারে মদীনা, সাকিয়ে কাওসার, সারওয়ারে কায়েনাত সল্লাল্লাহু আলাইহি ওয়াসাল্লাম।"
তিনি কলকাতা রিপন কলেজ থেকে ল’ ডিগ্রি লাভ করেন।,তিনি কলকাতা রিপন কলেজ থেকে ল’ ডিগ্রি লাভ করেন।
আরজ আলীর রচিত পাণ্ডুলিপির সংখ্যা মোট ১৫টি।,আরজ আলীর রচিত পাণ্ডুলিপির সংখ্যা মোট ১৫টি।
এভাবেই খুনিরা নিজেকে আড়াল করে।,এভাবেই খুনিরা নিজেকে আড়াল করে।
গানের তালে তালে মাইকেলের নাচের কৌশলগুলোও ব্যাপক জনপ্রিয়তা লাভ করে।,গানের তালে তালে মাইকেলের নাচের কৌশলগুলোও ব্যাপক জনপ্রিয়তা লাভ করে।
কবিতাগুলো পড়ে আমি দুঃখে ভারাক্রান্ত হয়েছি মঙ্গোলিয়ানদের হারিয়ে যাওয়া সংস্কৃতির জন্য।,কবিতাগুলো পড়ে আমি দুঃখে ভারাক্রান্ত হয়েছি মঙ্গোলিয়ানদের হারিয়ে যাওয়া সংস্কৃতির জন্য।
মনে হয় গতিশীল পৃথিবীতে একমাত্র তিনিই বেমানান।,মনে হয় গতিশীল পৃথিবীতে একমাত্র তিনিই বেমানান।
রিপুয়ারিয়ান রাজা তাঁর হাতে নিহত ও পরাজিত হন।,রিপুয়ারিয়ান রাজা তাঁর হাতে নিহত ও পরাজিত হন।
"আর এই শিক্ষিত ছেলেদেরকে নিজেদের মেয়ের জামাই করতে রীতিমত প্রতিযোগিতা শুরু করে দিয়েছেন সমাজের সুপ্রতিষ্টিত, কিংবা প্রভাবশালী, সম্পদশালী শিক্ষিত অশিক্ষিত মেয়েদেরর অভিভাবকগন।","আর এই শিক্ষিত ছেলেদেরকে নিজেদের মেয়ের জামাই করতে রীতিমত প্রতিযোগিতা শুরু করে দিয়েছেন সমাজের সুপ্রতিষ্টিত, কিংবা প্রভাবশালী, সম্পদশালী শিক্ষিত অশিক্ষিত মেয়েদেরর অভিভাবকগন।"
তাঁর প্রথম গল্প নার্স মিত্র।,তাঁর প্রথম গল্প নার্স মিত্র।
আর মনকে স্থির করার জন্যই মূলত দম সাধনা করতে হয়।,আর মনকে স্থির করার জন্যই মূলত দম সাধনা করতে হয়।
পা দুটো যেন বরফ হয়ে গেছে।,পা দুটো যেন বরফ হয়ে গেছে।
অনেক ক্ষেত্রে বেতন বৈষম্যের পাশাপাশি পদোন্নতির বেলায়ও নারীকে বৈষম্যের শিকার হতে হয়।,অনেক ক্ষেত্রে বেতন বৈষম্যের পাশাপাশি পদোন্নতির বেলায়ও নারীকে বৈষম্যের শিকার হতে হয়।
এদেরকে কঠিন শিক্ষা দেওয়া হবে।,এদেরকে কঠিন শিক্ষা দেওয়া হবে।
"স্ত্রীকে শান্ত করতে শয়তানের কৃপায়, একটি চড় মেরে বসে হতভাগ্য যুবক।","স্ত্রীকে শান্ত করতে শয়তানের কৃপায়, একটি চড় মেরে বসে হতভাগ্য যুবক।"
আমি তো দশ পেগ গিলেও ঠিক থাকতে পারি।,আমি তো দশ পেগ গিলেও ঠিক থাকতে পারি।
হোটেলে ফিরতে ফিরতে প্রায় বিকেল।,হোটেলে ফিরতে ফিরতে প্রায় বিকেল।
"ক্যালসিয়াম ছাড়া দুধের মধ্যে ফসফরাস, আয়রন, জিংক, কপার, ম্যাঙ্গানিজের পরিমাণও অনেক বেশি থাকে।","ক্যালসিয়াম ছাড়া দুধের মধ্যে ফসফরাস, আয়রন, জিংক, কপার, ম্যাঙ্গানিজের পরিমাণও অনেক বেশি থাকে।"
একদলের নাম ‘হানিফাম মুসলিমা’ সঠিক।,একদলের নাম ‘হানিফাম মুসলিমা’ সঠিক।
জাপানে ভুলের জন্য কারণ দর্শাতে হয় কর্মক্ষেত্রে।,জাপানে ভুলের জন্য কারণ দর্শাতে হয় কর্মক্ষেত্রে।
এটা আমাদের এক ধরনের ভ্রা্ন্তি বিলাস!,এটা আমাদের এক ধরনের ভ্রা্ন্তি বিলাস!
আমরা মূলত সেসব ভূমিপুত্র ও ভূমিকন্যাদের ছবি তোলার সুযোগ পেয়েছিলাম এই গ্রামে এসে।,আমরা মূলত সেসব ভূমিপুত্র ও ভূমিকন্যাদের ছবি তোলার সুযোগ পেয়েছিলাম এই গ্রামে এসে।
"আমি যা করেছি তা দেশের জন্য, নিজেদের অস্তিত্ব রক্ষার জন্য।","আমি যা করেছি তা দেশের জন্য, নিজেদের অস্তিত্ব রক্ষার জন্য।"
"এরশাদ সাহেবের শাসন অনেকে এখনও পছন্দ করেন, অনেকে করেন না।","এরশাদ সাহেবের শাসন অনেকে এখনও পছন্দ করেন, অনেকে করেন না।"
বিক্রি করলে বাজার থেকে তাকে বের করে দেওয়া হবে।,বিক্রি করলে বাজার থেকে তাকে বের করে দেওয়া হবে।
লেখালেখির প্রতি তার প্রচণ্ড টান থাকলে তাঁকে লেখালেখি থেকে দূরে থাকতে হয়েছে উচ্চশিক্ষার জন্য ইংল্যান্ডে কয়েক বছর কাটানোয়।,লেখালেখির প্রতি তার প্রচণ্ড টান থাকলে তাঁকে লেখালেখি থেকে দূরে থাকতে হয়েছে উচ্চশিক্ষার জন্য ইংল্যান্ডে কয়েক বছর কাটানোয়।
টয়লেটে বেগ দিয়েছে; টয়লেটে ঢুকেছি।,টয়লেটে বেগ দিয়েছে; টয়লেটে ঢুকেছি।
১৯৭৫ খ্রিষ্টাব্দের ১৬ই আগস্ট পুলিশের হাতে প্রথমবারের মতো ধরা পড়েন টেড বান্ডি।,১৯৭৫ খ্রিষ্টাব্দের ১৬ই আগস্ট পুলিশের হাতে প্রথমবারের মতো ধরা পড়েন টেড বান্ডি।
এই ষড়যন্ত্র মোকাবেলা করতে নবাব স্যার সলিমুল্লাহ তার নবাবীর অধিকাংশ জমি ঢাকা বিশ্ববিদ্যালয়কে দান করে দেন।,এই ষড়যন্ত্র মোকাবেলা করতে নবাব স্যার সলিমুল্লাহ তার নবাবীর অধিকাংশ জমি ঢাকা বিশ্ববিদ্যালয়কে দান করে দেন।
এখন স্বাধীনতার পর গত কয়েক দশকে আমরা এগিয়েছি।,এখন স্বাধীনতার পর গত কয়েক দশকে আমরা এগিয়েছি।
আপনাকে বাবা দিবসের শুভেচ্ছা জানাতে।,আপনাকে বাবা দিবসের শুভেচ্ছা জানাতে।
কারণ বর্তমান স্বরাষ্ট্রমন্ত্রী এই মামলার বিষয়ে কিছুই জানেন না।,কারণ বর্তমান স্বরাষ্ট্রমন্ত্রী এই মামলার বিষয়ে কিছুই জানেন না।
এর পরে তো আর কথা আগায় না।,এর পরে তো আর কথা আগায় না।
এই সুন্দর বিষয়টা বন্ধ হয়ে যাবে এটা আর সবার মতন আমিও কিছুতেই মেনে নিতে পারছি না।,এই সুন্দর বিষয়টা বন্ধ হয়ে যাবে এটা আর সবার মতন আমিও কিছুতেই মেনে নিতে পারছি না।
"এই জায়গায় জাহাজ, প্লেন এমনকি মানুষও নাকি হাওয়ায় গায়েব হয়ে গিয়েছে কয়েকবার।","এই জায়গায় জাহাজ, প্লেন এমনকি মানুষও নাকি হাওয়ায় গায়েব হয়ে গিয়েছে কয়েকবার।"
আবার তারাই বিজ্ঞানে মুসলমানদের অবদান খুঁজে বের করে অণুবিক্ষণ যন্ত্র দিয়ে।,আবার তারাই বিজ্ঞানে মুসলমানদের অবদান খুঁজে বের করে অণুবিক্ষণ যন্ত্র দিয়ে।
ছোটগল্প লেখক ও চিকিৎসক আন্তন পাভলোভিচ চেখভের জন্মদিনে ফুলেল শুভেচ্ছা।,ছোটগল্প লেখক ও চিকিৎসক আন্তন পাভলোভিচ চেখভের জন্মদিনে ফুলেল শুভেচ্ছা।
আপাতত ইফতার বেলায় সবার প্লেটে ইফতারি সাজানোর দায়িত্ব নন্দিনী কে দেয়া হয়েছে।,আপাতত ইফতার বেলায় সবার প্লেটে ইফতারি সাজানোর দায়িত্ব নন্দিনী কে দেয়া হয়েছে।
আপনার সাফল্য দিনে দিনে আরও বৃদ্ধি পাবে।,আপনার সাফল্য দিনে দিনে আরও বৃদ্ধি পাবে।
৭ মার্চ বঙ্গবন্ধু রেসর্কোস ময়দানে বক্তৃতা করলেন।,৭ মার্চ বঙ্গবন্ধু রেসর্কোস ময়দানে বক্তৃতা করলেন।
তাই বলে এটা নিয়ে বাড়াবাড়ি করার কিছু নাই।,তাই বলে এটা নিয়ে বাড়াবাড়ি করার কিছু নাই।
"১৪ বছর বয়সে, প্রজাপতির মতো জীবন হবার কথা যার।","১৪ বছর বয়সে, প্রজাপতির মতো জীবন হবার কথা যার।"
এখন আমরা সেই আলোকিত পথে ধরে সামনের দিকে হেঁটে চলেছি।,এখন আমরা সেই আলোকিত পথে ধরে সামনের দিকে হেঁটে চলেছি।
কিন্তু এই কথা বললে তো নওরিন ভয় পেয়ে যাবে।,কিন্তু এই কথা বললে তো নওরিন ভয় পেয়ে যাবে।
"অফিসে যার সাথেই দেখা হয়, অঘোষিত ভাবে কেন ফিরে এলাম তার কারণ দর্শানো নোটিশ জারি হয়!","অফিসে যার সাথেই দেখা হয়, অঘোষিত ভাবে কেন ফিরে এলাম তার কারণ দর্শানো নোটিশ জারি হয়!"
তিনি কাশী এবং কলকাতায় কয়েকটি বালিকা বিদ্যালয়ের সঙ্গে যুক্ত ছিলেন।,তিনি কাশী এবং কলকাতায় কয়েকটি বালিকা বিদ্যালয়ের সঙ্গে যুক্ত ছিলেন।
কারণ এই সেক্টরটি পদে পদে পরিবর্তিত হয়।,কারণ এই সেক্টরটি পদে পদে পরিবর্তিত হয়।
১৯ নম্বর কেস এক বালক।,১৯ নম্বর কেস এক বালক।
একজন মানুষকে সত্যিকারভাবে জানার উপায় হচ্ছে তার স্বপ্নটা জানা।,একজন মানুষকে সত্যিকারভাবে জানার উপায় হচ্ছে তার স্বপ্নটা জানা।
এখন এই দুই জাতিগোষ্ঠীকে আলাদা করা বেশ কঠিন।,এখন এই দুই জাতিগোষ্ঠীকে আলাদা করা বেশ কঠিন।
"অথচ এখনও আশা করি, সামনের ইদে তারা দাওয়াত করবে, ইদের নামাজ পড়াতে মুরব্বিরা সামনে এগিয়ে দেবে, কারণ গ্রামের একমাত্র খারেজি টাইটেল পাশ মৌলানা আমি।","অথচ এখনও আশা করি, সামনের ইদে তারা দাওয়াত করবে, ইদের নামাজ পড়াতে মুরব্বিরা সামনে এগিয়ে দেবে, কারণ গ্রামের একমাত্র খারেজি টাইটেল পাশ মৌলানা আমি।"
"জেবুন নেছা ছেলেটির ব্যবহার, কথা বলার ধরণ আর এমন চাঞ্চল্যতা দেখে অবাক হয়ে যান।","জেবুন নেছা ছেলেটির ব্যবহার, কথা বলার ধরণ আর এমন চাঞ্চল্যতা দেখে অবাক হয়ে যান।"
তিনি স্ত্রীর কথা শোনার চেষ্টা করলেন।,তিনি স্ত্রীর কথা শোনার চেষ্টা করলেন।
আপনি একটু উনার বডিগার্ড হিসেবে থাকেন।,আপনি একটু উনার বডিগার্ড হিসেবে থাকেন।
এই সময়টাকে রাত ভাবলে কেমন হয়।,এই সময়টাকে রাত ভাবলে কেমন হয়।
"চীনের সঙ্গে সম্পর্ক নিয়ে ভারতের মধ্যে যে উদ্বেগ দেখা যাচ্ছিল, এ সফরে তাও দূর হয়েছে বলে আশা করা যায়।","চীনের সঙ্গে সম্পর্ক নিয়ে ভারতের মধ্যে যে উদ্বেগ দেখা যাচ্ছিল, এ সফরে তাও দূর হয়েছে বলে আশা করা যায়।"
"আমার কপাল ভালো, আমার জেঠাতো ভাইয়ের স্ত্রী হাসপাতালে ওই দিন নাইট ডিউটিতে ছিলেন।","আমার কপাল ভালো, আমার জেঠাতো ভাইয়ের স্ত্রী হাসপাতালে ওই দিন নাইট ডিউটিতে ছিলেন।"
"কিন্তু, তিনি যে মুহাম্মদ আলি।","কিন্তু, তিনি যে মুহাম্মদ আলি।"
নৈতিকতা নিয়েও এখন আর ভাবে না কেউ।,নৈতিকতা নিয়েও এখন আর ভাবে না কেউ।
বিজয় মানে স্বাধীনতায় পতাকাটা উড়েবিজয় মানে পাতায় বাজে হাওয়ার বাঁশি সুরে।,বিজয় মানে স্বাধীনতায় পতাকাটা উড়েবিজয় মানে পাতায় বাজে হাওয়ার বাঁশি সুরে।
বাস্কেটবল কোর্টটার পাশেই বিশাল একটা পুকুর ছিল।,বাস্কেটবল কোর্টটার পাশেই বিশাল একটা পুকুর ছিল।
আজ বৃষ্টি যেন এক উৎসবের নাম!,আজ বৃষ্টি যেন এক উৎসবের নাম!
আমার পাঁচিলের গায়ে পাঁচিল তুলেছিল।,আমার পাঁচিলের গায়ে পাঁচিল তুলেছিল।
দূর থেকে শুভ্র মসজিদটি অত্যন্ত সুন্দর দেখায়।,দূর থেকে শুভ্র মসজিদটি অত্যন্ত সুন্দর দেখায়।
প্রথমবার প্রবেশ করলে মনে হবে এটা একটা লাইব্রেরী।,প্রথমবার প্রবেশ করলে মনে হবে এটা একটা লাইব্রেরী।
লেখা একটি মানসিক শ্রম কিন্তু একটি বই শেষ করা শারীরিক শ্রমের কাছাকাছি।,লেখা একটি মানসিক শ্রম কিন্তু একটি বই শেষ করা শারীরিক শ্রমের কাছাকাছি।
মতবিনিময় সভা থেকেই পুরো উদ্যোগের একটি রূপরেখা বেরিয়ে আসবে।,মতবিনিময় সভা থেকেই পুরো উদ্যোগের একটি রূপরেখা বেরিয়ে আসবে।
তাদের উপর বিভিন্ন রকম অন্যায় ও অবৈধ কর চাপিয়ে দেয়া হয়েছে।,তাদের উপর বিভিন্ন রকম অন্যায় ও অবৈধ কর চাপিয়ে দেয়া হয়েছে।
"ফলে, স্বাভাবিক নিয়মে মেডিকেলে ভর্তির সময়ের বয়স একুশ বা বাইশ বছর হলেও, বাস্তবতা হলো অনেক বিশ্ববিদ্যালয়েই মেডিকেল কলেজে ভর্তির গড় বয়স পঁচিশ বা চব্বিশ।","ফলে, স্বাভাবিক নিয়মে মেডিকেলে ভর্তির সময়ের বয়স একুশ বা বাইশ বছর হলেও, বাস্তবতা হলো অনেক বিশ্ববিদ্যালয়েই মেডিকেল কলেজে ভর্তির গড় বয়স পঁচিশ বা চব্বিশ।"
এ বলে তিনি কালিমা পড়ে মুসলমান হয়ে যান।,এ বলে তিনি কালিমা পড়ে মুসলমান হয়ে যান।
চাকরি জীবনের সবচেয়ে চরম (পরম নয় কিন্তু) শিক্ষা সম্ভবত নিজের দায়িত্ব সম্পূর্ণ এড়িয়ে অন্যের মাথায় বাটি রেখে রসগোল্লা খাবার শিক্ষা।,চাকরি জীবনের সবচেয়ে চরম (পরম নয় কিন্তু) শিক্ষা সম্ভবত নিজের দায়িত্ব সম্পূর্ণ এড়িয়ে অন্যের মাথায় বাটি রেখে রসগোল্লা খাবার শিক্ষা।
"বঙ্গদেশের পাহাড়ে গেলে মর্যাদাহানি হয়, তাই ফটোশপে চলে গেলেন আল্পসের চূড়ায়।","বঙ্গদেশের পাহাড়ে গেলে মর্যাদাহানি হয়, তাই ফটোশপে চলে গেলেন আল্পসের চূড়ায়।"
একটি গ্রহণযোগ্য নির্বাচনের দাবিতে অন্যান্য রাজনৈতিক জোট ও দলগুলোর সাথেও বিএনপি আলোচনা করতে হবে।,একটি গ্রহণযোগ্য নির্বাচনের দাবিতে অন্যান্য রাজনৈতিক জোট ও দলগুলোর সাথেও বিএনপি আলোচনা করতে হবে।
তবু একবার কলিটাকে ছুঁয়ে দেখতে চায় সে।,তবু একবার কলিটাকে ছুঁয়ে দেখতে চায় সে।
চেটেপুটে খাওয়ার পর ক্যাটালানের দিকে তাকিয়ে কৃতজ্ঞতার হাসি হাসল ওরা।,চেটেপুটে খাওয়ার পর ক্যাটালানের দিকে তাকিয়ে কৃতজ্ঞতার হাসি হাসল ওরা।
হয়তো পালিয়ে থাকতে পারবে কিন্তু যদি না পারো তখন?,হয়তো পালিয়ে থাকতে পারবে কিন্তু যদি না পারো তখন?
তবে ফার্সিতে খায়ের গাহ্ বলে শব্দ আছে।,তবে ফার্সিতে খায়ের গাহ্ বলে শব্দ আছে।
তারপর ছয় সপ্তাহ ধরে শহরটিতে অবিশ্বাস্য গণহত্যা সংঘটিত হয়।,তারপর ছয় সপ্তাহ ধরে শহরটিতে অবিশ্বাস্য গণহত্যা সংঘটিত হয়।
প্রবল কম্পন নিয়ে তার ঠোঁট দুটো অনবরত নড়তো কিন্তু তার পাশের জন তা শুনতে পেতো কিনা সন্দেহ।,প্রবল কম্পন নিয়ে তার ঠোঁট দুটো অনবরত নড়তো কিন্তু তার পাশের জন তা শুনতে পেতো কিনা সন্দেহ।
তবুও জানবো এই বিশ্ব সংসারে স্পর্শের বাইরে হলেও আর পাঁচটা মায়ের মতো আমারও মা আছেন!,তবুও জানবো এই বিশ্ব সংসারে স্পর্শের বাইরে হলেও আর পাঁচটা মায়ের মতো আমারও মা আছেন!
অর্থাৎ খুব বড় আকারের নক্ষত্রগুলো তাদের শেষবয়সে বিরাট বিস্ফোরণের মধ্য দিয়ে কেন্দ্রের দিকে চুপসে যায়।,অর্থাৎ খুব বড় আকারের নক্ষত্রগুলো তাদের শেষবয়সে বিরাট বিস্ফোরণের মধ্য দিয়ে কেন্দ্রের দিকে চুপসে যায়।
কিন্তু কবি লিখলেন অনুপস্থিতির ভার।,কিন্তু কবি লিখলেন অনুপস্থিতির ভার।
আজ লোপা শাড়ি পড়ে এসেছে।,আজ লোপা শাড়ি পড়ে এসেছে।
ভরাট কণ্ঠের অধিকারী হলেও আধুনিক গানের শিল্পী ছিলেন না।,ভরাট কণ্ঠের অধিকারী হলেও আধুনিক গানের শিল্পী ছিলেন না।
কখনো নিজেকে এতো অসহায় মনে হয়।,কখনো নিজেকে এতো অসহায় মনে হয়।
কিন্তু এখানকার এক লোক আমাদের এলাকায় বেড়াতে গেলে তার মাধ্যমে আমার সর্বশেষ অবস্থান ফাঁস হয়ে যায়।,কিন্তু এখানকার এক লোক আমাদের এলাকায় বেড়াতে গেলে তার মাধ্যমে আমার সর্বশেষ অবস্থান ফাঁস হয়ে যায়।
চা পর্ব শেষ করে আবার ট্যাক্সিতে করে দুপাশে সবুজ রেখে দিয়ে ছুটে চললাম নিঝুম দ্বীপে।,চা পর্ব শেষ করে আবার ট্যাক্সিতে করে দুপাশে সবুজ রেখে দিয়ে ছুটে চললাম নিঝুম দ্বীপে।
ওদের দুজনেই ঘড়ি কিনেছিল একই ব্র্যাণ্ডের।,ওদের দুজনেই ঘড়ি কিনেছিল একই ব্র্যাণ্ডের।
প্রাসাদে আগত গণ্যমান্য ব্যক্তিবর্গ তাতে তাঁদের মন্তব্য লিখতেন।,প্রাসাদে আগত গণ্যমান্য ব্যক্তিবর্গ তাতে তাঁদের মন্তব্য লিখতেন।
সিনেমাটি আসলেই খুব হাসির ছিল।,সিনেমাটি আসলেই খুব হাসির ছিল।
ইরান সরকার এতে আর্থিক ও কারিগরি সহায়তা প্রদান করে।,ইরান সরকার এতে আর্থিক ও কারিগরি সহায়তা প্রদান করে।
কথায় বলে গোড়ায় জল না দিয়ে আগায় জল দিলে আখের লাভ হয় না আসলেই।,কথায় বলে গোড়ায় জল না দিয়ে আগায় জল দিলে আখের লাভ হয় না আসলেই।
দেশে তিন্নির সাথে লং ডিস্টেন্স প্রেম চলছে।,দেশে তিন্নির সাথে লং ডিস্টেন্স প্রেম চলছে।
এইসব ভাবতে ভাবতে ভেজা চোখেই ঈদের দিনটা শেষ হয় আমাদের।,এইসব ভাবতে ভাবতে ভেজা চোখেই ঈদের দিনটা শেষ হয় আমাদের।
সবাই বলে- উনি নাকি কি একটা দেখে ভয় পেয়েছিলেন রাতে।,সবাই বলে- উনি নাকি কি একটা দেখে ভয় পেয়েছিলেন রাতে।
যা চিন্তা করবেন তা পজিটিভ চিন্তা করুন।,যা চিন্তা করবেন তা পজিটিভ চিন্তা করুন।
