sentence,gt,text,spans,count_ignore,Bs,Is,same,distance
এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়: খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়$:$ খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়: খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,[57],0,[57],[],False,2
থাকলেও যে বিশেষ সুবিধে হতো তা নিশ্চিত করে বলা যায় না।,থাকলেও যে বিশেষ $সুবিধে$ হতো তা নিশ্চিত করে বলা যায় না।,থাকলেও যে বিশেষ সুবিধে হতো তা নিশ্চিত করে বলা যায় না।,"[16, 17, 18, 19, 20, 21]",0,"[16, 17, 18, 19, 20, 21]",[],False,2
তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,[],0,[],[],True,0
আমার অপেক্ষায় বসে থাকবেন না।,আমার অপেক্ষায় বসে থাকবেন না।,আমার অপেক্ষায় বসে থাকবেন না।,[],0,[],[],True,0
তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ,তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ$$,তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ,[],1,[],[],False,2
তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,[],0,[],[],True,0
এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,[],0,[],[],True,0
"এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।","এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।","এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।",[],0,[],[],True,0
"মারিয়াকে পাওয়ার আগে, হয়তো আমি বলতাম দুটো ভিন্ন।","মারিয়াকে পাওয়ার আগে$,$ হয়তো আমি বলতাম দুটো ভিন্ন।","মারিয়াকে পাওয়ার আগে, হয়তো আমি বলতাম দুটো ভিন্ন।",[19],0,[19],[],False,2
আমি বললাম “উপরে লোক আছে তারা দেবে।,আমি বললাম$$ $“$উপরে লোক আছে তারা দেবে।,আমি বললাম “উপরে লোক আছে তারা দেবে।,[10],1,[10],[],False,4
প্রার্থনার ভাষা ফরাসি।,প্রার্থনার ভাষা ফরাসি।,প্রার্থনার ভাষা ফরাসি।,[],0,[],[],True,0
যদিও সরকার তদন্ত করেও কিছু পায়নি।,যদিও সরকার তদন্ত করেও কিছু পায়নি।,যদিও সরকার তদন্ত করেও কিছু পায়নি।,[],0,[],[],True,0
বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,[],0,[],[],True,0
ফলে আমাদের বানানের ভুলটা কমে যাবে।,ফলে আমাদের বানানের ভুলটা কমে যাবে।,ফলে আমাদের বানানের ভুলটা কমে যাবে।,[],0,[],[],True,0
জাতিসংঘ প্রতি নতুন বছরের শুরুতে অর্থনীতির আরেকটি প্রাক্কলন প্রতিবেদন প্রকাশ করে।,জাতিসংঘ প্রতি নতুন বছরের শুরুতে অর্থনীতির আরেকটি প্রাক্কলন প্রতিবেদন প্রকাশ করে।,জাতিসংঘ প্রতি নতুন বছরের শুরুতে অর্থনীতির আরেকটি প্রাক্কলন প্রতিবেদন প্রকাশ করে।,[],0,[],[],True,0
"আমার এহানে চাইল আছে, ডাইল আছে।","আমার $এহানে$ $চাইল$ আছে, $ডাইল$ আছে।","আমার এহানে চাইল আছে, ডাইল আছে।","[5, 6, 7, 8, 9, 11, 12, 13, 14, 21, 22, 23, 24]",0,"[5, 6, 7, 8, 9, 11, 12, 13, 14, 21, 22, 23, 24]",[],False,6
আমার বালের নিউস ।,আমার বালের $নিউস$$ $।,আমার বালের নিউস ।,"[11, 12, 13, 14, 15]",0,"[11, 12, 13, 14, 15]",[],False,4
এটা স্কাইলাইন থেকে ধার করে আনা রঙের কাভার!,এটা স্কাইলাইন থেকে ধার করে আনা রঙের কাভার!,এটা স্কাইলাইন থেকে ধার করে আনা রঙের কাভার!,[],0,[],[],True,0
এসো আমরা যাই!,এসো আমরা যাই!,এসো আমরা যাই!,[],0,[],[],True,0
আর নিশ্চয় আল্লাহর নবী দাউদ আ. নিজ হাতের উপার্জন থেকেই খেতেন (বুখারী)।,আর নিশ্চয় আল্লাহর নবী দাউদ $আ.$ নিজ হাতের উপার্জন থেকেই খেতেন (বুখারী)।,আর নিশ্চয় আল্লাহর নবী দাউদ আ. নিজ হাতের উপার্জন থেকেই খেতেন (বুখারী)।,"[27, 28]",0,"[27, 28]",[],False,2
"হ্যাঁ, সে অনেকটা মাতাল ছিল।","হ্যাঁ, সে অনেকটা মাতাল ছিল।","হ্যাঁ, সে অনেকটা মাতাল ছিল।",[],0,[],[],True,0
"লিও পেইজকে তার বাসায় আনতে চাইল, কিন্তু বাধ সাধল তার বাবা মা।","লিও পেইজকে তার বাসায় আনতে চাইল, কিন্তু বাধ সাধল তার $বাবা মা$।","লিও পেইজকে তার বাসায় আনতে চাইল, কিন্তু বাধ সাধল তার বাবা মা।","[52, 53, 54, 55, 56, 57, 58]",0,"[52, 53, 54, 55]","[56, 57, 58]",False,2
"চাটুকার, দালালরা দুঃসময়ে কেটে পড়ে।","চাটুকার, দালালরা দুঃসময়ে কেটে পড়ে।","চাটুকার, দালালরা দুঃসময়ে কেটে পড়ে।",[],0,[],[],True,0
"আজকে যারা মুসলিম মরেছে ভাল হয়েছে বলে তালি বাজাচ্ছেন, একদিন তাদের নিজের আত্মীয়কেও একইভাবে মরতে দেখবে।","আজকে $যারা$ মুসলিম মরেছে ভাল হয়েছে বলে তালি বাজাচ্ছেন, একদিন তাদের নিজের আত্মীয়কেও একইভাবে মরতে দেখবে।","আজকে যারা মুসলিম মরেছে ভাল হয়েছে বলে তালি বাজাচ্ছেন, একদিন তাদের নিজের আত্মীয়কেও একইভাবে মরতে দেখবে।","[5, 6, 7, 8]",0,"[5, 6, 7, 8]",[],False,2
"বিশু, উকিল কল করেছিল।","বিশু, উকিল কল করেছিল।","বিশু, উকিল কল করেছিল।",[],0,[],[],True,0
দশ বছরের আমি বুঝে গেছি যে ছেলেরা মোটেও ভালো নয়; একটা দুটো নমুনা দেখে মনে মনে ছেলেদের বন্ধু হবো না ঠিক করে ফেলেছি।,দশ বছরের আমি বুঝে গেছি যে ছেলেরা মোটেও ভালো নয়; $একটা দুটো$ নমুনা দেখে মনে মনে ছেলেদের বন্ধু $হবো$ না ঠিক করে ফেলেছি।,দশ বছরের আমি বুঝে গেছি যে ছেলেরা মোটেও ভালো নয়; একটা দুটো নমুনা দেখে মনে মনে ছেলেদের বন্ধু হবো না ঠিক করে ফেলেছি।,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 91, 92, 93]",0,"[48, 49, 50, 51, 91, 92, 93]","[52, 53, 54, 55, 56]",False,4
দৌড়ে যাই ওসমানী মেডিকেল হাসপাতালে।,দৌড়ে যাই ওসমানী মেডিকেল হাসপাতালে।,দৌড়ে যাই ওসমানী মেডিকেল হাসপাতালে।,[],0,[],[],True,0
বিদ্যা ও ধর্মের পায়ের নীচে তলওয়ার রইল।,বিদ্যা ও ধর্মের পায়ের $নীচে$ $তলওয়ার$ রইল।,বিদ্যা ও ধর্মের পায়ের নীচে তলওয়ার রইল।,"[22, 23, 24, 25, 27, 28, 29, 30, 31, 32]",0,"[22, 23, 24, 25, 27, 28, 29, 30, 31, 32]",[],False,4
"সবজি , হালুয়া , ডাল , দই এসব প্রায় সব রেষ্টুরেন্টে পাবেন ।","সবজি$ $, হালুয়া$ $, ডাল$ $, দই এসব প্রায় সব $রেষ্টুরেন্টে$ পাবেন$ $।","সবজি , হালুয়া , ডাল , দই এসব প্রায় সব রেষ্টুরেন্টে পাবেন ।","[4, 13, 19, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 56]",0,"[4, 13, 19, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 56]",[],False,10
