text,label
"নিজ জীবনের সাথে ওতপ্রোতভাবে জড়িত ছিলো গল্পটা! হ্যা, সে আজ অনেকটা সুখে আছে, অন্য কাউকে নিয়ে। আমি দূর থেকেই আমায় ভুলতে হাজারো সাহায্য করেছিলাম তাকে। যখন বুঝতে পারলাম যে, সে আর আমার নাই তখনই মনে হলো জীবনের মানেটা আজ আর আমার কাছে অর্থহীন ব্যাতীত কিছু নয়। আজ চাইলেও তাকে আর ফিরাতে পারিনা! তিলে তিলে নিঃশেষ হয়ে যাচ্ছি অন্ধকারের গহবরে। আর চলতেও পারছিনা! সম্পা সুখী হ তুই, বিশ্বাস কর্ আজো গভীর রাতে নিরবেই কেদে যাই তোর অজান্তে, যেটাকে তুই বিনোদনের উপকরণ ভাবিস। ভালো থাকিস, এবার আর পারলাম না! সবটা শেষ মনে করেই মা-বাবার হাতে জীবনটাকে তুলে দিলাম। ৭ টা বছরের পথ চলা হাতে হাত রেখে আর আজ ৫ মাস হলো, তোর সাথে চোখে চোখ,হাতে হাত বা তোর কণ্ঠটাও শুনতে পাইনা..........",p
"বহুদিন পরে ভালো লাগল একটা নাটক দেখে। এই দুইজন সেরা জুটি টিভির পর্দায়। আর যত দিন যাচ্ছে, নিশো আর তানজিন এর অভিনয় আরো প্রাণবন্ত হচ্ছে। ক্যামেরার শট গুলি অসাধারণ ছিল। প্রতিটি চরিত্র প্রায় অপটিমাম লেভেলে পারফর্ম করেছে, এমন কি অল্প সময়ের কিন্তু গুরুত্বপূর্ণ চরিত্রের ডাক্তার ও।",p
শেষটা অসাধারণ,p
"অসাধারণ একটা গল্প অনেক ভালো লাগলো,,,,,,",p
সত্যিই অসাধারণ,p
অসাধারণ একটা নাটক দেখলাম।,p
"দু জনেরই অাভিনয় অনেক সুন্দর হয়ছে, ধন্যবাদ",p
তিশা আপুকে সবসময় ভালো লাগে। Love u apu,p
"এই বছরের সেরা নাটক,  বলতে হবে  ,  আপনারা কি বলেন।??????",p
নাইস নাটক,p
তিশা আপুর অভিনয় সত্যিই অতুলনীয় হয়েছে। আর বাঁশির সুরটাতো যেন তার অভিনয়ের সাথে তালে তাল মিলাচ্ছিলো।,p
খুব ভালো লাগলো।,p
আমি কলকাতায় থাকি।বাংলাদেশী এই ধরনের টেলিফ্লিম আমি কোন দিন দেখি না আজ ফার্স্ট টাইম দেখলাম। দারুণ লাগলো। #ধন্যবাদ বাংলাদেশী মিডিয়া,p
"খুব সুন্দর একটা নাটক,,,এসব পরিচালক রা,,চাইলেই অনেক ভালো ভালো মুভি আমাদের উপহার দিতে পারেন,,,আর আরফান নিশো ভাই,,আমার আপনি পছন্দের একজন অভিনেতা",p
অসাধারণ বস,p
দারুন অসাধারণ,p
অনেক সুন্দর একটি নাটক.... সত্যি অসাধারণ..,p
সত্যি। বাংলাদেশী নাটক সত্যিই অতুলনীয়। দারুন লাগলো ।,p
সেরা নাটক হয়ছে।,p
"অসাধারন একটা নাটক,খুবই ভাল লাগছে,বিশ্বাস এমন একটা জিনিস যেটা রাখার য্যোগতা সবার থাকে না",p
নিশোর অন্যতম সেরা একটিঅমি ভাই অসাধারণ স্ক্রীনপ্লে,p
অসাধারন জুটি  পাসা পাসি অবিনয় সেই লাগে ভাই কুয়েত,p
"এরকম সুন্দর সুন্দর সামাজিক নাটক আমরা আরো চাই আর তানজিন আপু তো এক্কেবারে ফাটাইয়া দিলো,,,,,,,",p
শেষটা অনেক ভাল ছিলো,p
এই রকম মাইয়া কেও ভালোবাসতো আমারে লালা জান দিয়া দিতাম,p
তানজিন তিশাকে আন্নরূপে দেখে স্যতি খুব ভালো লাগলো তিশা আপু সেই তোমার বিগ ফেন আমি তোমাকে এইরূপে আবার দেখতে চাই কুতার বাচ্চা তুই আমার ফোন ধরছ না কেন সেই ছিলো,p
তিশার শেষ দৃশ্যের কান্নার অভিনয়টা অসাধারন...... জীবন্ত একদম। মনেই হয় না এটা অভিনয়।।।,p
অসাধারণ নাটকটি,p
এখানেই শেষ করে দিলো,p
অসাধারণ,p
নাটক টি অনেক সুন্দর হয়েছে,p
কতবার যে দেখেছি হিসেব নেই... অসাধারণ নাটক....,p
ভাল লাগল নাটক টা,p
দুইটা লাইক পাওয়ার আশায় নাটকও দেখতাছে আবার হাদিস ও শুনাচ্ছে।,p
অসাধারন চোখের জল ধরে রাখতে পারলামনা,p
"অসাধারন একটি নাটক। boss আপনার কাজগুলা অনেক ভালো লাগে,,,,।",p
"নাটকটা যে কতবার দেখেছি, তার কোন হিসাব নাই. One of the best নাটক of the year. তানজিন তিশার  অভিনয় অসাধারণ.",p
নাটকের স্টরিলাইন দারুন। ডিরেকশন সম্ভবত আরো ভালো দেয়া যেত। এ ধরনের ইমোশনাল নাটক দেখতে ভালই লাগে।,p
অনেক ভাল লাগছে!!!!,p
আমার দেখা সেরা,p
খুব  খুব সুন্দর  নাটকটি। এক কথায় অসাধারণ।,p
"নিশো তিশাকে যেভাবে এড়িয়ে যাচ্ছিলো তাতেই ধারণা করেছিলাম যে কিছু একটা আছে যার জন্য এমন করতেছে!!সেটাই সত্যি হলো,,,, যে ভালবাসার বহিঃপ্রকাশ কতরকম হতে পারে।লাস্ট মোমেন্ট মিলনাত্মক দেখে খুব ভালো লেগেছে।",p
খুব খুব খুব ভালো লাগলো,p
"অনিক ভাই সময়কে সঠিক কাজে লাগাতে হয়,সুযোগ নয়!!!!ভাই কেরেকটারটা এমন-ই ছিলো গল্পটা খুব ভালো লাগছে.I love Story!!!Good luck Onik vi...৳...",p
বাংলা নাটক ই সেরা,p
আজকাল বাঙলাদেশের নাটক ভালো হচ্চে... একদম বাস্তবকে তুলে ধরার চেষ্টা... love from india,p
#  the end নাটকা সত্যি অসাধারন হয়েছে ভালোবাসা এমনই যাকে এক বার হৃদয় জায়গা দেওয়া হয় তাকে আর ভুলা যায় না শত কিছু বিনিময়ে তাকে পেতে চায়। so nice beautiful drama.,p
অনেক সুন্দর নাটক,p
"পরিচালক অমি ভাইয়রে কইতাছি।  এটা আমার ব্যক্তিগত মতামত। নিশো ভাইয়ের লগে তিশা আপার চাইতে মেহজাবিন আপা, সাবিলা আপারে ভালো মানায়।বেস্ট ড্রামা!  ভাল্লাগছে।",p
"খুব কষ্ট লেগেছে,,, সত্যিই গল্পটা অনেক সুন্দর",p
অসাধারণ...,p
"অনেক অনেক আমার কাছে ভালো লাগছে,অনেক হাসির মাযে ও কস্ট লুকি য়ে থাকে যে গুলো খালি চোখে দেখা জায় না,শেষের দিকটা খুব ভালো লাগছে,ফিনিশিং খুব ভালো হইছে।",p
নাটকটি অনেক সুন্দর হয়েছে,p
গল্পটা অনেক ভাল লাগলো,p
অসাধরন তাছনিন তিশার অভিনয় ভালো লাগছে।,p
Just অসাধারণ,p
নিশো ভাই এই জন্যই আপনাকে ভাল নাগে ভিষণ,p
অসাধারণ লাগতেছে  ন,p
"নাটক। টাদেখে আসলে খুবিই ভালো লাগলো,,,",p
অসাধারণ একটি নাটক দেখলাম।।।আর  আমার কাছে নিশো ভাই এর অভিনয় অনেক ভালো লাগে।।।আমি নিশো ভাই এর সব নাটক দেখি একটাও মিস করি না,p
নাটক জগতে আরও একটি সুন্দর নাটক দেখলাম।,p
৩ বার নাটকটা দেখলাম। হয়ত আবারও দেখা হতে পারে।কিছু নির্মাণ থাকে যাদুকরী...,p
অসধারন নাটক কিন্তো শেষে বিষয়টা যে  বেচে আছে কিনা সব কিছোই সফল হলো যে কোন একটাত দেখে বোজতে পারতাম যে এটাই আমার বাস্থবতা সাথে মিল,p
এত সুন্দর নাটক  তানজীম তীশা নিশো ভাইয়া,p
"অসাধারণ, তানজিল তিশা. ভালবাসার কোন শেষ নেই",p
ভাল লাগলো।,p
ছেলেরা এরকমি নিজের কষ্ট কাওকে বুজতে দেই  না সুন্দর  নাটক,p
শেষটা অসাধারণ ছিল,p
"এক কথায়, সুপার হিট।।",p
তিশার অভিনয়  অনেক সুন্দর হইছে।,p
"আরফান নিশো ভাই,, সেই রখম নাটকটা,,এবং তানজিলা আপুকে অনেক অনেক ধন্যবাদ,,,কেমন হইছে নাটকটা বন্ধুরা??",p
"অনেক সুন্দর লাগলো,,",p
অসাধারণ একটি ড্রামা,p
মজাই মজা,p
খুব সুন্দর হয়েছে আমি নাটকের সেষ পানতে খুব কেঁদেছি,p
অসাধারণ নাটক ভাল্লাগছে,p
বুদ্বিমান পরিচালক।নিশো তানজিন দুজনই ভাল।গালিগুলো এজটু কড়া হয়ে গেছে।তবু ও ভাল।,p
অনেক দিন পর ভালো একটি নাটক দেখলাম,p
খুব ভালো লাগছে,p
"দুই বাংলাতেই দারুণ সব অভিনেতা এবং অভিনেত্রীরা আছে যাদের অভিনয় মুগ্ধ করে দেয় এবং এই ছবির মূল সম্পদই হল অভিনয়। গল্পের ক্লাইম্যাক্সে গিয়ে সেই 'রিভার্সাল' এ পোঁছন পর্যন্ত যা আসলে আমাদের আগ্রহ ধরে রাখে এবং অপেক্ষায় করায়, সেটা এই এত ভাল অভিনয় না হলে হত না। ভাল অভিনয়ই গল্পকে বিশ্বাসযোগ্য এবং গল্পের প্রাপ্য মাত্রা দিয়েছে! শেষে গিয়ে দেখা যায় গল্পটা চেনা, কিন্তু তাতে কি? গল্প কিভাবে বলা হচ্ছে সেটা আসলেই গুরুত্বপুর্ণ এবং এই গল্পের আসল সম্পদ হল অভিনয় আর এই অভিনয় এবং গল্লকে তার সঠিক দিশা দেওয়ার জন্য অবশ্যই প্রশংশা এবং অভিনন্দন প্রাপ্য পরিচালকের। ধন্যবাদ দুই অভিনেতা  Afran Nishoএবং অভিনেত্রি Tanjim Tisha কে মনোমুগ্ধকর অসাধারন অভিনয়ের জন্য এবং অভিনন্দন পরিচালক কাজল কে । এইরকম আরো চাই আপনাদের কাছ থেকে-  হৃদয় ছুঁইয়ে যাওয়া কাহিনি এবং Cinematic মুহুর্ত।",p
ভাল লাগছে,p
এই নাটকটি আমি কম হইলো  বার দেখছি  আমার খুব ভাল লেগেছে  বিশেষ করে তিশার অসাধারণ অভিনয় করছে নিশো ভাইয়ের অভিনয় অনেক ভাল অভিনয় করে ছে,p
এবারের ঈদের সেরা নাটক,p
আফরান নিশোর পাগড়ি খুলে বিয়ের আসর থেকে পালিয়ে যাওয়ার দৃশ্যটা সেই রকম মজার ছিল।সময় :-:.হাহাহা...!,p
অসাধারণ  নাটক,p
আসলেই বাধ্য হয়ে বলতে হয় অসাধারণ একটি নাটক  ।,p
অনেক অনেক সুন্দর,p
অসাধারণ দুজনেই বেস্ট জুটুএক সময়ে ছিলো আমার বেস্ট জুটি ছিলো সখ আর আফরান নিশু আর এখন হলো এই দুজন অসাম  I love you so much,p
অসাধারণ লাগছে,p
অসাধারন একটা নাটক,p
আমার দেখা বাংলাদেশের সমস্ত নাটকের মধ্যে সেরা একটি।অসাধারণ একটা গল্প।পরবর্তী পার্ট চাই ভবিষ্যৎ এ কি হলো দেখতে চাই।,p
অসাধারণ নাটক ভাই,p
Background Music টা খুব দারুন ছিল....,p
সেরা ভাই সেরা,p
অনেক ভালো একটা নাটক।জীবনের দেখা শীর্ষ নাটকের তালিকায় আমার কাছে এটা ২য়।,p
ভাল লাগছে ভাই অনেক ভালো লাগছে একদম কলিজায় লেগে গেছে,p
খুবই ভালো লাগছে,p
নাটক টা দেখে অনেক ভালো লাগলো,p
"আমাদের দেশ বাংলাদেশ, সব কিছুতেই সেরা",p
অসাধারণ নাটক আমার কাছে অনেক ভালো লাগছে।,p
দৌড়টা আমার খুব ওসাম লাগছে।,p
"অসাধারণ, নিশো ও তানজিন তিশা দুজনেই আমার পছন্দের",p
"বিয়ে এর মত ভাল জিনিস নিয়ে ফাজলামো,",p
শেষ দৃশ্য টা সত্যি অসাধারণ।,p
বাংলাদেশে এই নাটক গুলোর জন্য অনেক বিখ্যাত হচ্চে.Mind blowing...  একটা নাটক...শেষটা কস্টের.....,p
অসাধারন ছিলো নাটকটা,p
নাটক টা অনেক সুন্দর হয়েছে।  ভাইয়া এবং আপুর অভিনয় অনেক বাস্তবিক।,p
নিশো ভাই আপনার নাটক আমি দেখিনাই আমার জানা মতে আর নাই  ইউটুবে বেস্ট জুটি (তানজিন তিশা আরফিন নিশো),p
নিশো ভাই অভিনেতা হিসাবে সেরা আবারও প্রমান হয়ে গেল,p
"দারুন ,খুব খুব ভালো",p
আফরান নিশো ভাই নাটক অসাধারণ অনেক ভালো লাগছে নাটক দেখার পর মেয়েদের প্রতি ভালোবাসা আরো বেড়ে গেল,p
ভালোবাসা কেন এমন হয় ????,p
অসাধারণ,p
অনেকদিন পর এমন অসাধারণ গল্পে নির্মিত একটা নাটক দেখলাম। আর ধ্রুব টিভি বা মিউজিক স্টেশনের কথা কি বলব এই প্রতিষ্ঠানের কাজের ফ্যান হয়ে গেছি। কাজের মান ১০০ তে ১০০,p
শুরু টাও awesome হয়ছেশেষ টাও  awesome  হয়ছে,p
এক কথাই অসাধারণ একটি নাটক,p
শেষ এর ইমোশন টা অনেক ভালো ছিলো,p
খুব সুন্দর নাটোক টা,p
তানজিন তিশা আপুর সংগে আরফান নিশো ভাইয়াএই জুটি টা আমার কাছে অসাধারন লাগে & দুই জনার সংগে মিলেও একদম পারফেক্ট ---নাটক টি সুন্দর হয়েছে-বরাবরই তানজিন তিশা আপুর  & নিশো ভাইয়ের অভিনয় আমার কাছে সেরা অভিনয়---ধন্যবাদ,p
খুব ভালো লেগেছে।,p
"অসাধারণ নাটক,,",p
"ইন্ডিয়ার বাংলা নাটকের চেয়ে, বাংলাদেশের নাটক ই সেরা।।",p
বেস্ট বেস্ট বেস্ট এভার সিন,p
নাটকটা ভালোই লাগছে,p
মন ছুয়ে গেছে,p
আসাধারন অভিনয় দুই জনেয় সেরা,p
তানজিন তিশা আর আফরান নিশু জুটি টা দারুণ,p
প্রেমিকা হলো সুইয়ের মতো...ব্যথা দিয়ে বোঝায় তার 'অস্তিত্ব' হারিয়ে যেয়ে বোঝায় সে 'প্রয়োজনীয়',p
"অপূর্বর জায়গাই অপূর্ব,,,,,  নিসোর জাইগাই নিসো????",p
অসাধারণ নাটক...রেসপেক্ট ইউ বস নিশো,p
"এখনো এমন অনেক প্রকৃত ভালবাসা রয়েছে,, কিন্তু কিছু ছদ্মবেশী প্রেমিক প্রেমিকার জন্য আজ আর কেউ কাউকে বিশ্বাস  করতে পারে না",p
"বাংলাদেশের মুভি থেকে নাটক গুলো বেশি ভাল।নিশো ভাই, সিয়াম, তাহসান ছ্যারের নাটক গুলো সবথেকে বেশি ভাল লাগে।আমার মত কে কে আছেন",p
সত্যি অসাধারণ নাটকটি,p
এক কথায় অসাধারণ নিশো & তানজিন তিশা জুটি মানেই অসাধারণ #Rongdhonu,p
অতি সুন্দর একটা নাটক,p
নাটক টা সব কিছু ঠিক আছে কিনতো লাসটে মেয়ে টা সব কিছু জানতে পারলো তার জন্য আমার কাছে ভাল লাগে না।,p
"সত্যি কারের ভালবাসা এমনই হয়,",p
অনেক সুন্দর,p
ভাইয়ের তোমার নাটক বলে কথা সুন্দর একটা কিছু উপহার তো থাকবেই,p
নাটক টি অনেক সুন্দর হয়েছে আরফান নিশো ভাইয়ের পাগলা ভক্ত গুলা কই,p
সেরা নাটক,p
অসাধারণ ‌ভাই,p
নাটক দেখে খুব ভালো লাগলো,p
আরপাত নিশো এন্ড তানজিন তিশা।অপূর্ব। + মেহজাবিন?  নাটক জগতের সেরা জুটি?,p
"নাটকটা যতবার দেখি ততবারই ভালো লাগে এবং সাথে কান্নাও আসে,,,,",p
খুভাল নাটক অসাধারন,p
অসাধারণ একটা নাটকদেখে খুব ভালো লাগছে,p
নাটকের জগতে বস আফরান নিশো ভাই আপনাকে সেলুট এতো সুন্দর নাটক উপহার দেয়ার জন্যে!!!,p
অসাধরণ নাটক খুব ভালো লাগলো।,p
অসাধারন হইছে,p
খুব সুন্দর হইছে সবাইকে  দেখার অনুরধ রইলো,p
"কি নাটক বানাইছেন মিয়া, শেষ পযন্ত কানদাঁইয়া ছাড়লেন  এক কথাই অসাধারণ, এমন নাটক আরো চাই",p
# নিশু মানেই অন্য কিছু  Wow,p
তিশার চরিত্র টা আরেকটু লাজুক হইলে ভাল হইত,p
অনেক সুন্দর নাটক.........,p
"অসাধারণ বস,,,,,,, ভালোবাসা রইল সব সময় ,,,,",p
অসাধারণ নাটক,p
অনেক অনেক ভালো লাগছে নিশো ভাই ধন্যবাদ,p
দুর্দান্ত।হৃদয়ছোঁয়া।,p
অসাধারণ একটি নাটক অনেক ভালো লাগলো ধন্যবাদ সবাইকে,p
ফাটাফাটি আরফিন ভাইয়ার  ভক্তদের কে একসাথে দেখতে চাই লাইক কমেন্ট,p
শেষটা যে এমন হবে ভাবতে পারিনি। সত্যি  অসাধারণ,p
"নিশো ভাইয়ের নাটকই এখন সবচেয়ে হিট,অনেক সুন্দর।",p
অনেক ভালো লাগলো,p
অসাধারন একটা নাটক ......।। ধন্যবাদ এতো সুন্দর একটা নাটক উপহার দেওয়ার জন্য ...।। আফরান নিশো আর তানজিন তিশা দুজনকে একসাথে পুরো awesome লাগে ...।।,p
Just অসাধারণ,p
"সত্যি নাটকটা খুব উপভোগ করলাম,অবশেষে দু চোখের পানি ফেলে একটু কাদলাম, অতীতের কথা মনে করে। সত্যিই অসাধারণ",p
"অসাধারণ।।। পরিচালক,আফরান নিশো ও তানজিন তিশা কে অনেক অনেক অভিনন্দন।।",p
আমি পশ্চিমবঙ্গের দর্শক। আফরান নিশোর খুব বড় ভক্ত। নিয়মিত আমি বাংলাদেশের এই নাটকগুলো দেখি। অনেক অনেক ভালোবাসা রইলো। আর বাংলাদেশে একবার ঘুরে আসতে চাই,p
"The End নাটকটি তে অনেক ভালো সাড়া পেয়েছি,আশা করি এভাবেই সবসময় পাশে থাকবেন,এই ঈদে আরো বেশকিছু কাজ আসছে আমার,আশা করি সেগুলোও ভালো লাগবে আপনাদের,আমার জন্য দোয়া করবেন,ভালোবাসা রইল সবার জন্য ধন্যবাদ",p
"অসাধারণ নাটক,খুব ভাল লাগলো দেখে নাটকটা",p
আফরান নিশো ভাই খুব ভালো লাগছে,p
অনেক সুন্দর একটা নাটক। চোখের পানি ধোরে রাখা জায়না,p
বেষ্ট সিন লাষ্ট মোমেন্ট,p
অনেক সুন্দর নাটক,p
অনেক সুন্দর লাগলো নাটক টি।,p
অসাধারন একটা নাটক,p
নাটকটি দারুন সুন্দর,p
দারুন হইছে,p
বাংলাদেশের সিনেমা হলে বাংলা ছবি বাদ দিয়ে নাটক দেখানো উচিত... সবাই কি এক মত অপুর্ব boss তো আছেই...?,p
"তিশা,,এবং নিশু দুই জনকে অনেক সুন্দর লাগে।।",p
অসাধারণ।কিছু কিছু জায়গায় গালিগালাজ দেখা গেছে ঐগুলো বর্জন করলে বেস্ট হতো।,p
নিশো ভাই তুমি বাংলা ছবির নায়কদের থেকে অনেক ভালো অভিনয় করো  আর তিশার সাথে জুটি সব নাটক এক কথায় অসাধারণ ওয়াও,p
অনেক সুন্দর একটা নাটক আশা করি বাংলা সিনেমা হারিয়ে গেল বাংলা নাটক হারাবে না,p
"প্রতিটি মেদের প্রতি অনুরোধ ইন্ডিয়ার সিরিয়াল গুল বরজন করো, তাদের থেকে আমাদের নাটক গুল হাজার গুনে ভাল........",p
মজার নাটক,p
Thanks #Kajal_Arefin_Omeবর্তমানে আমি আপনার ফ্যান কোন নায়ক কিংবা  নায়িকা নয়।আপনার কাজ হলেই দেখি।ভালো ভালো কাজের জন্য আপনাকে অসংখ্য ধন্যবাদআশাকরি আরো ভালো কিছু করবেন,p
অসাধারন একটা নাটক।ইউনিটের সবাইকে অনেক ধন্যবাদ। আর নিশো ভাই আর তিশা তো খুবই চমৎকার অভিনয় করছে।।।,p
অনেক  সুন্দর  নাটক,p
অসাধারন গল্প সবাই দেখবেন,p
এই নাটকটা অসাধারণ,p
তানজিন তিশার অভিনয় খুব ভালে লাগছে  & অনেক ধন্যবাদ আপুকে।,p
তানজিন তিশার অভিনয় খুব ভালে লাগছে  & অনেক ধন্যবাদ আপুকে।,p
তানজিন তিশার অভিনয় খুব ভালে লাগছে  & অনেক ধন্যবাদ আপুকে।,p
কার কার কাছে  ভালো লাগছে,p
এক কথায় অসাধারণ,p
নাটকটা  সুন্দর,p
অনেক টা ভালো লাগছে আই লাভ নাটক,p
অসাধারণ। কিন্তু শেষ টা দেখে আর চোঁখের পানি ধরে রাখতে পারলাম না।তুমি কেদো না আমি থাকবো না!!!,p
জীবন সার্থক মনে হয় আজ নাটকা দেখার পর।,p
আপনি সত্যি অসাধারণ বস আপনার তুলনা হয় না | বন্ধুদের একটু সময় থাকলে কষ্ট করে আমার চ্যানেল টি ও দেখবেন ও সাবস্ক্রাইব করবেন ...আপনাদের সাপোর্ট খুব প্রয়োজন .. ধন্যবাদ (Naim Khan TheRex),p
অসাধারন নাটক,p
ছোট কিন্তু অনেক সুন্দর একটা স্ক্রিপ্ট।  আর ওভিনয় এর কথা আর নাই বললাম। অনেক ভালো লাগল।,p
"শেষ টা অসাধারণ হয়েছে , বেস্ট নাটক ঈদ ২০১৯",p
"শেষ হয়েও যার হইলো না শেষ,,সত্যি ও অসাধারণ।",p
আরফার নিশোর অভিনয় টা এক কথাই অসাধারণ আর তানজিন তিশা ও ভালো অভিনয় করে,p
"আফরান নিশো আসলেই জীবন্ত কিংবদন্তি, ওর অভিনয় দক্ষতা দেখে আমি নিজেই বিমোহিত।তানজিন তিশা অসাধারণ অভিনয় করেছে...তিশার জন্য ভালোবাসা।",p
"Best natok, আমি কি বলে যে ধন্যবাদ দিব, বাষা কুজে পাচ্ছি  না",p
"নিসু,,,,,মানে সেরা,,,,বাংলাবাংলার সেরা নাটক",p
এত ভালো ভালো নাটক তৈরি করে বাংলাদেশ পছন্দের নাটক গুলির মধ্যে এই নাটক টা থাকবে আমার দেখা সেরা নাটক গুলির মধ্যে একটি শেষের সীন টা অসাধারন আর নিশো ভাইয়ার জন্য অনেক ভালোবাসা,p
খুবই সুন্দর একটা নাটক Tanjin Tisha and Afran Nisho দুই জনেরই অভিনয় খুবই ভালো  হয়েছে_Love you Nisho vai_Love from Sylhet,p
"শেষে আনন্দে চোখে পানি চলে আসলো....পিউর ভালোবাসা, ১ম থেকেই বুঝতে পারছিলাম নিশোর কিছু  হয়েছে।অনেক ভালো লাগলো শেষ টা",p
ইটা হয়চে সেরা নাটক,p
Acting Level দুইজনেই সেরা,p
বাংলাভিশনে দেখেছিলাম। অনেক ভালো লেগেছিল।,p
অসাধারণ  খুব বালো লাগছে,p
নিশো ভাইয়ের নাটক আমার সবচেয়ে বেশি ভাল লাগে।অন্য কারো ভাল নাও লাগতে পারে?তোমরা কেন একজনের সাথে আর একজনকে compare কর?,p
"অমি ভাই,, অল দ্যা বেস্ট",p
"সিনেমাটোগ্রাফি, ক্যামেরা কম্পোজিশন, সাউন্ডস সব কিছুই ভালো ছিলো।কিপ ইট আপ। নেক্সট নাটকে আরও ডেপথ্ ওয়ালা স্টোরি চাই।",p
"নাটক ভাল হয়ছে,,,কিন্তু আমার না খুব লাগছে তিশার কান্না গুলো,,, প্রত্যক টা সট এ ওর কান্না গুলো  মনে হল পুরা রিয়ল লাইফ,,,,আর পাজিল নিশো বৈশী যা না করছে,,,???",p
অসাধারণ ছিলো,p
বাংলাদেশের নাটক গুলো এখন খুবই সুন্দর হয়,p
"অসাধারণ নাটক,,, খুব ভালো লাগলো।",p
ভাল লাগছে,p
বাংলাদেশের সিনেমা থেকে নাটক সবচেয়ে বেশি ভালো।।আসুন সবাই নাটক দেখি,p
অসাধারণ হইছে নাটক টা।।,p
অসাধারণ ছিল ।।। মন ছুয়ে গেছে..…,p
"কাজল আরফিন অমি ভাই আপনার নাটক গুলা অনেক সুন্দর হয়,,, আপনি পুরষ্কার পাবেন,,, অবশ্যয়।",p
এক কথায় অসাধারণ।,p
পুরোটাই অনেক মজা পাইছি কিন্তু শেষের দিকে এসে একটু ভালো লাগছে,p
অনেক সুন্দর নাটক।,p
"নাটকটি বেশ ভাল লেগেছে, ধন্যবাদ, এত সুন্দর একটি নাটক দর্শকদের মাঝে উপহার দেওয়ার জন্য।",p
একটি ব্যতিক্রম নাটক দেখলাম খুব ভাল হয়েছে,p
"পুরাণ কাহীনি নতুন করে উপস্থাপন!! তবে নিশোর অভিনয়টা অনেক ভাল লাগছে, যা আগেকার ক্যান্সার রুগীদের মত ছিলনা ""!",p
