correct_sentence,gt,sentence,correction
"দুর্গাকুমার পাঠশালা সরকারি প্রাথমিক বিদ্যালয়ের সহকারী শিক্ষিকা শিপ্রা রানি নাথ বলেন , ‘ বিদ্যালয়ের ছোট ছোট শিক্ষার্থীরা যাতায়াতের সময় খেলার ছলে ট্রান্সফরমারের ভেতরে আঙুল ঢুকিয়ে দিলে ভয়াবহ দুর্ঘটনা ঘটে যেতে পারে।","দুর্গাকুমার পাঠশালা সরকারি প্রাথমিক বিদ্যালয়ের সহকারী শিক্ষিকা শিপ্রা রানি নাথ বলেন , ‘ বিদ্যালয়ের ছোট ছোট শিক্ষার্থীরা যাতায়াতের সময় খেলার ছলে ট্রান্সফরমারের ভেতরে আঙুল ঢুকিয়ে দিলে ভয়াবহ দুর্ঘটনা ঘটে যেতে পারে।","দুর্গাকুমার পাঠশালা সরকারি প্রাথমিক বিদ্যালয়ের সহকারী শিক্ষিকা শিপ্রা রানি নাথ বলেন , ‘ বিদ্যালয়ের ছোট ছোট শিক্ষার্থীরা যাতায়াতের সময় খেলার ছলে ট্রান্সফরমারের ভেতরে আঙুল ঢুকিয়ে দিলে ভয়াবহ দুর্ঘটনা ঘটে যেতে পারে।",[]
"জয় শাহরিয়ার জানিয়েছেন , ভালোবাসা দিবস উপলক্ষে অ্যালবামটি সিডি আকারে বাজারে ছাড়ছে সিএমভি।","জয় শাহরিয়ার জানিয়েছেন , ভালোবাসা দিবস উপলক্ষে অ্যালবামটি $সীদি$ আকারে বাজারে ছাড়ছে সিএমভি।","জয় শাহরিয়ার জানিয়েছেন , ভালোবাসা দিবস উপলক্ষে অ্যালবামটি সীদি আকারে বাজারে ছাড়ছে সিএমভি।","[((57, 60), 'সিডি')]"
কক্ষে রাতে ঠিকমতো ঘুম হয় না।,কক্ষে রাতে ঠিকমতো ঘুম হয় না।,কক্ষে রাতে ঠিকমতো ঘুম হয় না।,[]
"পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা যায় , দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে।","পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা $জায়$ , দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে।","পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা জায় , দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে।","[((77, 79), 'যায়')]"
আমরা মান ও গ্রাহকের চাহিদাকে গুরুত্ব দিই।,আমরা মান ও গ্রাহকের চাহিদাকে গুরুত্ব দিই।,আমরা মান ও গ্রাহকের চাহিদাকে গুরুত্ব দিই।,[]
মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম।,মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম।,মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম।,[]
কিন্তু ৮১০ জন শিক্ষার্থীর জন্য গণিতে মাত্র একজন শিক্ষক আছেন।,কিন্তু ৮১০ $জণ$ শিক্ষার্থীর জন্য গণিতে মাত্র একজন শিক্ষক আছেন।,কিন্তু ৮১০ জণ শিক্ষার্থীর জন্য গণিতে মাত্র একজন শিক্ষক আছেন।,"[((11, 12), 'জন')]"
তবে বোয়ানের ফেসবুক পেজে গতকাল বিকেলে একটি বিজ্ঞপ্তি দেখা যায়।,তবে বোয়ানের ফেসবুক পেজে গতকাল বিকেলে একটি বিজ্ঞপ্তি দেখা $জায়$।,তবে বোয়ানের ফেসবুক পেজে গতকাল বিকেলে একটি বিজ্ঞপ্তি দেখা জায়।,"[((57, 59), 'যায়')]"
বৃশ্চিক ( ২৪ অক্টোবর—২২ নভেম্বর ) বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে।,বৃশ্চিক ( ২৪ অক্টোবর—২২ নভেম্বর ) বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে।,বৃশ্চিক ( ২৪ অক্টোবর—২২ নভেম্বর ) বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে।,[]
আবারও ব্যস্ততার চাপ নিতে মন চায় না।,আবারও ব্যস্ততার চাপ নিতে $মণ$ চায় $ণা$।,আবারও ব্যস্ততার চাপ নিতে মণ চায় ণা।,"[((25, 26), 'মন'), ((32, 33), 'না')]"
সেখানে পরিবেশের এত বড় ক্ষতি হবে না।,সেখানে পরিবেশের এত বড় ক্ষতি হবে $ণা$।,সেখানে পরিবেশের এত বড় ক্ষতি হবে ণা।,"[((32, 33), 'না')]"
১৭ বছর আগে মোসলে উদ্দিন বিয়ে করেন।,১৭ বছর আগে মোসলে উদ্দিন বিয়ে করেন।,১৭ বছর আগে মোসলে উদ্দিন বিয়ে করেন।,[]
প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী।,প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী।,প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী।,[]
"এ সময় রাজশাহী বিশ্ববিদ্যালয় সাংবাদিক সমিতির সাধারণ সম্পাদক মুস্তাফিজ রনি , রিপোটার্স ইউনিটির সভাপতি কায়কোবাদ খান , সাধারণ সম্পাদক হুসাইন মিঠু , সাংবাদিক সমিতির যুগ্ম সাধারণ সম্পাদক মেহেদী হাসান , কোষাধ্যক্ষ রাশেদ রিন্টু , প্রেসক্লাবের সভাপতি তাসলিমুল আলম , সাধারণ সম্পাদক ইমদাদুল হক প্রমুখ উপস্থিত ছিলেন।","এ সময় রাজশাহী বিশ্ববিদ্যালয় সাংবাদিক সমিতির সাধারণ সম্পাদক মুস্তাফিজ রনি , রিপোটার্স ইউনিটির সভাপতি কায়কোবাদ খান , সাধারণ সম্পাদক হুসাইন মিঠু , সাংবাদিক সমিতির যুগ্ম সাধারণ সম্পাদক মেহেদী হাসান , কোষাধ্যক্ষ রাশেদ রিন্টু , প্রেসক্লাবের সভাপতি তাসলিমুল আলম , সাধারণ সম্পাদক ইমদাদুল হক প্রমুখ উপস্থিত ছিলেন।","এ সময় রাজশাহী বিশ্ববিদ্যালয় সাংবাদিক সমিতির সাধারণ সম্পাদক মুস্তাফিজ রনি , রিপোটার্স ইউনিটির সভাপতি কায়কোবাদ খান , সাধারণ সম্পাদক হুসাইন মিঠু , সাংবাদিক সমিতির যুগ্ম সাধারণ সম্পাদক মেহেদী হাসান , কোষাধ্যক্ষ রাশেদ রিন্টু , প্রেসক্লাবের সভাপতি তাসলিমুল আলম , সাধারণ সম্পাদক ইমদাদুল হক প্রমুখ উপস্থিত ছিলেন।",[]
ঠিক ১০ বছর আগে ২০০৬ সালের ফেব্রুয়ারি মাসটি ছিল বাংলাদেশের ইতিহাসে সবচেয়ে উষ্ণতম।,ঠিক ১০ বছর আগে ২০০৬ সালের ফেব্রুয়ারি মাসটি ছিল বাংলাদেশের ইতিহাসে সবচেয়ে উষ্ণতম।,ঠিক ১০ বছর আগে ২০০৬ সালের ফেব্রুয়ারি মাসটি ছিল বাংলাদেশের ইতিহাসে সবচেয়ে উষ্ণতম।,[]
"এর আগে বিকেল সাড়ে চারটার দিকে শিক্ষক ফোরামের আহ্বায়ক অধ্যাপক মুহম্মদ হানিফ আলী সাংবাদিকদের বলেন , উপাচার্য পদত্যাগ না করা পর্যন্ত তাঁকে অবরুদ্ধ করে রাখা হবে।","এর আগে বিকেল সাড়ে চারটার দিকে শিক্ষক ফোরামের আহ্বায়ক অধ্যাপক মুহম্মদ হানিফ আলী সাংবাদিকদের বলেন , উপাচার্য পদত্যাগ না করা পর্যন্ত তাঁকে অবরুদ্ধ করে রাখা হবে।","এর আগে বিকেল সাড়ে চারটার দিকে শিক্ষক ফোরামের আহ্বায়ক অধ্যাপক মুহম্মদ হানিফ আলী সাংবাদিকদের বলেন , উপাচার্য পদত্যাগ না করা পর্যন্ত তাঁকে অবরুদ্ধ করে রাখা হবে।",[]
"৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ , ৩৭ পয়েন্ট নিয়ে তিনে ভ্যালেন্সিয়া।","৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ , ৩৭ $পয়েণ্ত$ নিয়ে তিনে ভ্যালেন্সিয়া।","৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ , ৩৭ পয়েণ্ত নিয়ে তিনে ভ্যালেন্সিয়া।","[((46, 51), 'পয়েন্ট')]"
আজকের মধ্যেই কাজ শেষ হবে বলে তিনি জানান।,আজকের মধ্যেই কাজ $সেষ$ হবে বলে তিনি জানান।,আজকের মধ্যেই কাজ সেষ হবে বলে তিনি জানান।,"[((17, 19), 'শেষ')]"
কিন্তু সেই সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর।,কিন্তু $সেঈ$ সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর।,কিন্তু সেঈ সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর।,"[((7, 9), 'সেই')]"
তবে এ বিষয়ে এখনো কোনো মামলা হয়নি।,তবে এ বিষয়ে এখনো কোনো মামলা হয়নি।,তবে এ বিষয়ে এখনো কোনো মামলা হয়নি।,[]
• আপেল খেলে মেদ জমে না।,• আপেল খেলে মেদ জমে $ণা$।,• আপেল খেলে মেদ জমে ণা।,"[((20, 21), 'না')]"
শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না।,শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না।,শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না।,[]
তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত।,তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত।,তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত।,[]
"থানা-পুলিশ ও এলাকাবাসী সূত্র জানায় , হেমন্ত দাস ডায়াবেটিসের রোগী ছিলেন।","থানা-পুলিশ ও এলাকাবাসী সূত্র জানায় , হেমন্ত দাস ডায়াবেটিসের রোগী ছিলেন।","থানা-পুলিশ ও এলাকাবাসী সূত্র জানায় , হেমন্ত দাস ডায়াবেটিসের রোগী ছিলেন।",[]
লাইনটি দীর্ঘদিন সংস্কার না হওয়ায় সেখানে বারবার ট্রেন লাইনচ্যুত হচ্ছে বলে জানিয়েছেন সংশ্লিষ্ট লোকজন।,লাইনটি দীর্ঘদিন সংস্কার $ণা$ হওয়ায় সেখানে বারবার ট্রেন লাইনচ্যুত হচ্ছে বলে জানিয়েছেন সংশ্লিষ্ট লোকজন।,লাইনটি দীর্ঘদিন সংস্কার ণা হওয়ায় সেখানে বারবার ট্রেন লাইনচ্যুত হচ্ছে বলে জানিয়েছেন সংশ্লিষ্ট লোকজন।,"[((24, 25), 'না')]"
সে পাস কাজে লাগালেন কার্লোস সোলের।,সে পাস কাজে লাগালেন কার্লোস সোলের।,সে পাস কাজে লাগালেন কার্লোস সোলের।,[]
