correct_sentence,matched_token
স্থানীয় ইউনিয়ন পরিষদের (ইউপি) কক্ষে আটকে রাখা যুবক আত্মহত্যা করেছেন বলে অভিযোগ উঠেছে।,ইউনিয়ন
"আহমেদ হেলালসহযোগী অধ্যাপক, জাতীয় মানসিক স্বাস্থ্য ইনস্টিটিউট, ঢাকা।",ইনস্টিটিউট
"মার্কিন প্রেসিডেন্টের মেয়েকে বিয়ে করার ইচ্ছে পোষণ করেছেন, ভালো কথা।",মার্কিন
"বঙ্গবন্ধু শেখ মুজিব মেডিকেল বিশ্ববিদ্যালয়ের ফার্মাকোলজি বিভাগের অধ্যাপক মো. সায়েদুর রহমান বলেছেন, বছরে প্রায় দুই কোটি মানুষ ভুল ভাবে ওষুধ সেবন করে।",মেডিকেল
গান গাইতে কেমন লাগে সেই স্বাদ নিতেই এমনটা করেছিলেন।,সেই
"পুলিশ ও উভয়ের পরিবার জানিয়েছে, দুজনের মধ্যে প্রেমের সম্পর্ক ছিল।",ও
তিনি সপ্তাহখানেক আগে কাঁচাবাড়ি বানিয়াপাড়া ও পেশকারপাড়া দুটি গ্রামের গ্রাহকদের নামে শতাধিক বৈদ্যুতিক মিটার তুলে নিজ বাড়িতে এনে রেখেছেন।,আগে
সারোয়ার ও তামিম চৌধুরী এ জন্য মজলিশে শুরা বা উপদেষ্টা পরিষদ গঠন করেন এবং তাঁদের মনোনীত শুরা সদস্যরাই হোলি আর্টিজানে হামলার অনুমোদন দেন।,ও
৭. উপহার দিতে পারেন সেই জিনিসটি—এক যুগ আগে যেটি পেয়ে বিস্ময়ে বাক্যহারা হয়েছিল সে।,সেই
তবে গত বছরের আগস্টে বেনজির হত্যা মামলা থেকে সন্দেহভাজন পাঁচ পাকিস্তানি তালেবান জঙ্গিকে খালাস দেওয়া হয়।,গত
কিন্তু ১৯ মে তারিখে শেষবার সেখানে টাকা ভরা হয়।,মে
"গতকাল শনিবার স্বাস্থ্য মন্ত্রণালয়ের অতিরিক্ত সচিব এ এন শামসুদ্দিন আজাদ চৌধুরীর নেতৃত্বে একটি প্রতিনিধিদল পরিদর্শনে গিয়ে হাসপাতালের লিফটম্যান মো. সিরাজকে চাকরিচ্যুত, প্রশাসনিক কর্মকর্তা মো. আনোয়ার হোসেন ও ওয়ার্ড মাস্টার মো. ইসহাককে সাময়িক বরখাস্ত করেন।",ও
তিনি মন্ত্রণালয়ের সচিব ও অন্যান্য কর্মকর্তাসহ পাঁচ সদস্যের এক প্রতিনিধিদলের নেতৃত্ব দেন।,ও
দ্বৈবচয়ন পদ্ধতিতে পরিচালিত এই জরিপে ১০০১ জন ভোটারের মতামত নেওয়া হয় টেলিফোনে।,জন
"ওলগা লিয়াশচুক: ঊরু দিয়ে তিনটি তরমুজ দুমড়েমুচড়ে ফেলেছেন সবচেয়ে দ্রুততম সময়ে! জগদীশ: সবচেয়ে বেশি দূর পাড়ি জমিয়েছেন অটো-রিকশা কাত করে! ডমিনিক ল্যাকেস: সবচেয়ে বেশি বার ঘুরপাক খেয়েছেন অনুভূমিক অবস্থায়!লিনসে লিন্ডবার্গ: সবচেয়ে বেশি সংখ্যক টেলিফোন ডিরেক্টরি ছিঁড়েছেন মাত্র এক মিনিটে! বিজয় কুমার: মুখে তাঁর সবচেয়ে বেশি দাঁত! তামেরু জেগেই: সবচেয়ে দ্রুততম সময়ে ১০০ মিটার দূরত্ব অতিক্রম করেছেন ক্রাচে ভর দিয়ে! মার্কাস ডেইলি: হট ডগের একটা কার্ট বানিয়েছেন, যেটা দুনিয়ায় সবচেয়ে বড়।",বার
"তাইজুলের ২ উইকেট তো আছেই, সাকিব নিজেসহ আরও যে পাঁচ বোলার ব্যবহার করেছেন, খালি হাতে ফেরেননি কেউই।",যে
তবে বেসরকারি হাসপাতাল ও ক্লিনিকগুলোতে চিকিৎসাসেবা বন্ধ থাকলেও রোগীদের পরীক্ষা-নিরীক্ষার কাজ চলেছে।,ও
"জানা গেছে, ২০০৯ সালে যুক্তরাষ্ট্রপ্রবাসী মোশাররফ হোসেন বিদ্যালয়টি প্রতিষ্ঠা করেন।",সালে
এ রকমই বা কাছাকাছি একটি দৃশ্য এর আগে ব্যবসায়ী আজম জে চৌধুরীর দেওয়া চেক নিয়ে দেখেছি।,বা
"আমাদের ধারণা ছিল, সংগ্রহে থাকা ১০ লাখ কনডম আগামী ডিসেম্বরের মধ্যে শেষ হতে পারে।",শেষ
ওয়েস্টমিনস্টারের তিন প্রধান নেতা প্রচারণা চালাতে একসঙ্গে স্কটল্যান্ডে যাবেন না।,তিন
ক্ষমতাচ্যুত হওয়ার দুই মাস পর ২০১১ সালের এপ্রিলে গ্রেপ্তার হন হোসনি মোবারক।,হওয়ার
মানুষের জন্য ফাউন্ডেশন এক বিবৃতিতে অনতিবিলম্বে শিশুদের ওপর সব ধরনের অত্যাচার বন্ধ এবং রাকিব হত্যার সঙ্গে প্রত্যক্ষ ও পরোক্ষভাবে জড়িত সবার গ্রেপ্তার ও দৃষ্টান্তমূলক শাস্তির দাবি করেছে।,ও
"পরিবারের অভিযোগ, স্থানীয় বখাটে শাহিন হোসেন (২৫) গত বৃহস্পতিবার বাড়িতে একা পেয়ে মুনিশার শ্লীলতাহানির চেষ্টা করেন।",গত
"এ বছর লিচুর সরবরাহ এত বেশি যে মূল বাজার ছাড়িয়ে উত্তরে আর্য্য পাঠাগার, পূর্বে মশান কালীমন্দির, দক্ষিণে প্রেসক্লাব ও পশ্চিমে ক্ষেত্রীপাড়া মোড় পর্যন্ত দোকান দিয়ে বসেছেন।",এত
"জানতে চাইলে অ্যাটর্নি জেনারেল মাহবুবে আলম প্রথম আলোকে বলেছেন, স্থগিতাদেশ থাকা মামলাগুলোর তালিকা নিয়ে শিগগিরই ব্যবস্থা নেওয়া হবে, যাতে মামলাগুলো সচল হয়।",জেনারেল
"বৈশাখে সিলেটের ষড়ঋতুনববর্ষ সামনে রেখে বৈশাখী আমেজে টাঙ্গাইল তাঁত ও মণিপুরি তাঁতে তৈরি শাড়ি, ফতুয়া, নকশিকাঁথা, বিছানার চাদর, আনরেডি থ্রিপিস ইত্যাদি নিয়ে সেজেছে ফ্যাশন ঘর ষড়ঋতু।",ও
কনজারভেটিভ দলীয় এমপি মার্ক ফিল্ড অতীতকাতর রাজনীতি অগ্রগতির জন্য শুভ নয় বলে মন্তব্য করেন।,মার্ক
সুপরিচিত মানবাধিকারবিষয়ক আইনজীবী আমাল ক্লুনি এবং তাঁর স্বামী বিখ্যাত অভিনেতা জর্জ ক্লুনি যমজ সন্তানের মা-বাবা হওয়ার আশা করছেন।,হওয়ার
"প্রথম দুই ধাপের ১ হাজার ২৫১টি ইউপির নির্বাচনের ফল পর্যালোচনা করে দেখা গেছে, চেয়ারম্যান পদে ৭২ জন নারী প্রার্থী ছিলেন।",দুই
সেই বিজ্ঞানের ভিত্তিতে আমরা কথা বলেছি।,সেই
"গবেষণার আওতায় ঢাকা মেডিকেল কলেজ হাসপাতাল, আদ-দ্বীন উইমেন্স মেডিকেল কলেজ হাসপাতাল, চট্টগ্রাম মেডিকেল কলেজ হাসপাতাল, ইবনে সিনা মেডিকেল কলেজ হাসপাতাল ও রাজশাহী মেডিকেল কলেজ হাসপাতালের ৩২৫ জন প্রসূতিকে ট্রানেক্সামিক অ্যাসিড দেওয়া হয়।",মেডিকেল
ড্র মানে স্বতঃসিদ্ধভাবে দুই দলের কোনোটিরই না জেতা।,দুই
"তিনি স্ত্রী, এক ছেলে ও আত্মীয়স্বজনসহ অসংখ্য গুণগ্রাহী ও শুভাকাঙ্ক্ষী রেখে গেছেন।",ও
অতিথি ঢাকা দক্ষিণ সিটি করপোরেশনের (ডিএসসিসি) মেয়র মোহাম্মদ সাঈদ খোকন।,সিটি
"যে অভিনয়কে এত ভালোবাসি, তা নিয়ে এমন কিছু শুনতে হবে, এটা মেনেই নিতে পারছিলাম না।",যে
তাঁর সঙ্গে নতুন উঠতি তারকা শ্রীদেবীকন্যা জাহ্নবী কাপুর যোগ করবেন ভিন্ন মাত্রা।,যোগ
"ক্রিকেটে যেমনটা হয়েছে, গত বছর অস্ট্রেলিয়ার সঙ্গে ওয়ানডেতে ভারতের বিরাট কোহলির একটা শট লাগে উড়তে থাকা ক্যামেরায়।",গত
জর্জ টাউনের পথে যেতে যেতেই রাস্তার দুই পাশে চোখে পড়ল বেশ কয়েকটি প্রযুক্তি কারখানা।,দুই
সে কারণে সংস্কারকাজও করা যাচ্ছে না।,সে
এ সময় আহত ব্যক্তিদের সঙ্গে থাকা শতাধিক নেতা-কর্মী (পদবঞ্চিত) সভাপতি ও সাধারণ সম্পাদককে বাধা দেন ৷ তাঁদের গ্রহণ করতে আপত্তি জানান।,সময়
ইরাকের উত্তর অংশ ও সিরিয়ায় আইএসের ঘাঁটিগুলো ধ্বংস করতে হবে।,ও
তবে শুক্রবার ওয়েম্বলিতে ইংল্যান্ড ও স্কটল্যান্ড নিজেদের ম্যাচে নামবে জার্সিতে পপি ফুলের প্রতীক নিয়ে।,ও
এ সময় তিনি নামফলক উন্মোচন করেন।,সময়
দেশে আইন ও সরকারের নির্দেশ না মানায় রাজধানীর হাজারীবাগের সব ট্যানারি বন্ধ এবং সাভারে স্থানান্তরে ব্যর্থ ট্যানারিগুলোর প্লট বাতিলের দাবি জানিয়েছে পরিবেশ বাঁচাও আন্দোলন (পবা)।,ও
এ সময় তাঁর ওপর এ হামলার ঘটনা ঘটে।,সময়
একটা সময় অযৌক্তিক ব্যবস্থার বেড়াজাল থেকে বেরিয়ে আসতে যুক্তির চর্চাকে উৎসাহ দেওয়া হয়েছে।,সময়
"টঙ্গী বিসিকের সাধারণ সম্পাদক মো. মহিউদ্দিন শেখ বলেন, এখনকার শিল্পে প্রয়োজনীয় গ্যাস পাওয়া যায় না।",যায়
"আজ হোয়াইট স্পষ্ট করে বুঝিয়ে দিয়েছেন, ক্রিকেটে যদি দুই স্তর চালুর প্রস্তাব করা হয়, নিউজিল্যান্ড তাতে সানন্দে সায় দেবে।",দুই
"পাশাপাশি স্কুল ফিডিং কর্মসূচি, দুর্যোগপ্রবণ এলাকায় বিশেষ বরাদ্দ, তরুণদের তথ্যপ্রযুক্তিতে অভিজ্ঞ করার ব্যাপারে নজর দেওয়ার প্রস্তাব দেন।",স্কুল
এবার তার ১ শতাংশ পর্যটকও নেই।,এবার
সেখানে ডাকাত ও পুলিশের মধ্যে বন্দুকযুদ্ধ হয়।,ও
ছাত্রাবাসটি যথাসময়ে নির্মাণে যুক্ত জেলা শিক্ষা প্রকৌশল অধিদপ্তরকে বেশ কয়েকবার তাগিদ দিয়েছেন তাঁরা।,বেশ
"তিনি চান, এ বছরে যেন অন্য কোনো ছবি তাঁর ছবির থেকেও বেশি ব্যবসাসফল হয়।",যেন
এর আগে বুধবার রাতে সিলেটের বিশ্বনাথে দুই গ্রামের বাসিন্দাদের সংঘর্ষে চারজন আহত হন।,আগে
আইপিএলের ট্রফি নিয়ে তোলা দুজনের একটি ছবি পোস্ট করে মোস্তাফিজ ওয়ার্নারকে জন্মদিনের এই শুভেচ্ছা জানান।,পোস্ট
নিউজিল্যান্ড বেশ কঠিন প্রতিপক্ষ।,বেশ
গাড়িবহর ধীরগতিতে যাওয়ায় পেছনে প্রগতি সরণি ও বাড্ডা লিংক রোড এলাকায় লম্বা যানজট তৈরি হয়।,যাওয়ায়
শেষ পর্যন্ত সেটি হয়নি।,শেষ
সেই রণবীর এরই মধ্যে শক্তপোক্ত অবস্থানে চলে গেলেও পায়ের নিচে মাটি খুঁজে পাচ্ছিলেন না একটা মাত্র আধা হিট (আই হেট লাভ স্টোরিজ) ছবি উপহার দেওয়া সোনম।,সেই
অসময়ে বৃষ্টিতে ফসল ঘরে তুলতে পারছেন না কৃষকেরা।,না
এবার বিখ্যাত চিত্রগ্রাহক সুদীপ চ্যাটার্জির হাতে একই পুরস্কার তুলে দিলেন।,এবার
"দিনাজপুরের পার্বতীপুর উপজেলার বেলাইচণ্ডী ইউনিয়ন পরিষদের (ইউপি) নির্বাচনে আওয়ামী লীগ মনোনীত চেয়ারম্যান পদপ্রার্থী ও বর্তমান ইউপি চেয়ারম্যান নুর মোহাম্মদের বিরুদ্ধে প্রতিদ্বন্দ্বী বিএনপি প্রার্থীর কর্মী-সমর্থকদের প্রচারণার কাজে বাধা, মারধর ও হুমকি দেওয়ার অভিযোগ উঠেছে।",ইউনিয়ন
"অর্থনৈতিক অবকাঠামো, বিনিয়োগের পরিবেশের উন্নয়ন ও যোগাযোগ নেটওয়ার্ককে কেন্দ্রবিন্দুতে রেখে বিগ-বি উদ্যোগের সর্বোচ্চ সদ্ব্যবহারের জন্য জাপানের উন্নত প্রযুক্তিকে কাজে লাগিয়ে পারস্পরিক সুফল লাভের ওপর গুরুত্ব দেওয়া হয়েছে।",ও
"ওই বাড়ির মালিক ইছহাক প্রথম আলোকে বলেন, ছয় মাস আগে ব্যবসায়ী পরিচয় দিয়ে নাফিস নামের এক ব্যক্তি মাসিক ছয় হাজার টাকায় বাসাটি ভাড়া নেন।",মাস
সে জন্য চোখ-কান বুজে মিথ্যা বলতেও তাঁর আপত্তি নেই।,সে
"এ ছাড়া উপহার হিসেবে পাওয়া যাবে অ্যান্টিভাইরাস, বহনযোগ্য চার্জার, তারহীন মাউস এবং দুই হাজার টাকা পর্যন্ত ছাড়।",দুই
"বর্তমানে মেনন মাতৃসদনসহ সিটি করপোরেশন পরিচালিত হাসপাতাল ও ক্লিনিকগুলোতে পর্যাপ্ত চিকিৎসক, সেবিকা, অন্যান্য লোকবল সরঞ্জাম সংকট চরম আকার ধারণ করেছে।",সিটি
৮২ রানের ম্যাচজেতানো ইনিংস খেলে শেষ পর্যন্ত অপরাজিত ছিলেন নাজমুস সাদাত।,শেষ
১৭ ম্যাচে বার্সা-অ্যাটলেটিকো দুই দলের পয়েন্ট সমান ৪৬।,দুই
তাই মা না হলেও পর্দায় সবচেয়ে কাছের বন্ধু চরিত্রে অভিনয় করে করণের জন্য আলিয়া পর্দায় ভালোবাসা প্রকাশ করতে পারবেন।,না
জেসমিন আক্তার নামের যাবজ্জীবন সাজাপ্রাপ্ত এক নারী চার মাস আগে মারিয়া নামের এক কন্যাশিশুর জন্ম দেন।,নামের
ওই আসামি হলেন সিলেটের কোম্পানীগঞ্জ উপজেলার পশ্চিম ইসলামপুর ইউনিয়ন আওয়ামী লীগের সভাপতি শামীম মিয়া।,ইউনিয়ন
"সকাল ১০টায় খালিশপুরে প্লাটিনাম, ক্রিসেন্ট ও স্টার জুটমিলের শ্রমিকেরা মিছিল নিয়ে খুলনা নগরের নতুন রাস্তা মোড়ে গিয়ে যশোর-খুলনা সড়ক ও রেলপথ অবরোধ করেন।",ও
"কারওয়ান বাজারে প্রথম আলো কার্যালয়ে অনুষ্ঠিত বৈঠকে বেসামরিক বিমান পরিবহন ও পর্যটনমন্ত্রী রাশেদ খান মেনন বলেন, মূল্যবোধের অবক্ষয়ের কারণে বর্তমানে নারীর প্রতি শ্রদ্ধাবোধ কমে গেছে।",আলো
খালের ওপরেই গড়ে তোলা হয়েছে গোসলখানা ও কাঁচা পায়খানা।,ও
"ফোন নম্বর +৮৮ ০১৭২ ৬২ ৬০ ৯৬৭ এবং ই-মেইল dgcnw@mofa. gov. bd এবং বি এম জামাল হোসেন, পরিচালক, এম আর পি, কল্যাণ ও কনস্যুলার ই-মেইল dircnmrp@mofa. gov. bd ও ফোন নম্বর +৮৮ ০১৭১১ ৩৮০ ৩৭৪।",ফোন
মীন (১৯ ফেব্রুয়ারি-২০ মার্চ)নতুন ব্যবসায়ে হাত দেওয়ার জন্য দিনটি বিশেষ শুভ।,মার্চ
"২৫ সদস্যের পলিটব্যুরোতে এখন রয়েছে মাত্র ২ জন নারী, যাঁরা এ বছরই অবসরে যাবেন।",জন
পৃথক রিট আবেদনের চূড়ান্ত শুনানি শেষে গত ১১ মে হাইকোর্ট নির্বাহী ম্যাজিস্ট্রেট দিয়ে ভ্রাম্যমাণ আদালত পরিচালনা অবৈধ ঘোষণা করে রায় দেন।,গত
"পুলিশ কর্মকর্তা অরুণ কুমার পিটিআইকে বলেন, ওই হতাহতের ঘটনার পর ঘটনাটিকে জড়িয়ে বিভিন্ন মিথ্যা তথ্য দিয়ে তথ্যচিত্র বানিয়ে সিডিতে রেকর্ড করে ছড়িয়ে দেওয়া হয়।",রেকর্ড
"এরা যেন প্রাণ উপহার দিল, নিছক প্রাণ দিল না।",যেন
এ সময় পুলিশও পাল্টা গুলি ছোড়ে।,সময়
"কিন্তু বিভিন্ন প্রতিবেদনে দেখা যায়, ওই সহিংসতা বন্ধের জন্য পুলিশ ও নিরাপত্তা বাহিনী সক্রিয়ভাবে কাজ করেনি।",যায়
শুরুতে পরীক্ষামূলকভাবে একটা দোকানে ২০ কপি ক্যাসেট দেওয়া হয়।,কপি
গত বছর দুর্নীতির জন্য সমস্যা ছিল ১৭ দশমিক ৪৩ শতাংশ।,গত
প্রায় তিন হাজার টন ওজনের এবং ১৫০ মিটার লম্বা স্প্যানটি নিয়ে ভারী একটি ক্রেন আজ শুক্রবার মাওয়া থেকে রওনা দিয়েছে।,তিন
কুষ্টিয়ার দৌলতপুর উপজেলার জামালাপুর সীমান্তে গতকাল সোমবার দুই দল চোরাকারবারির মধ্যে সংঘর্ষে অন্তত আটজন আহত হয়েছে।,দুই
"ক্রিকেট-তীর্থে ভারতের পদচারণের বয়স এ বছর ৮২ হলো, সাকল্যে লর্ডস জয় এ দুটিই।",বয়স
তারপর ওই শিক্ষার্থী একটি ভিডিও প্রকাশ করেন যে তিনি জীবিত।,ভিডিও
"মামলার সংক্ষিপ্ত বিবরণী থেকে জানা গেছে, ২০০১ সালের ১০ জুন রফিকুল ইসলাম মিয়া সম্পদের হিসাব জমা দেওয়ার জন্য দুর্নীতি দমন ব্যুরোর দেওয়া নোটিশ গ্রহণ করেন।",জুন
"এটা পরিবারের লোকজন, সমাজের অন্য যে কেউ জানতে পারে।",যে
"২৮ ট্যানারিকে নোটিশ: যেসব ট্যানারিকে আইনি নোটিশ পাঠানো হয়েছে সেগুলো হলো চাঁদপুর ট্যানারি, ক্যাপিটাল ট্যানারি, আলেয়া ট্যানারি, আজিজ ট্যানারি, ভূঁইয়া ট্যানারি, সোনালি ট্যানারি, লেদার ইন্ডাস্ট্রিজ অব বাংলাদেশ, রুবি লেদার কমপ্লেক্স, ইউসুফ লেদার, ইউসুফ ট্যানারি, পাইওনিয়ার ট্যানারি, কমলা ট্যানারি, জিন্দাবাদ ট্যানারি, মুক্তি ট্যানারি, শাহী ট্যানারি, নজরুল ট্যানারি, রোশন কমপ্লেক্স, হেলেনা ট্যানারি, হোসেন ব্রাদার্স, ইব্রাহীম লেদার, ইন্টারন্যাশনাল ট্যানারি, কাদের লেদার, এইচএস ট্যানারি, গোল্ডেন লেদার, ঢাকা ট্যানারি, ডেলটা লেদার, সিটি লেদার ও চৌধুরী লেদার অ্যান্ড কোং।",নোটিশ
"দেশের এক নম্বর গোলরক্ষক হয়ে ওঠার সব গুণাবলিই যে শেখ জামাল ধানমন্ডি ক্লাবের এই দীর্ঘদেহী গোলরক্ষকের মধ্যে বিদ্যমান, সেটা তিনি আজ খুব ভালোভাবেই প্রমাণ করেছেন।",নম্বর
নিউইয়র্ক টাইমস–এর ওই প্রতিবেদনে ১২ জন শীর্ষস্থানীয় রুশ সামরিক গোয়েন্দার ছবির পাশে জুলিয়ান অ্যাসাঞ্জের ছবিও প্রকাশ করা হয়েছে।,জন
একই সময়ে বিভিন্ন নৌযান ও প্রতিষ্ঠান থেকে ৮০ লাখ ২৩ হাজার টাকা জরিমানা আদায় করা হয়েছে।,ও
"অগণতান্ত্রিক আচরণ, অমানবিকতা, পশ্চিমাদের পদলেহনসহ বিভিন্ন কারণে সৌদি আরবের আঞ্চলিক শক্তির মর্যাদা লাভ ও সামগ্রিকভাবে বিশ্বস্ততা ঝুঁকির মুখে ফেলে দিয়েছে আরব বসন্ত।",ও
লোকজন আসার আগে দুর্বৃত্তরা পালিয়ে যায়।,আগে
"গতকাল শনিবার শেষ দিনে গত বছর বিদ্যালয় থেকে পিএসসি, জেএসসি এবং এসএসসি পরীক্ষায় জিপিএ-৫ পাওয়া ৭২৬ জন শিক্ষার্থীর হাতে সম্মাননা স্মারক তুলে দেওয়া হয়।",শেষ
তুরস্কের বৃহত্তম শহর ইস্তাম্বুলে গত শনিবার রাতে একটি ফুটবল স্টেডিয়ামের কাছে জোড়া বোমা হামলার ঘটনায় ৩৮ জন নিহত হয়েছে।,গত
সেই তিনি এবার দুই ম্যাচ পেরিয়ে গিয়েও গোলের দেখা পেলেন না! বিস্ময়টি আরও বেড়েছে গত বৃহষ্পতিবারের প্রীতি ম্যাচে দেপোর্তিভো লা করুনিয়ার বিপক্ষেও রোনালদো গোল না পাওয়ায়।,সেই
এর মধ্যে পৃথক দুটি ফ্ল্যাট ভিন্ন ভিন্ন সময় ভাড়া নেন সাদিয়া বেগম ও ফারুখ হাসান।,সময়
ঘনিষ্ঠ মিত্রের এ রকম পরস্পরবিরোধী বক্তব্য ও সেই সঙ্গে বাস্তব ঘটনাবলির সঙ্গে সে রকম বক্তব্যের বৈসাদৃশ্য কিছুটা হলেও বিপাকে ফেলে দিয়েছে জাপানের প্রধানমন্ত্রী শিনজো আবেকে।,ও
সরকারি হিসাবে শৃঙ্খলা ফেরানোর সঙ্গে স্বচ্ছতা ও জবাবদিহি বাড়াতে হলে সনদধারী হিসাববিদসহ অভিজ্ঞ আর্থিক কর্মীদের নিয়োগের বিকল্প নেই।,ও
ফুটবলীয় কীর্তিতে রোনালদো কিংবা মেসির ধারেকাছেও হয়তো যেতে পারবেন না কান্তে।,না
বছরজুড়ে বাজারের মোট লেনদেনে এ তিন খাতের সম্মিলিত অংশ ছিল প্রায় দেড় শতাংশ।,তিন
"স্বরাষ্ট্র প্রতিমন্ত্রী আসাদুজ্জামান খান বলেছেন, ময়মনসিংহের ত্রিশালের সাইন বোর্ড এলাকায় পুলিশ ভ্যান থেকে ছিনতাইয়ের পর পালিয়ে যাওয়া দুই জঙ্গি আর বেশি দিন লুকিয়ে থাকতে পারবে না।",বোর্ড
"সোনা নয়, রুপাও নয়, ব্রোঞ্জ হলেও চলবে।",নয়
